agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
Treasury,AI Voiceover Generation for eLearning Development,clear_llm_access,0,1,high,"""Narration scripts are entered into the web-based interface, which outputs .wav audio files"" is a fixed single-purpose voiceover pipeline, not chat-style broad access, though TTS audio generation is generative."
Treasury,AI-Augmented Software Modernization and Insight,clear_llm_access,0,1,high,"A coding-only modernization pipeline (""proposing secure, standards-compliant code improvements"") that ""Generated draft documentation, test cases, and migration strategies"" — coding-only tools are excluded from general access but the output is generative."
Treasury,AI-assisted Procurement POC,clear_llm_access,0,1,low,"Scoped to ""identifying adding the correct FAR clauses"" via Unison PRISM, a narrow one-workflow research tool, not broad chat; output is only described as ""AI assisted search results"" so genai=1 relies mainly on the agency's own Generative AI self-classification."
Treasury,Employee Task Organization,clear_llm_access,0,1,medium,"""generate recommended task assignments... suggested staffing plans, workload distribution summaries"" is narrow decision support for one manager workflow via Teams, not arbitrary chat, but does generate text recommendations."
Treasury,Forms Conversion,clear_llm_access,0,1,high,"""The AFCS tool provides an initial form version along with the schema"" is a narrow document-conversion pipeline, not broad chat, that generates draft content."
Treasury,Framework Analysis,clear_llm_access,0,1,high,"""reviewing this feedback and organizing it into clear themes and insights"" over one NPR comment-letter dataset via a Teams bot is a narrow summarization workflow, not general chat."
Treasury,Handbook Highlights,clear_llm_access,0,1,high,"""quickly summarizing relevant sections of the handbook"" is scoped to a single document (the Comptroller's Handbook) — a narrow summarization tool."
Treasury,Integrated Financial Management Information System (IFMIS),clear_llm_access,0,1,low,"""Recommended solutions based on various scenarios"" is a narrow budget-scenario decision-support tool, not chat; genai kept at 1 per the agency's Generative AI self-tag despite thin evidence of free-text generation."
Treasury,Legislative Analysis Tool,clear_llm_access,0,1,high,"Built on ""Aretec SEARCH"" for one legislative-tracking workflow producing ""summaries of the chosen section of the bill"" — narrow tool, generative summarization."
Treasury,Meeting Minute Summarization,clear_llm_access,0,1,high,"""producing clear, organized summaries of meeting discussions"" is a narrow single-task summarizer, not broad chat access."
Treasury,Narrative Summary and Thematic Analysis,clear_llm_access,0,1,high,"A Teams bot generating ""a clear, readable summary"" of lengthy reports is a narrow report-summarization tool, not general chat."
Treasury,Newsletter Content Support,clear_llm_access,0,1,high,"""producing initial draft content"" for one deliverable type (newsletters) is a narrow drafting tool, not general chat."
Treasury,OCC Guidance Summarization,clear_llm_access,0,1,high,"""quickly identifying relevant sources and summarizing key regulatory points"" scoped to the OCC guidance corpus is a narrow summarization workflow."
Treasury,OCC Writing Style Adherence,clear_llm_access,0,1,high,"""a first-pass review that identifies deviations from writing guidelines"" via Teams is a narrow style-checking tool that also ""produce[s] feedback... suggested revisions"" (generative)."
Treasury,Public Information Analysis,clear_llm_access,0,1,high,"""analyzing the transcripts and pulling together the main similarities, differences, and key insights"" is a narrow transcript-summarization workflow."
Treasury,Regulation Statutory and Common Name Indexing,clear_llm_access,0,1,low,"""generates a quick-reference chart that pairs each regulation's alphabetical designation with its... statutory name"" is a narrow lookup/index tool with minimal generative content."
Treasury,Regulation Summarization,clear_llm_access,0,1,high,"""efficiently summarizing regulatory text and highlighting key provisions"" is scoped to one regulatory-text workflow, not general chat."
Treasury,Regulatory Reform Tool,clear_llm_access,0,1,high,"""Prepares draft proposed and final regulations"" and ""generates draft proposed and final rules"" is a narrow legal-drafting tool, not general chat."
Treasury,Regulatory Rule Analysis,clear_llm_access,0,1,high,"""reviewing these submissions and distilling them into clear summaries"" of comment letters on one rulemaking is a narrow summarization tool."
