agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
DOJ,AI CLIN Generation,clear_llm_access,0,1,medium,"Tool only ""populates certain data for review"" inside UFMS -- a single scoped contract-drafting workflow, not broad chat access; output is ""Suggested contract lines"" so generation is real."
DOJ,AI Evidence and Claim Consolidation,clear_llm_access,0,1,high,"Scoped to litigation records (""synthesize records, summarize expert reports... identify duplicate claims"") -- a narrow document pipeline, not general chat; summarization/prediction outputs are generative."
DOJ,AI Sandbox for exploration and education on AI,keep_current,1,0,low,"Narrative is too thin to tell whether the ""sandbox"" is chat-style arbitrary prompting or a scoped exploration exercise (""Help identify AI Use cases with OJP... Educate AI enable workforce""); keeping current flags pending clearer evidence."
DOJ,AI-assisted Legacy Code Modernization,clear_llm_access,0,1,high,"Coding-only tool (""AI-assisted code translation and refactoring tools to automatically convert legacy code"") is explicitly excluded from general LLM access; code generation output makes it generative."
DOJ,ATR Expert/Consulting with Bates White,clear_llm_access,0,1,high,"Narrow document-processing pipeline for one litigation engagement (""ingest all the data sets... standardize them... document summarization, name standardization, text extraction""); summarization is generative."
DOJ,Adobe,clear_llm_access,0,0,medium,"Narrative explicitly disclaims use of the generative feature: ""Adobe has function that enables the generation of images. PAO does not use this function/feature."""
DOJ,Adobe Premiere,clear_llm_access,0,0,medium,"Embedded editing feature in one app for ""seamless editing of videos and speech transcripts"" -- narrow and transcription-based, not generative or chat-style."
DOJ,Alation Data Catalog,clear_llm_access,0,0,high,"""Anyone looking for specific data can use simple, plain-language search terms"" is a scoped catalog-search workflow, not arbitrary chat, and outputs are ""recommendations and predictive insights,"" not generated text."
DOJ,Automated Count of Items in Photos,clear_llm_access,0,0,high,"Classical computer-vision counting task (""validate the drug forms, shapes, sizes, and counts"") with no chat interface and no generated content."
DOJ,Aware,clear_llm_access,0,0,high,"Biometric ingest/processing tool (""ingest and process biometric information"") -- narrow single-purpose system, not generative."
DOJ,Axon,clear_llm_access,0,0,high,"Narrative states ""No AI utilized"" and ""This use case does not utilize AI functions"" -- no basis for either flag."
DOJ,Azure Platform/Tools - Network Routing,clear_llm_access,0,0,high,"""Decision and action relating to network routing and load management"" is an automated infrastructure task, not chat access or generation."
DOJ,Business Form Generation,clear_llm_access,0,1,medium,"Thin narrative but output is a generated ""Document"" from a scoped form-generation workflow, not broad chat access."
DOJ,Camtasia,clear_llm_access,0,0,medium,"""Convert speech to text and produce a transcript file"" is embedded transcription in one client app, not generative or general-access."
DOJ,Capture and Convert Structured Data from Scanned Case Documents to Support Advanced Analysis and Trend Forecasting,clear_llm_access,0,0,medium,"OCR/structuring pipeline (""capture, convert, and process... text from scanned case documents"" into ""a standardized, machine-readable format"") -- extraction and analytics, not generation."
DOJ,Case Management System Integration,clear_llm_access,0,1,high,"Scoped to ""case management, such as creating codes for events... and estimating time to completion,"" and output is explicitly ""GenAI text."""
DOJ,Code Development,clear_llm_access,0,1,high,"GitHub Copilot is a coding-only tool, explicitly excluded from general LLM access; ""real-time code completions"" are generated."
