agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
DOJ,AI CLIN Generation,Department of Justice / JMD,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Determine the number of contract lines needed to meet contract requirements, outlines each line, and populates certain data for review within Unified Financial Management System.",Reduce the time and effort of manual work to create contracts within Unified Financial Management System.,"Suggested contract lines, descriptions, and certain system fields for review/approval by users."
DOJ,AI Evidence and Claim Consolidation,Department of Justice / CIV,1,0,nlp_specific,,a) Pre-deployment – The use case is in a development or acquisition status.,Natural Language Processing (NLP),,,"This initiative applies AI to synthesize records, summarize expert reports and depositions, and identify duplicate claims. It also uses AI to identify inconsistencies between records and plaintiff claims, identify red flag legal issues, and create templates to respond to frequent or high-volume litigation. It also allows for analysis of settlement and damages databases to identify outlier trends. It supports M-25-21’s public trust pillar and E.O. 14179’s innovation agenda.","1) Improves the government’s litigation posture in high-value torts, reduces exposure to excessive payouts, and ensures equitable and efficient claims processing.(2) Builds on DOJ medical record review systems and HHS/VA data integration, along with Relativity/CORA settlement, damages, and entitlement databases.                                                                                                                                                                                                                    (3) Faster evidence review; detection and elimination of duplicate claims; creating more effective and consistent settlements; increased dismissal or settlement of weak claims; attorney time saved.","Summaries, Classifications, Predictions: document summaries, duplicate detection, inconsistency flagging, settlement predictions."
DOJ,AI Sandbox for exploration and education on AI,Department of Justice / OJP,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Help identify enhancement in mission capabilities
Explore Risk management
Help identify AI Use cases with OJP 
Educate AI enable workforce","Enhance OJP workforce to work faster 
Reduce number of software that AI can achieve
Improving access to data","Risks assessments
Recommendations
Decision"
DOJ,AI-assisted Legacy Code Modernization,Department of Justice / CIV,1,0,general_llm,unspecified,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"This initiative uses AI-assisted code translation and refactoring tools to automatically convert legacy code into modern, secure languages (e.g., Java, Python) while flagging logic gaps and optimizing for cloud environments. Aligns with E.O. 14179’s innovation directive and M-25-21’s governance requirements.","(1) Modernized applications improve resilience, reduce security risk, and lower long-term IT O&M costs, directly supporting DOJ’s modernization and cybersecurity priorities. (2) Builds on DOJ CIO modernization roadmaps, Federal IT dashboards, and prior migration initiatives to cloud platforms.
(3) Reduction in legacy system maintenance costs, outages and performance loss; # of applications successfully migrated; cybersecurity vulnerabilities reduced.","Code Generation, Recommendations, Predictions: modernized code output, optimization recommendations, vulnerability predictions."
DOJ,ATR Expert/Consulting with Bates White,Department of Justice / ATR,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,"Bates White, using Microsoft Azure",The AI tool will ingest all the data sets and work to standardize them so that the Bates White expert and team can use the data to run economic models.,"Assist in preliminary data processing, including document summarization, name standardization, and text extraction. This includes “cleaning” the data for additional processing, performing the equivalent of a “find and replace” function to standardize names. The Bates White system may use AI to summarize the general content of documents.",The output data may be provided to experts and support staffs working for the State Attorneys General who are cooperating with ATR on investigations and litigations. The output data will be returned to ATR for use by internal ATR economists.
DOJ,Adobe,Department of Justice / PAO,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"DOJ needs to communicate effectively internally and externally. This tool, can support image production for communication purposes.",Adobe has function that enables the generation of images. PAO does not use this function/feature.,"Images, if feature were in use"
DOJ,Adobe Premiere,Department of Justice / FBOP,1,0,general_llm,,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Adobe,Seamless editing of videos and speech transcripts.,"The videos are for public-relations or educational, and not used for LE purposes.",Provides a quality video for viewing for educational purposes.
DOJ,Alation Data Catalog,Department of Justice / ATF,1,0,general_llm,Aretec SEARCH,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Leidos,"The AI within Alation’s Data Catalog is designed to make data easy to find, understand, and use. It leverages machine learning and natural language processing (NLP) to automatically organize and tag data, creating a “map” of available information from various sources within an organization. The goal is that anyone looking for specific data can use simple, plain-language search terms, and the AI will help them locate the most relevant information quickly.","Enable users to quickly find relevant data across large, complex datasets, making information more accessible for decision-making. Additionally, Alation’s AI automates data organization and governance, helping to keep data accurate, up-to-date, and secure.  It also supports compliance and builds trust in data, empowering teams to make reliable, data-driven decisions.","The Alation Data Catalog AI system primarily produces outputs that are recommendations and predictive insights to enhance data discovery, governance, and usability. AI outputs guide users toward more efficient and informed data management."
DOJ,Automated Count of Items in Photos,Department of Justice / DEA,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"DEA needs a way to validate the drug forms, shapes, sizes, and counts contained in drug seizure exhibits so that this information can be effectively used in court proceedings.","To ensure timely high confidence of counts, this use case allows forensic scientists to accelerate validation and enables quality control checks by serving as a unbiased count against submitted paperwork and manual counts. This will reduce a labor and resource intensive counting process.",Outputs recommended counts with image labels.
DOJ,Aware,Department of Justice / USNCB,1,0,general_llm,Aware Biometrics,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,Redacted for cybersecurity purposes.,Aware Technologies,This commercial tool allows USNCB to ingest and process biometric information shared by domestic and international partners.,"Empowers USNCB to automate processing biometric data, improving the speed with which information is shared with partners.","Boarding passes, Ticket changes, Tools for managing changes in travel"
