agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
VA,AI Personal Assistance POC,clear_llm_access,0,1,high,"Scoped to one workflow for one group: ""Help VBA Education Data Analysts create queries and interpret data""; not broadly available chat access. It still generates SQL/text output, so genai stays 1."
VA,Abridge Ambient Scribe,clear_llm_access,0,1,high,"Embedded single-purpose ambient scribe that only ""draft[s] clinical notes based on audio from clinical encounters,"" not arbitrary-prompt chat access. Drafting notes is generation, so genai=1."
VA,Ansible Lightspeed,clear_llm_access,0,1,high,"Explicitly a coding-only tool that ""can generate YAML code for a developer"" inside Ansible/VS Code — excluded from general LLM access by rule, but still code generation (genai=1)."
VA,Augmented Reality and Virtual Museum,clear_llm_access,0,1,high,"A public-facing widget for museum visitors (""enable visitors to submit queries regarding the VA's history""), not internal FOUO staff chat. Output is ""synthesized"" info, so genai=1."
VA,Automated AI review for Competitive Procedures,clear_llm_access,0,1,high,"Narrow fixed workflow — ""Suggestions for human reviewers for evaluation on comprehensiveness of submission"" for grant/contract review, not general chat. Generates suggestions, so genai=1."
VA,Automated Ratings Summarization,clear_llm_access,0,1,high,"Scoped to one claims-processing workflow: ""reduce the amount of time a claim processor spends sorting through documentation."" Output ""generates summarizations,"" so genai=1."
VA,BessISSTANT,clear_llm_access,0,0,medium,"Narrow tool for technicians to ""find information in service manuals,"" not broad staff chat. Output is ""Excerpts from service manuals"" — retrieval of existing text, no synthesized content, so genai=0."
VA,BillieGPT POC,clear_llm_access,0,1,high,"Scoped to a narrow user group — ""assist School employees (School certifying officials)"" — not agency-wide chat access. Output is ""Generative AI response to the user question,"" so genai=1."
VA,CPT Worksheet Helper,clear_llm_access,0,1,high,"A narrow patient-facing homework tool, not staff chat access: ""LLM will provide the user with encouragement, feedback, and guidance."" Generates feedback text, so genai=1."
VA,CSOC AI Analyst Accelerator (Andesite AI),clear_llm_access,0,1,high,"Scoped to ""20 VA CSOC analysts"" for one investigative workflow, not broadly available. Output includes ""descriptions of potential incidents/vulnerabilities, suggestions on remediation"" — generated text, so genai=1."
VA,Categorization and Labelling Administrative Requests,clear_llm_access,0,0,medium,"Fixed single-purpose workflow (""rapid triage of Information Technology intake requests""), not chat access. Outputs are category selection and short labels — classification, not synthesized content, so genai=0."
VA,Continuous Glucose Monitoring Summary,clear_llm_access,0,1,high,"Narrow clinical dashboard tool, not staff chat: ""Summarized Ambulatory Glucose Profile metrics ... in a Power BI dashboard."" Summarization is generation, so genai=1."
VA,Deduplication in Record Management,clear_llm_access,0,1,medium,"An agentic record-triage pipeline scoped to one clinical records workflow, not arbitrary-prompt chat. ""The final product will include a summary of details for rapid action"" — summarization/generation, so genai=1."
VA,Digizens,clear_llm_access,0,1,medium,"A narrow research modeling tool (""creates a digital cohort of individuals""), not staff chat access. It synthesizes modeled behavior/compliance outputs, so genai=1."
VA,EDU Synthetic Test Data POC,clear_llm_access,0,1,high,"Single-purpose test-data tool: ""generate mock data ... for more robust testing,"" not broad chat access. Explicitly generates synthetic data, so genai=1."
VA,Education Call Center (ECC) Next Gen POC,clear_llm_access,0,1,high,"Scoped to call center employees for one workflow: ""provide recommended answers with source citation to ECC representatives,"" not general staff chat. Generates answers/transcripts, so genai=1."
VA,Executive Spend Analysis,clear_llm_access,0,0,medium,"Narrow analytics tool ""categorizing line item purchases into pre-defined spend categories,"" not chat access. Categorization is classification, not synthesized content, so genai=0."
VA,Generative Annotations,clear_llm_access,0,1,high,"Scoped to VSRs annotating one document type (""manually summarize them which is time consuming""), not broad chat. Output is ""AI Summarized text"" — generation, so genai=1."
VA,HTM112 Tutor,clear_llm_access,0,1,high,"A single-course RAG tutor scoped to ""HTM staff"" and curated course content, not broadly available chat. It generates ""Conversational Responses,"" summaries, and quizzes, so genai=1."
VA,Healing in Your Hands Wellness Tools for VA Staff and Veterans,clear_llm_access,0,1,high,"A narrow QR-triggered wellness widget, not staff chat access: ""Personalized Affirmations & Encouragement ... generated based on user type."" Generates affirmations/imagery, so genai=1."
VA,Ingestion of TRM and VASI,clear_llm_access,0,1,low,"Narrow data-mapping tool linking TRM records to tech instances, not chat access. Narrative is thin, but ""Comprehensive considerations for solutions"" suggests generated analysis, so genai=1 at low confidence."
VA,JLV Booster,clear_llm_access,0,1,high,"Narrow tool to help physicians review external records in JLV, not staff chat: ""AI can help summarize the existing external data."" Summarization is generation, so genai=1."
VA,Knowtex Ambient Scribe,clear_llm_access,0,1,high,"Single-purpose ambient scribe (""Draft clinical notes for clinician review""), not chat access. Drafting notes is generation, so genai=1."
VA,Lambient,clear_llm_access,0,1,high,"Single-purpose ambient scribe: ""Lambient is able to draft a clinical note for which a provider can potentially enter into the EHR."" Not chat access; drafting is generation, so genai=1."
VA,Patient Care Services Integration Platform (PCSIP),clear_llm_access,0,1,high,"An automated pipeline embedded across specific clinical workflows (Emergency, Surgery, Wards), not staff arbitrary-prompt chat. It generates patient summaries, ICD/CPT codes, and case notes, so genai=1."
VA,Privacy Act Automation,clear_llm_access,0,0,medium,"A single-purpose redaction pipeline for Privacy Act requests, not chat access: ""create a preliminary set of recommended redactions."" Recommending redactions is extraction/classification of existing text, not new synthesized content, so genai=0."
VA,SIM VOX for training nursing scenarios,clear_llm_access,0,1,low,"Narrow training-simulation tool for nursing mannequin scenarios, not staff chat. Narrative is thin on mechanism, but simulated scenario content implies generation, so genai=1 at low confidence."
VA,Smart Claim Check,clear_llm_access,0,0,medium,"""Leverages natural language processing (NLP) and machine learning (ML) to analyze past deferral data and identify common patterns"" for one claims workflow, not chat access. Output is structured guidance/links/confidence scores — retrieval-style, not generated content, so genai=0."
VA,Summarization of Clinical Data,clear_llm_access,0,1,high,"Single-purpose tool: ""Give a provider a summarized status of the patient,"" not chat access. Summarization is generation, so genai=1."
VA,Summarize Progress Notes,clear_llm_access,0,1,high,"Narrow tool to ""reduce the amount of time required for a healthcare provider to review medical records,"" not chat access. Output is a generated ""summary of the patient medical record,"" so genai=1."
VA,VA AI Assist,clear_llm_access,0,1,high,"Scoped to clinicians preparing for one encounter workflow (""AI-powered search and summarization of clinical information""), not broad chat access. Summarization is generation, so genai=1."
