agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
DOE,AI Chat Bot for IT User Services,PPPL - Princeton Plasma Physics Laboratory (SC43 OIM),1,0,general_llm,,Pilot – The use case has been deployed in a limited test or pilot capacity.,Generative AI,,,"Interactive RAG chat bot model trained on existing, updated and new IT resource documentation in the user space. Platform will be used as an informative method for users to handle tier 1 IT issues and help guide to the correct place.","Interactive RAG chat bot model trained on existing, updated and new IT resource documentation in the user space. Platform will be used as an informative method for users to handle tier 1 IT issues and help guide to the correct place.",AI output will be recommendations and instructions based on training data from IT administrators in more user friendly responses
DOE,AI Drafting of Operational Procedures and Training Materials,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,SRNS - OT In House Staff,"""To automate and enhance the drafting of operational  procedures and training materials, reducing time, effort, and errors.""","""Reduced development time, reduced errors, and rework, 
better context understanding, and improved standardization and formatting, cutting time spent on document creation by half.""","""The AI system outputs draft operational procedures and training 
materials which need to be reviewed and corrected by users."""
DOE,AI Enabled Code Review,ORNL - Oak Ridge National Laboratory (SC43 OIM),1,0,general_llm,unspecified,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Enhance application development lifecycle capabilities,Expidited code production,Code
DOE,AI Safety Tool,ORNL - Oak Ridge National Laboratory (SC43 OIM),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Mitigate workplace ncidents,To reduce workplace incidents and increase employee safety.,Text based warning message
DOE,AI for High Risk Property,ORNL - Oak Ridge National Laboratory (SC43 OIM),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,Cloud Enclave,,1) Regulatory compliance.  2) Improved identification of high-risk property items and increased productivity.,1) Regulatory compliance.  2) Improved identification of high-risk property items and increased productivity.,Decision for high-risk property categorization
DOE,AI for QA Audit,ORNL - Oak Ridge National Laboratory (SC43 OIM),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Improve quality assurance at different levels of the Lab.,Improved quality assurance,Reccomendation to existing QA audit submissions
DOE,AI-Enhanced Hub,PNNL - Pacific Northwest National Laboratory (SC43 OIM),1,0,general_llm,Aretec SEARCH,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,R&D User,,Enhance staff matching and profiles with AI-driven HUB search capabilities.,Enhances collaboration and expertise matching across the lab.,"Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,AI-Enhanced Lab Assist,PNNL - Pacific Northwest National Laboratory (SC43 OIM),1,0,general_llm,,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,R&D User,,Detect trends in lab planning/control data to improve efficiency and knowledge sharing.,"Integrating lessons learned into Lab Assist Activity Planning to enhance operational efficiency, improve information sharing leveraging best practices, and foster a culture of continuous improvement.",Leverage AI for trend detection in working planning and control data.
DOE,AI-Tailored Learning Management Solutions,SRS - ESB - Savannah River Site - Enterprise System Boundary (SRFO),1,0,general_llm,,Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,SRNS - OT In House Staff,"To improve the quality, relevance, and delivery of training materials, ensuring they are tailored and effective for users.","Improved training materials, dynamic learning tailored to user needs, real-time feedback, comprehensive evaluation, and higher staff effectiveness and readiness.","The AI system outputs training materials with dynamic questions and feedback, detailed performance reports, and personalized learning paths."
DOE,Apple Intelligence,EMLA - EM Los Alamos Field Site (EM),1,0,general_llm,,Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,"GSS, ICS",Apple,N/A,AI was automatically integrated into the product without an identified benefit to the organization.,N/A
