agency,use_case_name,verdict,final_is_general_llm_access,final_is_generative_ai,confidence,reasoning
DOE,AI Chat Bot for IT User Services,clear_llm_access,0,1,medium,"RAG chatbot 'trained on existing, updated and new IT resource documentation' to 'handle tier 1 IT issues' is a single-domain helpdesk bot, not broad staff-wide chat; it does generate natural-language guidance."
DOE,AI Drafting of Operational Procedures and Training Materials,clear_llm_access,0,1,medium,"A document-generation pipeline that 'outputs draft operational procedures and training materials' for one document class, not open-ended chat access."
DOE,AI Enabled Code Review,clear_llm_access,0,1,high,"Coding-only tool ('Enhance application development lifecycle capabilities', output = 'Code'); code-generation tools are explicitly excluded from general LLM access."
DOE,AI Safety Tool,clear_llm_access,0,0,medium,"Output is a fixed 'Text based warning message' triggered by incident detection, consistent with a classical detection/classification system rather than free-text generation or chat."
DOE,AI for High Risk Property,clear_llm_access,0,0,high,"Output is a 'Decision for high-risk property categorization' -- a classification decision, not generated text or chat access."
DOE,AI for QA Audit,clear_llm_access,0,1,low,"Produces a 'Recommendation to existing QA audit submissions' (generated advisory text) but is scoped to one internal QA workflow, not broad chat."
DOE,AI-Enhanced Hub,clear_llm_access,0,0,low,'Enhance staff matching and profiles with AI-driven HUB search capabilities' describes a narrow expertise-matching search tool; the boilerplate PNNL output line does not establish genuine generation.
DOE,AI-Enhanced Lab Assist,clear_llm_access,0,0,medium,"'Detect trends in lab planning/control data' with output 'trend detection' describes analytics/pattern detection, not chat or text generation."
DOE,AI-Tailored Learning Management Solutions,clear_llm_access,0,1,medium,"Generates 'training materials with dynamic questions and feedback... and personalized learning paths' but is scoped to one LMS workflow, not general chat access."
DOE,Apple Intelligence,clear_llm_access,0,1,medium,"'AI was automatically integrated into the product without an identified benefit' describes OS-bundled Apple Intelligence (Writing Tools/Image Playground genuinely generate content) rather than an assessed, broadly-adopted staff chat deployment."
DOE,Bernie-AI: Infrastructure Planning Support POC,clear_llm_access,0,1,medium,"Provides 'specific, data-driven answers to building and major asset use' -- scoped to one facilities/asset dataset, not general-purpose chat, though it generates answers via retrieval."
DOE,COREII,clear_llm_access,0,1,medium,Scoped to 'critical infrastructure OT cybersecurity operations' and 'translates complex...research results into accessible practical solutions' -- narrow cybersecurity-domain tool that does generate distilled text.
DOE,CURIE  -  Conversational Unified Research Information Engine,set_genai,1,1,medium,"'Turning unstructured questions, tasks, or ideas into structured outcomes' with plain 'Textual outputs' describes open-ended, chat-style research assistance with no stated single-dataset restriction."
DOE,ChatSRS,set_genai,1,1,high,"Problem statement explicitly states 'General text-oriented chat (e.g., summarization, generation)' on Azure GOV as a general 'Productivity Tool' -- textbook general LLM access."
DOE,Chatlab,keep_current,1,0,low,"All narrative fields are 'Not available'; only the name suggests a chat tool, insufficient evidence to confirm broad scope or genuine generation either way."
DOE,Cloud Knowledge Hub,clear_llm_access,0,1,medium,'Answer staff questions on cloud services and best practices via an AI knowledge hub' is a single-topic Q&A bot (generates answers) rather than broad staff-wide chat.
DOE,Command Media,clear_llm_access,0,1,medium,"Answers 'questions about policies, procedures, and work instructions' by 'leveraging the knowledge corpus' -- a bounded document-corpus RAG search, not open-ended chat, though it generates natural-language answers."
DOE,Create Statement of Work (SOW) for Procurement,clear_llm_access,0,0,low,"'Ensure procurement SOWs meet standards through guided AI review and alignment checks' reads as a compliance-checklist review, not clearly free-text generation, and is scoped to one procurement workflow."
DOE,Critical Materials,clear_llm_access,0,0,medium,"Aims to find 'unknown combinations of rare earth elements and ligands' with output 'New datasets and benchmarks' -- a materials-discovery research tool, not a text-generation or chat system."
DOE,CyberSearch,clear_llm_access,0,1,medium,"'Searching cybersecurity documents' with 'answers in natural language text and links to relevant documents' is a bounded document-corpus search tool, not general chat."
DOE,EDMS Admin,clear_llm_access,0,1,medium,"'Enabling summaries of information in our electronic document management system' is summarization (generation) but scoped to one EDMS, not broad chat access."
DOE,FY19 Lab Call – Livewire Data Sharing Platform,clear_llm_access,0,1,high,"Explicitly a 'GenAI chatbot feature providing info on datasets in the platform or FAQs on how to use the platform' -- narrow single-platform FAQ bot, not general access."
DOE,FindMATID,clear_llm_access,0,0,medium,"'Search for corporate material IDs' with output simply 'Material ID' describes a structured lookup/search tool, not generated free text or chat."
DOE,GitHub Co-Pilot,clear_llm_access,0,1,high,Named coding assistant producing 'code suggestions'; coding-only tools are explicitly excluded from general LLM access even though the tool is generative.
DOE,Hanford Ai Liaison (HAL) 1.1,clear_llm_access,0,1,low,'Greater analytics of data' paired with 'text answers to input questions' suggests a business-data-analytics assistant rather than arbitrary-domain chat; narrative is thin.
DOE,Hanford Ai Liaison (HAL) 2.0,clear_llm_access,0,1,low,"'Connecting business data streams to AI for increased analysis' describes a scoped business-analytics tool, not general staff-wide chat."
DOE,HeyGen,clear_llm_access,0,1,high,"Named AI-avatar video generation product used to 'generate...engaging internal training videos' -- genuinely generative but a narrow single-purpose video tool, not general LLM text chat."
DOE,Hub Biography Builder,clear_llm_access,0,1,high,"'Automatically generate draft professional bios from resumes, CVs, and other inputs' is a narrow single-purpose document generator, not general chat access."
DOE,Improve Scout Search results,clear_llm_access,0,0,medium,"'Improve enterprise search with natural language prompts and personalization' is search-relevance tuning, not text generation or chat."
DOE,Instrument Documentation Search,clear_llm_access,0,1,medium,"'Provide quick answers about instrument operations by searching ingested manuals' is bounded document Q&A (generates answers) over one manual corpus, not general chat."
DOE,Intrabot,clear_llm_access,0,1,medium,"Answers 'questions posed by plant personnel...by leveraging the knowledge corpus' of the Pantex Intranet -- bounded-corpus RAG search, not open-ended chat."
DOE,LexisNexis,clear_llm_access,0,0,medium,"'Searching legal database for case law' with output 'search results' describes a legal-research retrieval tool, not generated text, and is a single-purpose narrow tool."
DOE,M&O Program Trimester Reporting Modernization,clear_llm_access,0,1,medium,"'Modernize and automate trimester reporting to improve clarity and consistency' implies generated/reformatted report text, scoped to one reporting workflow, not general chat."
DOE,Microsoft 365,clear_llm_access,0,0,low,Problem statement 'N/A' and benefit 'AI was automatically integrated into the product without an identified benefit' is boilerplate covering bundled office apps with no specific generative feature evidenced.
