agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
VA,AI Personal Assistance POC,VBA: Veterans Benefits Administration,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,Help VBA Education Data Analysts create queries and interpret data which can be used for decision making.,Increased efficiency,Answers to questions. The tool would generate a mock SQL query and other useful outputs that would help refine the data inquiry.
VA,Abridge Ambient Scribe,OIT: Office of Information & Technology,1,0,general_llm,,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,"This solution is intended to solve the following problems: 
- Clinician burnout by decreasing clinical documentation burden which is resulting in 
- Clinicians focusing on their computer rather than the Veteran during the visit by reducing clinical documentation during patient visits
- Poor quality and unstandardized clinical documentation","- Reduced clinician burnout 
- Improved Veteran satisfaction with healthcare experiences 
- Future: Improved billing/coding which can provide financial benefit to the VA",Draft clinical notes based on audio from clinical encounters.
VA,Ansible Lightspeed,OIT: Office of Information & Technology,1,0,general_llm,Microsoft Teams,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,"Lack of adoption of automation, or expertise in coding knowledge to automate a remediation/code change. Ansible LightSpeed helps create automations faster, making teams more efficient and productive in a shorter amount of time than if they needed to write automations on their own.",Quicker time to service and resolution,Automation playbooks. Ansible LightSpeed answers questions inside the Ansible Automation Platform application via a chatbot dialogue box in the application. Ansible LightSpeed can also be a plugin for Visual Studio Code where it can generate YAML code for a developer (or administrator or engineer) where they are developing the YAML code. Both of these are optional to the included Ansible Automation Platform.
VA,Augmented Reality and Virtual Museum,"OALC: Office of Acquisitions Logistics, and Construction",1,0,general_llm,Aretec SEARCH,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,AI will enable visitors to submit queries regarding the VA's history and be presented the most suitable information within the VA's curated public domain historical information database.,"Utilization of AI will enable the VA to present the most relevant information to the general public with the easiest access, eliminating the need for them to otherwise search the VA Virtual Museum's extensive catalog of publicly available information. It will provide Veterans, employees and the public with accurate information that illustrates the VA's service to veterans.",Outputs include synthesized publicly available information on the VA's history.
VA,Automated AI review for Competitive Procedures,VHA: Veterans Health Administration,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,"Provide guidance, while maintaining human in the loop, for various aspects of the reviewing processes where competitive procedures include multiple objective and subjective metrics (with potential application to R & D grants and contracts).  This enables faster processes, unbiased and additional perspectives for competitive review processes.","Provides cost savings, increased efficiency, and process enhancements",Suggestions for human reviewers for evaluation on comprehensiveness of submission (e.g. Research and Development grant)
VA,Automated Ratings Summarization,VBA: Veterans Benefits Administration,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,"We are attempting to reduce the claims backlog and processing time. Additionally, there is a large volume of documentation on a Veteran's record - this tool is intended to reduce the amount of time a claim processor spends sorting through documentation relevant to a Veteran's claimed issue.","- Increased efficiency and lower time to decision on a benefits claim for a Veteran
- Improve the quality of decisions, which can ultimately result in a decrease in appeals","Identifies and generates summarizations or relevant documents from a Veteran's record, associated with the claim under review."
VA,BessISSTANT,VHA: Veterans Health Administration,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,Decrease time needed for technicians to find information in service manuals.,Increased efficiency.,Excerpts from service manuals.
VA,BillieGPT POC,OIT: Office of Information & Technology,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,"It will exist to assist School employees (School certifying officials) in general use, policy, and procedures for handling Veterans cases from the school's perspective. Gives info directly to school officials rather than having them call in to the VA call centers for assistance.","Better outcomes for student veterans, increased efficiency",Generative AI response to the user question
VA,CPT Worksheet Helper,VHA: Veterans Health Administration,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,Patients struggle to complete Cognitive Processing Therapy (CPT) homework and want feedback beyond when they see their therapist. Research has shown that homework frequency and quality can support greater improvement.,Patients may remain more engaged in treatment and experience greater improvement.,"LLM will provide the user with encouragement, feedback, and guidance. Another LLM may be used to detect risk and respond appropriately"
VA,CSOC AI Analyst Accelerator (Andesite AI),OIT: Office of Information & Technology,1,0,general_llm,Splunk,a) Pre-deployment – The use case is in a development or acquisition status.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,"VA Cybersecurity Operations Center (CSOC) requires new tools and capabilities to meet increasing demands for monitoring and securing the VA’s complex information technology (IT) environment, which currently involve time-consuming and manual processes.","Andesite AI has the potential to be a significant part of VA’s overall defensive security strategy which will provide comprehensive visibility by enabling the cybersecurity team to transform and accelerate investigations, connect data silos, and decrease time to response. Hosted in VAEC AWS, Andesite AI will connect via API to several endpoints such as Splunk, SOAR, ThreatQ and the VA Network to seamlessly integrate information to assist Cybersecurity Analysts with their investigations.","Andesite AI will submit prompts and retrieve results from AWS Bedrock (via Claude Sonnet) to help review potential incidents and perform investigations. The inputs of the model will include security event data from Splunk and Microsoft Sentinel used by CSOC analysts such as vulnerability data, indicators of compromise, security and event logs, and other threat intelligence data. Outputs of the model will include descriptions of potential incidents/vulnerabilities, suggestions on remediation and prioritization, and contextual information and correlation of various security event data. The users of Andesite AI will be 20 VA CSOC analysts."
VA,Categorization and Labelling Administrative Requests,OIT: Office of Information & Technology,1,0,general_llm,,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,The categorization and labeling functionality is intended to support functions such as administrative intake requests. This is intended to support use cases such as rapid triage of Information Technology intake requests. This solves the problem of manual data entry.,Increased efficiency.,"1. The system selects a category based on a list of categories defined by a person.
2. The system labels long text fields in under 50 characters."
VA,Continuous Glucose Monitoring Summary,VHA: Veterans Health Administration,1,0,general_llm,,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",,,Reduce work hours associated with manually scouring Ambulatory Glucose Profile metrics and reduce transcription errors while copying and pasta data between medical tools and platforms.,Provide a holistic view of patient data and improve medical providers' efficiency in caring for patients.,"Summarized Ambulatory Glucose Profile metrics over a 14-day period in a Power BI dashboard that is accessible from Virtual Care Manager, Clinical Data Services, and Electronic Health Record."
