agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
Treasury,AI Voiceover Generation for eLearning Development,Internal Revenue Service (IRS),1,0,general_llm,,Deployed - The use case is being actively authorized or utilized to support the functions or mission of an agency.,Generative AI,N/A,N/A,Voiceover generation for training courses. With return-to-office mandates in place we are unable to record narration voiceovers for training courses as we have historically done using live employees and microphone recording kits.,"Increased quality, a more diverse selection of voices, much more rapid voiceover generation and revision, increased development efficiency.","Narration scripts are entered into the web-based interface, which outputs .wav audio files for import to our eLearning authoring applications. Scripts are free from Personally Identifiable Information/Federal Taxpayer Information (PII/FTI) and adhere to standard training development protocol (fictitious names and addresses, etc.)."
Treasury,AI-Augmented Software Modernization and Insight,Internal Revenue Service (IRS),1,0,general_llm,unspecified,Pilot - The use case has been deployed in a limited test or pilot capacity.,Generative AI,N/A,N/A,"The IRS maintains a large portfolio of complex Java/Spring Boot applications that accumulate technical debt, dependency conflicts, and inconsistent coding practices. Manually identifying outdated libraries, researching upgrade paths, and resolving build failures consumes significant engineering time and slows modernization efforts. AI is intended to reduce this burden by automating research, detecting vulnerabilities, and proposing secure, standards-compliant code improvements.","For the IRS mission: Faster modernization of taxpayer-facing systems, improved system reliability, and reduced risk from outdated or insecure software components. For the public: More resilient digital services, reduced downtime, and faster delivery of secure taxpayer tools and features. For IRS engineers: Less time spent on repetitive research, freeing focus for high-value mission logic and innovation.","Prioritized lists of technical debt items (e.g., outdated dependencies, deprecated APIs, security vulnerabilities). Suggested code refactorings and dependency upgrades. Generated draft documentation, test cases, and migration strategies. Analytical reports highlighting cross-repository trends in build failures and performance issues."
Treasury,AI-assisted Procurement POC,Bureau of the Fiscal Service (BFS),1,0,general_llm,Unison PRISM,Pilot - The use case has been deployed in a limited test or pilot capacity.,Generative AI,N/A,N/A,"Contextual Research (Exploring policies, regulations, trends, and strategic topics). Knowledge Retrieval (Locating known information and presenting or analyzing the information).",Gathering data for a Prism project.  Expected outcomes is to verify the AI Tool is a useful aid in helping Procurement employees enhance identifying adding the correct FAR clauses needed for a procurement action.,AI assisted search results from documents and other data
Treasury,Employee Task Organization,Office of the Comptroller of the Currency (OCC),1,0,general_llm,Microsoft Teams,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"Assigning employees to tasks requires balancing multiple factors such as availability, workload, skill sets, and operational constraints. This process is often manual, time-consuming, and prone to inefficiencies, especially when coordinating across teams or during periods of high activity. The AI is intended to streamline workforce allocation by evaluating these constraints and recommending optimal task assignments, reducing administrative burden on managers.","The AI improves operational efficiency by helping managers make faster, more consistent assignment decisions that align resources with priorities. This supports the agency’s mission by ensuring that work is distributed effectively, reducing bottlenecks, and enabling staff to focus on higher-value activities. Ultimately, the public benefits from more responsive and timely execution of supervisory and regulatory responsibilities.","The AI will generate recommended task assignments for employees based on defined parameters such as availability, workload, required skills, and organizational constraints. Outputs may include suggested staffing plans, workload distribution summaries, and alerts when constraints or conflicts arise. These recommendations serve as decision-support tools for managers, who retain full authority over final assignment decisions."
Treasury,Forms Conversion,Internal Revenue Service (IRS),1,0,general_llm,,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,The AFCS tool assists the team with working a higher volume of form conversion than we can sustain manually due to the loss of staff due to Deferred Resignation Program (DRP) and retirements.,The AFCS tool saves significant time in the authoring process by providing an initial draft version of the form.,The AFCS tool provides an initial form version along with the schema for the form.
Treasury,Framework Analysis,Office of the Comptroller of the Currency (OCC),1,0,general_llm,Microsoft Teams,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"Feedback on NPR's can be extensive and highly technical, making it challenging for staff to quickly absorb the main points raised by commenters. The AI helps by reviewing this feedback and organizing it into clear themes and insights, reducing the time needed to work through large volumes of material.","By giving teams a faster understanding of the issues and concerns raised in comment letters, the AI supports more informed supervisory and policy discussions. This leads to better-quality analysis and decision-making related to capital rules, ultimately contributing to a stronger, more resilient banking system that benefits the public.","The system produces organized summaries of comment feedback, highlighting recurring themes, areas of disagreement, emerging concerns, and key technical points. These outputs make it easier for staff to see what commenters are focusing on and how viewpoints differ across the industry."
Treasury,Handbook Highlights,Office of the Comptroller of the Currency (OCC),1,0,general_llm,,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"The Comptroller’s Handbook contains extensive, detailed guidance that examiners must review and interpret to support supervisory activities. Manually navigating and summarizing this material is time-consuming and can delay exam preparation or issue analysis. The AI is intended to streamline this process by quickly summarizing relevant sections of the handbook, enabling staff to more efficiently access key concepts, expectations, and procedural guidance.","The AI improves examiner efficiency by reducing time spent reading and synthesizing lengthy handbook materials, allowing staff to focus on deeper analysis and supervisory judgment. This supports the agency’s mission by promoting more consistent application of asset quality standards and strengthening the timeliness and effectiveness of examinations. The public benefits indirectly through stronger, more consistent oversight of asset quality risks and improved safety and soundness of financial institutions.","The AI will generate concise summaries of selected Handbook sections, highlighting major concepts, supervisory expectations, risk factors, and procedural steps. Outputs may include narrative summaries, bullet points, or structured outlines designed to support examiner orientation and prep work. These summaries act as decision-support materials, while final interpretations and supervisory decisions remain with agency personnel."
Treasury,Integrated Financial Management Information System (IFMIS),Internal Revenue Service (IRS),1,0,general_llm,,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"This initiative enables quantitative decision-making that supports improved budget forecasting, formulation, planning, execution, and reporting based on approved methodologies.",The outcome will be a deeper understanding of IT interdependencies and integrated processes and systems.,"Recommended solutions based on various scenarios considering current budget, forecasted demand, pending legislation, projects in various lifecycle stages, statutory requirements, high-impact deliverables, risk, and the various trade-offs necessary for leadership to make the most informed choice.  Improved communications and workflow to expedite and speed up decision making and delivery within in the IT Business Unit."
Treasury,Legislative Analysis Tool,Internal Revenue Service (IRS),1,0,general_llm,Aretec SEARCH,Pilot - The use case has been deployed in a limited test or pilot capacity.,Generative AI,N/A,N/A,"The Legislative Analysis tool is a comprehensive tool for tracking, analyzing, and managing legislative and regulatory changes. It provides the following benefits: Real-time updates on legislative developments at federal, state, & local levels; Robust impact analysis features to assess how legislative changes affect your organization; A comprehensive database of legislative documents, making it easy to search & access relevant information; A user-friendly interface & collaboration features enhance team productivity & compliance management",Improve efficiency,"The outputs include the following: summaries of the chosen section of the bill; the # of impacted IT Systems and the estimated level of effort, per section; the forms outlined in each section, and their respective reasoning for impact."
Treasury,Meeting Minute Summarization,Office of the Comptroller of the Currency (OCC),1,0,general_llm,,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"Ability to synthesize information based on extensive discussions, action items, and decisions that must be captured accurately in meeting minutes. Manual compilation of these minutes is time-consuming, varies in quality, and can distract staff from active participation. The AI is intended to streamline this process by producing clear, organized summaries of meeting discussions, reducing the burden on staff and improving consistency in how meeting outcomes are documented.","The AI enhances efficiency by providing timely, reliable summaries of meeting minutes, helping staff quickly understand key decisions, responsibilities, and next steps. This supports the agency’s mission by improving coordination, ensuring accurate communication of supervisory-relevant information, and enabling more timely follow-through on issues. Indirectly, the public benefits from stronger oversight and more effective execution of supervisory responsibilities.","The AI will generate structured, concise summaries of meeting minutes, capturing major discussion points, decisions made, action items, and assigned responsibilities. Outputs may include narrative summaries, bullet-point action lists, and categorized topics for ease of review. These materials serve as a support tool for examiners and staff, with final validation and interpretation remaining the responsibility of agency personnel."
Treasury,Narrative Summary and Thematic Analysis,Office of the Comptroller of the Currency (OCC),1,0,general_llm,Microsoft Teams,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"The AI helps cut down the time spent reading through lengthy reports. These documents can contain a lot of detail, and staff often need a quick understanding of the main points. The AI provides an easier way to get to the core issues without manually working through the full report.","By giving teams faster access to the key concerns and trends, the AI supports more informed supervisory planning and internal coordination. This strengthens the agency’s ability to stay ahead of potential risks in the banking system, which ultimately contributes to better protection of consumers and the public.","The system generates a clear, readable summary of the report, calling out major themes, noteworthy issues, and any items that may need follow-up. These outputs help staff quickly understand what matters most."
Treasury,Newsletter Content Support,Office of the Comptroller of the Currency (OCC),1,0,general_llm,Microsoft Teams,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"Creating newsletter content requires staff to synthesize updates, draft clear narratives, and format information for broad audiences. This process can be time-consuming, especially when staff must balance writing tasks with other operational responsibilities. The AI is intended to ease this burden by producing initial draft content that captures key messages and themes, allowing staff to focus on refinement rather than starting from scratch.","The AI increases efficiency by accelerating the creation of consistent, well-structured newsletter drafts, helping teams communicate more regularly and effectively. This supports the agency’s mission by improving internal and external information sharing, reducing administrative workload, and ensuring timely dissemination of updates. For the public or broader Treasury stakeholders, clearer and more consistent communication enhances transparency and understanding of agency activities.","The AI will generate draft newsletter content based on provided inputs such as topics, summaries, data points, or key messages. Outputs may include article drafts, section summaries, headline suggestions, and formatted text ready for staff review. The drafts serve as a starting point, with human staff responsible for editing, validating, and approving the final publication."
Treasury,OCC Guidance Summarization,Office of the Comptroller of the Currency (OCC),1,0,general_llm,,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"OCC staff must frequently review a wide range of OCC regulatory sources—Handbooks, Bulletins, statutes, old Circulars, Interpretive Letters, Corporate Actions, and related guidance—to understand requirements and develop supervisory positions. Manually locating, reading, and synthesizing these materials is time-consuming and can slow the early stages of analysis. The AI is intended to streamline this initial research by quickly identifying relevant sources and summarizing key regulatory points.","The AI helps staff rapidly gain orientation to applicable regulatory frameworks, reducing the time spent gathering and processing foundational information. This supports the agency’s mission by promoting more timely and consistent application of asset management regulations and supervisory expectations. The public benefits through enhanced oversight of fiduciary and asset management activities, contributing to stronger investor protection and safer banking practices.","The AI will generate targeted summaries of relevant regulatory documents, highlight key obligations and thematic concepts, and provide references to specific OCC guidance sources applicable to the question or issue being researched. Its outputs serve as a starting point for examiners and policy staff, facilitating more efficient and informed review while ensuring that final interpretations and decisions remain with agency experts."
Treasury,OCC Writing Style Adherence,Office of the Comptroller of the Currency (OCC),1,0,general_llm,Microsoft Teams,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"Examiners must ensure that written supervisory products consistently adhere to the OCC Writing Style Manual before submitting them to their EICs for review. Manually checking documents for clarity, tone, structure, grammar, and style compliance can be time-consuming and may lead to inconsistencies across teams. The AI is intended to provide a first-pass review that identifies deviations from writing guidelines and highlights areas needing refinement, reducing the burden on staff.","The AI improves the quality and consistency of written supervisory communications by helping examiners align their drafts with OCC writing standards before formal review. This supports the agency’s mission by promoting clearer, more professional, and more effective supervisory messaging. The public benefits indirectly from improved clarity and coherence in supervisory documents, which strengthen the transparency and reliability of regulatory communications.","The AI will produce feedback on examiner-written materials, including suggested revisions for grammar, clarity, organization, conciseness, and alignment with OCC Writing Style Manual expectations. Outputs may include highlighted text, recommended rephrasing, structural guidance, and style compliance notes. These suggestions serve as decision-support tools for examiners, while all final writing decisions and supervisory judgments remain with OCC staff."
Treasury,Public Information Analysis,Office of the Comptroller of the Currency (OCC),1,0,general_llm,,Pre-Deployment - The use case is in a development or acquisition status.,Generative AI,N/A,N/A,"Review of transcripts can be time-consuming, especially when trying to compare themes, identify shifts in tone, or spot notable changes. The AI helps streamline this work by quickly analyzing the transcripts and pulling together the main similarities, differences, and key insights that normally require extensive manual review.","With faster access to clear, consolidated insights from transcripts examiners and analysts can more effectively monitor trends, emerging risks, management perspectives. This strengthens supervisory awareness and supports more timely oversight, which in turn contributes to a safer banking environment that benefits the broader public.","The system generates summaries of individual transcripts, identifies patterns and highlights noteworthy variations, and produces a consistent executive-level overview. These outputs give users a clearer view of what banks are reporting and how those messages evolve over time."
