agency,use_case_name,bureau_component,current_is_general_llm_access,current_is_generative_ai,ai_sophistication,tool_product_name,stage_of_development,ai_classification,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
NASA,AI-Assisted Analysis Across the IV&V and Software Assurance Lifecycle,OSMA: Office of the Chief Safety & Mission Assurance,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Leverage opportunities to automate overly manual analysis tasks, with a goal of amplifying productiivity and efficiency, allowing employees to free up their time for more complex tasks.","Reduce false positives in static analysis, trace design to code, identify issues, generate comments, requirements/design traceability, gap detection, change impact analysis, completeness/correctness checks, Generate edge/off-nominal test cases, identify missing tests, assess requirement flow-down..","Insights into potential software defects and anomolies, impacts of vulnerabilities on flight assets, better understanding of software complexities and risks to focus IV&V and software assurance services."
NASA,ATLAS,GISS: Goddard Institute for Space Studies,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Atlas is a RAG-based solution for answering questions about NASA standards, directives, and Space Act Agreements. It uses publicly available NASA standards, directives and Space Ac Agreements. Users ask questions to Atlas which then fines relevant excerpts from the corpus of NASA public data in order to provide answers.",The framework developed for this may be applied to other high interest data sets.,"answering questions about NASA standards, directives, and Space Act Agreements"
NASA,Background matrix Generation with Stable Diffusion,GSFC: Goddard Space Flight Center,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Background matrix Generation with Stable Diffusion,Background matrix Generation with Stable Diffusion,Predictions
NASA,Cloud avoidance for Atmospheric Retrieval Missions,JPL: Jet Propulsion Laboratory,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Methods for atmospheric retrieval of earth science data.,Improved science results.,Methods for atmospheric retrieval of earth science data.
NASA,Data Augmentation Pipeline for Zero-Shot Sim-to-Real Transfer in Vision-Based Robot Navigation,ARC: Ames Research Center,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"We developed a data augmentation pipeline to enhance the training of vision-based navigation models for robotics, addressing the challenges of limited real-world data.","By combining foundation model-based segmentation with CycleGAN for sim-to-real style transfer, our approach generates realistic, labeled images from synthetic data, enabling models to better generalize to real-world environments. This innovative capability enhances vision-based navigation tasks, such as vehicle pose estimation and road segmentation, significantly closing the sim-to-real gap in robotic perception applications.","realistic, labeled images from synthetic data"
NASA,Decision Theoretic Planning,JPL: Jet Propulsion Laboratory,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Algorithms to plan and optimize different outcomes,Increase autonomy and efficiency.,Algorithms to plan and optimize different outcomes
NASA,Diffusion Modeling of the Solar Corona,GSFC: Goddard Space Flight Center,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"Diffusion models such as DeepMind’s GenCast have demonstrated powerful performance in terrestrial weather forecasting, achieving results on-par and surpassing leading medium-range numerical weather simulations. We present our initial results to train a Denoising Diffusion Probabilistic Model (DDPM) of the solar corona, aimed as a first step at generating synthetic solar magnetic fields based on conditioning inputs. Conditioning inputs include multi-spectral imagery, magnetograms, and other measurements commonly used to frame coronal inverse problems.

Our initial experiment targets the generation of synthetic global magnetic field configurations of the solar coronal basedon conditioning with the solar cycle phase. The model is trained on 10 years of WSA potential field source surface(PFSS) model runs, augmented with 15° to 345° azimuthal rotations to increase data diversity. Training is conducted inthe spherical harmonics domain, leveraging concepts from Fourier Neural Operators (FNOs) and Spherical Fourier Neural Operators (SFNOs). A physics-informed loss function, built on a differentiable spherical harmonic expansion, isused to maximize generation of realistic 3D magnetic potentials.",First step towards probabilistic modeling of the solar corona,3D Magnetic Field Structures in the Solar Corona
NASA,"Dynamic, Intelligent, Tomographic Imaging",JPL: Jet Propulsion Laboratory,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Methods for analyzing 3D imaging data,Improved methods for data understanding.,Methods for analyzing 3D imaging data
NASA,Giovanni GPT,GSFC: Goddard Space Flight Center,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Giovanni GPT,Giovanni GPT,Predictions
NASA,Instantaneous Clarity of Ambient eNvironment Capability (ICAN-C),MSFC: Marshall Space Flight Center,1,0,general_llm,,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,Generative AI,NA - local machine,,To determine the applicability of using AI/ML to correct obscured vision. Landing systems where sedement is blown around and/or dusty environments are the primary application.,Improving safety in instances of obscurred vision,Output is clearer image
NASA,JSC NC PRA Cut Set Tool,JSC: Johnson Space Center,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Probabilistic Risk Assessment (PRA) identifies minimal cut sets - smallest combination of simultaneous failures to cause a system or mission failure.,Probabilistic Risk Assessment (PRA) identifies minimal cut sets - smallest combination of simultaneous failures to cause a system or mission failure.,Probabilistic Risk Assessment (PRA) identifies minimal cut sets - smallest combination of simultaneous failures to cause a system or mission failure.
NASA,OCFO External Performance Reporting,HQ: Headquarters,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Gen AI uses performance data provided by MDs to write a draft summary performance report,Gen AI uses performance data provided by MDs to write a draft summary performance report,Written Summary of MD-provided performance data in a formal report style
NASA,OCFO President Budget Request RAG,HQ: Headquarters,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,A retrieval augmented generation tool that can answer questions based on president's budget requests,A retrieval augmented generation tool that can answer questions based on president's budget requests,answers
NASA,PIX4DCloud,GSFC: Goddard Space Flight Center,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,Geostationary spectrometer based foundation model (ABI-FM) and evaluation on benefits for 3D cloud and convection related downstream tasks,A new all-sky EO-FM model. A thorough evaluation for downstream task benefits. A suite of 3D cloud prediction model from spetrometers.,gap filling; prediction
NASA,Reconstruction of cloud vertical structure,GSFC: Goddard Space Flight Center,1,0,general_llm,,a) Pre-deployment – The use case is in a development or acquisition status.,Generative AI,,,"This work explores the feasibility of solving atmospheric remote sensing problems with machine learning using conditional generative adversarial networks (CGANs), implemented using convolutional neural networks. We apply the CGAN to generating two-dimensional cloud vertical structures that would be observed by the CloudSat satellite-based radar, using only the collocated Moderate-Resolution Imaging Spectrometer measurements as input.",Reconstruction of cloud vertical structure,Predictions
