canonical_name,verdict,categories,gen_ai,confidence,reason
ACCRETE ARGUS,confirm,nlp,0,low,"Supply-chain influence analytics plausibly runs NLP over open-source text; sparse evidence."
APT Analytics,confirm,none,0,low,"Insufficient detail to assign a capability class."
ATLAS (Forest Service),confirm,none,0,low,"Geospatial analytics/mapping platform with no vocabulary capability."
ATS Passport Anomaly Model,confirm,none,0,low,"Predictive anomaly-scoring model; no listed capability."
ATS Trade Entity Risk Model,confirm,none,0,low,"Predictive risk-scoring model; outside the vocabulary."
AWS Bedrock,confirm,genai_platform,1,high,"Managed foundation-model hosting/serving surface."
AWS Rekognition,confirm,vision,0,high,"Image/video object and text detection."
AWS Translate,confirm,translation,0,high,"Neural machine translation; NMT is not novel-content generation."
Abbott OPTIS Imaging,confirm,vision,0,low,"OCT medical imaging analysis falls in the vision class."
Adobe,confirm,none,0,low,"Generic umbrella brand with no specific capability."
Adobe Premiere Pro,confirm,vision,0,low,"Video-editing AI centers on media/scene analysis; low-confidence call."
Adobe Sensei,confirm,vision,0,low,"Embedded AI engine primarily powering image/content analysis."
Advanced Trade Analytics Platform,confirm,none,0,low,"General trade analytics with no clear AI capability."
AgileMD eCART,confirm,none,0,low,"Clinical early-warning risk score; predictive ML outside the vocabulary."
Airtable AI,confirm,assistant,1,medium,"Embedded OpenAI-backed assistant features in a low-code database."
Alation Data Catalog,confirm,none,0,low,"Data catalog whose ML features do not match a capability."
AlphaFold,confirm,none,0,low,"Protein-structure prediction; scientific ML outside the vocabulary."
Altana Atlas,confirm,none,0,low,"Entity resolution over trade data; not a listed capability."
Amazon CodeWhisperer,confirm,assistant,1,high,"AI coding assistant generating code in the developer workflow."
Amazon Q,confirm,assistant,1,high,"Enterprise AI copilot embedded across workflows; rubric names it assistant."
Apple Intelligence,confirm,assistant,1,medium,"Embedded generative writing/image assistant features."
Articulate 360 AI Assistant,confirm,assistant,1,medium,"AI assistant embedded in the course-authoring workflow."
Asana,confirm,assistant,1,low,"Asana Intelligence is an embedded generative assistant."
Ask Sage,confirm,genai_platform,1,high,"GenAI platform authorized for federal/DoD LLM use; named in rubric."
AveriSource,confirm,none,0,low,"Legacy code-modernization tooling with no listed capability."
Azure AI Foundry,confirm,genai_platform,1,high,"Hosts/serves/fine-tunes generative models; named in rubric."
Azure AI Translator,confirm,translation,0,high,"Neural machine translation; not novel-content generation."
Azure Computer Vision,confirm,vision,0,high,"Image-analysis API used for blank-page detection; non-generative."
Azure OpenAI,confirm,genai_platform,1,high,"General-purpose LLM API surface; archetypal genai_platform."
Beckman Coulter DxH 800,confirm,vision,0,low,"Digital cell-morphology image classification is a vision capability."
BillieGPT,confirm,genai_platform,1,medium,"VA general-purpose GPT chat surface; genai_platform per boundary rule."
BioRender,confirm,assistant,1,low,"Embedded AI assist generates figures; peripheral to the product."
Biosense Webster CARTO 3,confirm,none,0,low,"Cardiac electroanatomic mapping; signal/spatial, outside vocabulary."
Brainlab Cirq Alignment,confirm,none,0,low,"Robotic surgical alignment arm; hardware outside the vocabulary."
Brainlab Cranial Navigation,confirm,vision,0,low,"Image-guided navigation processes medical imaging (vision)."
Brainlab Elements Spine,confirm,vision,0,low,"Spine planning built on medical image analysis (vision)."
BriefCatch,confirm,nlp,1,low,"Legal-writing editor analyzing text and suggesting rewrites."
Broadcom Code for Z,confirm,assistant,1,medium,"AI-assisted mainframe code analysis/refactoring assistant."
CANDA UEBA,confirm,none,0,high,"User-and-entity behavior analytics security tool; excluded per rule."
CISAChat,confirm,genai_platform,1,medium,"DHS internal general-purpose LLM chat surface."
CMS AI Agent Orchestrator,confirm,genai_platform,1,medium,"Orchestrates generative AI agents; an agent-serving platform."
CMS ELMO Chatbot,confirm,chatbot,1,medium,"Task-specific Medicare eligibility/enrollment support chatbot."
CMS Integrated Data Repository Customer Analytic Environment,confirm,none,0,low,"Data warehouse/analytic environment; not a listed capability."
CMS Medicare AI Customer Insights,confirm,nlp,1,low,"AI analysis of customer feedback (sentiment/summarization)."
