canonical_name,categories,gen_ai,confidence,reasoning
Azure AI Document Intelligence,doc_processing,0,high,"Microsoft's OCR/intelligent document extraction service, the canonical doc_processing product."
Azure AI Foundry,genai_platform,1,high,"Azure AI Foundry hosts, serves, and fine-tunes generative models — named in the rubric as a genai_platform."
Azure AI Translator,translation,0,high,"Azure's neural machine translation service; the gen-AI hint overstates it — NMT translation is not novel-content generation."
Azure Computer Vision,vision,0,high,"Azure's image-analysis API used here for blank-page detection, explicitly described as non-generative."
Azure Data Factory,none,0,medium,"Data integration/ETL service; embedded anomaly-detection and data-quality ML does not amount to any vocabulary capability."
Azure OpenAI,genai_platform,1,high,"OpenAI models hosted on Azure — a general-purpose LLM API surface, the archetypal genai_platform."
Azure Speech,speech,0,high,"Azure's speech-to-text and text-to-speech cognitive service."
Azure Synapse Analytics,none,0,medium,"Data warehousing/analytics platform; no productized capability from the vocabulary despite Spark ML adjacency."
GitHub Copilot,assistant,1,high,"AI pair-programming copilot embedded in the developer workflow — a rubric-listed assistant."
Microsoft,none,0,low,"Vendor-level umbrella entry with no identifiable product or capability; snippets are just the vendor name."
Microsoft 365,none,0,medium,"Productivity suite umbrella; the AI capabilities (Copilot, Copilot Chat) are separate catalog entries."
Microsoft 365 Apps for Enterprise,none,0,low,"Office apps licensing SKU; the gen-AI hint likely reflects Copilot, which is a separate catalog product."
Microsoft 365 Copilot,assistant,1,high,"Enterprise LLM copilot embedded in Office apps — the rubric's worked example for assistant."
Microsoft 365 Copilot Chat,assistant,1,high,"Free in-app Copilot chat tier embedded in the Microsoft 365 workflow suite, so assistant rather than standalone platform."
Microsoft AI Builder,ml_lowcode|doc_processing,0,high,"Rubric-listed low-code ML builder, and the snippets show productized OCR/forms extraction (889 Document Processor) as a bought capability."
Microsoft Azure Authoring Tools,none,0,medium,"Azure developer/authoring tools SKU with no AI capability of its own."
Microsoft Azure Platform,none,0,medium,"Cloud infrastructure umbrella; the AI capabilities (OpenAI, Speech, Document Intelligence) are separate child catalog entries."
Microsoft Azure PowerShell,none,0,high,"Command-line management tooling for Azure with no AI capability."
Microsoft Azure Quantum Elements,none,0,medium,"HPC/quantum-chemistry simulation service for materials science; scientific computing outside the capability vocabulary."
Microsoft Copilot Studio,chatbot,1,high,"Low-code platform for building custom copilots and dialog agents (Power Virtual Agents successor) — the task-specific bot-building class."
Microsoft Copilot for Security,assistant,1,high,"GenAI security-operations copilot embedded in the security analyst workflow."
Microsoft Defender,none,0,high,"Endpoint security with embedded ML threat detection; per the rubric security analytics ML alone does not qualify for a category."
Microsoft Discovery,genai_platform,1,low,"Microsoft's agentic generative-AI platform for scientific R&D; sparse snippets so the platform framing is uncertain despite the hint of 0."
Microsoft Dynamics 365,none,0,medium,"CRM/ERP business application; embedded AI features do not constitute a vocabulary capability here."
Microsoft Edge,none,0,high,"Web browser; consumer feature entry with no procurable AI capability."
Microsoft Exchange Server,none,0,high,"Email server software with no AI capability."
Microsoft HoloLens,none,0,medium,"AR headset hardware used for inspection training; device-level tracking is not a procurable vision-analytics capability."
Microsoft OneDrive,none,0,high,"File storage/sync product with no AI capability."
Microsoft OneNote,none,0,high,"Note-taking app with no AI capability."
Microsoft Outlook,none,0,high,"Email client with no standalone AI capability (Copilot is separate)."
Microsoft Power BI,none,0,high,"BI dashboarding product — plain BI is an explicit none per the rubric."
Microsoft Power Platform,ml_lowcode,0,high,"Low-code app platform whose AI features (AI Builder class) are the rubric's ml_lowcode example."
Microsoft PowerPoint,none,0,high,"Presentation software with no standalone AI capability."
Microsoft Project,none,0,high,"Project management software with no AI capability."
Microsoft Purview,none,0,medium,"Data governance/compliance product; its embedded ML classifiers are governance plumbing, analogous to the rubric's security-analytics exclusion."
Microsoft Purview eDiscovery,nlp,0,medium,"Snippet shows attorney-client privilege detection — text classification of documents, a productized NLP capability."
Microsoft ScreenSketch,none,0,high,"Screen capture/annotation utility with no AI capability."
Microsoft Search in Bing,search,0,medium,"Microsoft Search enterprise search with semantic ranking across M365 content."
Microsoft Sentinel,none,0,high,"SIEM security analytics; ML-based detection alone does not qualify per the rubric."
Microsoft Skype,none,0,high,"Consumer communications app with no AI capability."
Microsoft Teams,speech,0,medium,"Collaboration platform whose live meeting transcription is a genuinely productized speech-to-text capability; Copilot in Teams is the separate M365 Copilot entry."
Microsoft Viva,none,0,medium,"Employee-experience/insights analytics suite; despite the gen-AI hint, the Viva products here (Insights) are workplace analytics dashboards."
SQL Server Management Studio,none,0,high,"Database administration tooling with no AI capability."
Visual Studio,none,0,medium,"IDE; built-in IntelliCode completion is incidental and GitHub Copilot is cataloged separately."
Visual Studio Enterprise,none,0,medium,"IDE licensing SKU with no standalone AI capability."
AWS Translate,translation,0,high,"Amazon's neural machine translation service; the gen-AI hint overstates it — NMT is not novel-content generation."
Amazon Connect,chatbot|speech|nlp,1,high,"Cloud contact center providing IVR/virtual-agent bots, call transcription, and sentiment analytics, with generative agent-assist (Amazon Q in Connect)."
Axon Evidence,vision|speech,0,medium,"Digital evidence platform with productized AI video redaction (vision) and audio transcription (speech); the gen-AI hint likely reflects Draft One, a different Axon product."
Axon FUSUS,vision,0,medium,"Real-time crime center that runs video analytics over integrated camera feeds."
Ginnie Mae Automated Draft Narrative Reports,nlp,0,low,"Custom NLG system drafting narrative reports from financial data; likely template/analysis-driven generation rather than a generative model, but details are thin."
