canonical_name,categories,gen_ai,confidence,reasoning
GE Healthcare AMX Portable X-ray,vision,0,medium,AI-enabled portable X-ray whose imaging AI (Critical Care Suite) analyzes radiographs for findings.
GE Healthcare Critical Care Suite,vision,0,high,On-device AI that detects pneumothorax and tube placement on chest X-rays.
GE Healthcare Discovery MI,vision,0,medium,PET/CT scanner using deep-learning image reconstruction and analysis.
GE Healthcare EchoPAC,vision,0,medium,Cardiac ultrasound analysis software with automated AI measurement of echo images.
GE Healthcare FastStroke CT Perfusion 4D,vision,0,high,AI CT perfusion analysis for stroke imaging quantification.
GE Healthcare LOGIQ Ultrasound,vision,0,medium,Ultrasound system with AI-assisted image acquisition and measurement.
GE Healthcare Omni Legend PET/CT,vision,0,medium,PET/CT scanner with AI-based image reconstruction and analysis.
GE Healthcare SIGNA Artist (AIR Recon DL),vision,0,high,MRI with AIR Recon DL deep-learning image reconstruction.
GE Healthcare TrueFidelity CT,vision,0,high,CT using deep-learning image reconstruction to denoise and enhance images.
GE Healthcare Venue Fit,vision,0,medium,Point-of-care ultrasound with AI-assisted image interpretation.
GE Healthcare Vivid E Ultrasound,vision,0,medium,Cardiac ultrasound with AI automated measurements on echo images.
GE Healthcare Vivid iq,vision,0,medium,Portable cardiac ultrasound with AI-assisted image analysis.
GE Healthcare Voluson Expert,vision,0,medium,OB/GYN ultrasound with AI-assisted image measurement (SonoAI-style features).
GE Healthcare Xeleris V,vision,0,medium,Nuclear medicine processing workstation with AI-based image quantification.
ChatGPT,genai_platform,1,high,OpenAI general-purpose conversational LLM surface.
DALL-E,genai_platform,1,high,OpenAI generative image model serving novel images from prompts.
OpenAI API,genai_platform,1,high,Direct OpenAI LLM API access as a general-purpose generative model surface.
OpenAI Codex (legacy model),genai_platform,1,high,OpenAI code-generation LLM that powered original GitHub Copilot.
OpenAI Codex CLI,assistant,1,high,Agentic terminal-based AI coding assistant peer to Claude Code.
OpenAI Deep Research,genai_platform,1,medium,OpenAI agentic LLM research product that generates cited reports.
Philips EPIQ/Affiniti Ultrasound,vision,0,medium,Ultrasound systems with AI-assisted image acquisition and measurement.
Philips QLAB,vision,0,medium,Cardiac ultrasound quantification software with automated AI image analysis.
Philips Smart Collimation Thorax,vision,0,medium,AI-driven auto-collimation on chest X-ray using image analysis.
Philips Vereos PET/CT,vision,0,medium,PET/CT scanner with AI-based image reconstruction.
Philips eCareManager,none,0,low,Tele-ICU platform with predictive analytics; no listed AI capability class applies.
ATS Passport Anomaly Model,none,0,low,Anomaly-scoring model on passport data; predictive ML with no listed capability class.
ATS Trade Entity Risk Model,none,0,low,Risk-scoring model over trade entities; predictive analytics outside the vocabulary.
Advanced Trade Analytics Platform,none,0,low,CBP trade analytics platform; general analytics with no clear AI capability class.
CBP Translate,translation,0,high,CBP machine translation service between human languages.
Traveler Verification Service,vision,0,high,CBP facial-recognition biometric matching service for travelers.
Canon Alphenix Angio Workstation,vision,0,medium,Angiography workstation with AI-assisted image processing.
Canon Aplio Ultrasound,vision,0,medium,Ultrasound with AI-assisted image acquisition and analysis.
Canon Aquilion ONE AiCE,vision,0,high,CT with AiCE deep-learning image reconstruction.
Canon Cartesion Prime PET/CT,vision,0,medium,PET/CT scanner with AI-based image reconstruction.
PEST (Parameter Estimation),none,0,low,Groundwater model parameter-estimation/optimization software rather than an AI capability class.
Tesseract OCR,doc_processing,0,high,Open-source optical character recognition engine.
crYOLO,vision,0,high,Deep-learning object detection for particle picking in cryo-EM micrographs.
cryoDRGN,vision,0,medium,Neural-network reconstruction of 3D structure from cryo-EM images.
Cisco,none,0,low,Bare vendor name with no product specificity to assign a capability.
Cisco Identity Services Engine,none,0,medium,Network access control with ML device profiling; security analytics only.
Cisco Secure Network Analytics,none,0,medium,Network detection-and-response using ML anomaly detection; security analytics only.
APT Analytics,none,0,low,DOE analytics tool with insufficient detail to assign a capability class.
DOE OGC Docket Database,none,0,low,Internal docket-tracking database; no AI capability described.
SEA-CROGS,none,0,low,DOE scientific-ML research effort with insufficient detail to classify.
Veritone,speech,0,medium,Veritone aiWARE media-analysis platform with transcription and facial recognition engines.
Veritone Digital Media Hub,search,0,medium,AI-powered search of event photo/media databases in a DAM portal.
Veritone Illuminate,speech,0,low,Government media analysis/redaction tool using transcription and detection engines.
DOL Auntee Bot,nlp,1,medium,Meeting-notes summarization tool that generates text summaries.
Worker PLUS,none,0,low,DOL data analytics tool with insufficient detail to assign a capability.
Litera Compare,none,0,medium,Document comparison/redlining tool without a listed AI capability class.
Litera TOA Builder,nlp,0,medium,Extracts legal citations from documents to build tables of authorities.
OpenText Axcelerate,search,0,medium,eDiscovery platform with AI/NLP-powered search and predictive coding.
OpenText Decisiv,search,0,medium,AI-powered legal knowledge search and retrieval.
CargoNet,none,0,low,Cargo-theft data aggregation and predictive analytics outside the vocabulary.
ISO ClaimSearch,none,0,low,Claims database with fraud analytics; predictive analytics outside the vocabulary.
Agfa DR 800 MUSICA,vision,0,medium,X-ray system with MUSICA AI image processing and enhancement.
Airtable AI,assistant,1,medium,Embedded OpenAI-backed AI assistant features in a low-code database product.
Amped Software,vision,0,medium,Forensic image and video authentication and enhancement analysis.
Ask Sage,genai_platform,1,high,GenAI platform authorized for federal/DoD LLM use.
Axon,speech,1,medium,Evidence platform with AI transcription and video redaction plus generative report drafting (Draft One).
BD Pyxis MedStation,none,0,medium,Medication-dispensing system with predictive inventory analytics; no listed capability class.
Biotronik Home Monitoring,none,0,medium,Cardiac device remote monitoring with analytics; no listed AI capability class.
