canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets,assigned_categories,assigned_gen_ai,assigned_confidence,assigned_reasoning
OpenText Axcelerate,OpenText,ediscovery,0,0,,,1,1,OpenText Axcelerate AI and natural-language powered search,search,0,medium,eDiscovery platform with AI/NLP-powered search and predictive coding.
PEST (Parameter Estimation),Open Source,scientific_ml,0,0,,,1,1,product_queue_review_2026-06: 'PEST LMGSS Groundwater Modeling ... Forward cast ground water behavior' - catalog 'PEST (Parameter Estimation)'.,none,0,low,Groundwater model parameter-estimation/optimization software rather than an AI capability class.
Palantir AIP,Palantir,agent_platform,1,0,Palantir Federal Cloud Service,Palantir's AI Platform,25,6,Palantir | Palantir | palantir,ml_platform|genai_platform,1,high,Ops platform with first-class LLM orchestration alongside ML tooling.
Palantir Case Management & Analytics (CMA),Palantir,data_analytics,0,0,Palantir Federal Cloud Service,,2,1,Palantir Case Management & Analytics (CMA) | Palantir Case Management & Analytics (CMA),ml_platform,0,low,Case-management analytics application built on Palantir's data/ML platform.
Palantir Federal Cloud Service,Palantir,cloud_platform,0,0,,,3,2,"Palantir Palantir Federal Cloud Service | product_queue_review_2026-06: 'Palantir CfA PFCS PFCS Proving Ground' — PFCS is the Palantir Federal Cloud Service, a catalog entry. | product_queue_review_2026-06: 'Palantir, OpenAI CfA PFCS StateChat' — StateChat is State's enterprise GenAI chatbot built on Palantir Federal Cloud Service with OpenAI models.",ml_platform,0,medium,Foundry-based federal cloud platform hosting analytics and GenAI apps.
Pangolin Lineage,COG-UK,scientific_ml,0,0,,,1,1,Pangolin Lineage,none,0,low,"Bioinformatics lineage-assignment classifier, no vocabulary capability."
PassiveLogic,PassiveLogic,scientific_ml,0,0,,,1,1,PassiveLogic,none,0,low,Autonomous building-controls AI with no vocabulary capability.
Penlink,Penlink,threat_intel,0,0,,,3,2,Penlink | PenLink | PenLink,none,0,low,Communications-records and OSINT investigative platform; specific vocabulary AI capability not evidenced in the record.
Perplexity,Perplexity AI,general_llm,1,0,,Conversational answer engine,24,6,perplexity.ai | perplexity.ai | Perplexity AI,genai_platform|search,1,high,Conversational answer engine grounding LLM responses in web search/retrieval.
Person-Centric Identity Services Deduplication Model,U.S. Citizenship and Immigration Services,nlp,0,0,,,1,1,Person-Centric Identity Services Deduplication Model,nlp,0,low,Identity-record deduplication via name/text matching; closest fit is nlp entity matching.
Philips eCareManager,Philips,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,Tele-ICU platform with predictive analytics; no listed AI capability class applies.
Pingoo.AI,Pingoo.AI,nlp,1,0,,,1,1,pingoo.ai,chatbot,1,low,AI chatbot platform inferred to be generative.
Planmeca Romexis,Planmeca,clinical_decision_support,0,0,,,1,1,Romexis Dental Imaging Software,none,0,low,Dental imaging management software; no distinct listed AI capability indicated.
Podimetrics SmartMat,Podimetrics,clinical_decision_support,0,0,,,1,1,via add_product,none,0,low,Sensor mat with predictive monitoring for diabetic ulcers; no listed capability fits.
Poolside,Poolside,coding_assistant,1,0,,AI coding assistant,2,2,Poolside | Poolside,assistant,1,high,AI coding assistant for developers.
ProLaw,Thomson Reuters,legal_research,0,0,Thomson Reuters,Thomson Reuters ProLaw legal practice management with integrated search and AI features.,1,1,ProLaw,none,0,low,Legal practice-management software; its AI/search features are peripheral and vague.
ProcureSight,ProcureSight,data_analytics,0,0,,,1,1,ProcureSight,none,0,low,Procurement market-research analytics tool; possible AI search features but no evidence in the record.
Pyramid Analytics,Pyramid Analytics,data_analytics,1,0,,,2,1,pyramid analytics | pyramid analytics,ml_platform,1,low,Augmented-analytics BI platform with AutoML and added generative features.
RAVEn Investigative Prioritization Aggregator,U.S. Homeland Security Investigations,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'Sandia National Laboratories Repository for Analytics in a Virtualized Environment Investigative Prioritization Aggregator' - RAVEn is HSI's Repository for Analytics in ,none,0,low,HSI analytics environment that aggregates and prioritizes investigative leads; no clean capability match.
Rangeland Analysis Platform,University of Montana / NRCS,scientific_ml,0,0,,Public Rangeland Analysis Platform on Google Cloud providing remote-sensing-derived rangeland vegetation models.,2,2,rap | Rangeland Analysis Platform,vision,0,low,Remote-sensing ML deriving rangeland vegetation models from imagery.
Rank One Computing,Rank One Computing,biometrics,0,0,,Rank One Computing face recognition and biometric SDK used in identity and law-enforcement deployments.,1,1,Rank One Computing,vision,0,high,Face-recognition biometric SDK.
Raytheon BBN M3S,Raytheon BBN,media_analysis,0,0,,Raytheon BBN's Multimedia Monitoring System (M3S) ingests and analyzes broadcast and online media for situational awareness.,1,1,Raytheon Multimedia Monitoring System (M3S),speech|translation|nlp,0,low,"Multimedia monitoring ingests broadcast/online media with transcription, translation, and content analysis."
Recorded Future,Recorded Future,threat_intel,0,0,,,1,1,Recorded Future  Cyber Threat Analysis (Recorded Future),none,0,low,"Cyber threat-intelligence analytics, treated as security analytics."
ReflexAI,ReflexAI,training,1,0,,,1,1,reflexai,chatbot,1,low,Conversational AI roleplay for training crisis counselors plus conversation QA.
SEA-CROGS,DOE,scientific_ml,0,0,,,1,1,SEA-CROGS,none,0,low,DOE scientific-ML research effort with insufficient detail to classify.
SQL Server Management Studio,Microsoft,developer_tool,0,0,Microsoft,,2,2,SQL Server Management Studio | Microsoft,none,0,high,Database administration tooling with no AI capability.
SRNS AI Drafting Assistant,Savannah River Nuclear Solutions,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  AI Drafting of Operational Procedures and Training Materials' - catalog 'SRNS AI Drafting Assistant' (Savannah River Nuclear Solutions).,assistant,1,medium,AI assistant that drafts operational procedures and training materials (generative).
SRNS AI Form and Questionnaire Assistant,Savannah River Nuclear Solutions,general_llm,1,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  AI-Form and Questionnaire Assistant' - catalog 'SRNS AI Form and Questionnaire Assistant'.,assistant,1,medium,AI assistant for completing forms and questionnaires (generative).
SRNS AI Tailored Learning,Savannah River Nuclear Solutions,training,1,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  AI-Tailored Learning Management Solutions' - catalog 'SRNS AI Tailored Learning'.,none,0,low,AI-tailored/adaptive learning management; personalization does not map cleanly to a listed capability.
SRNS Operational Efficiency ML,Savannah River Nuclear Solutions,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'SRNS - OT In House Staff  Machine Learning to support Operational Efficiency' - catalog 'SRNS Operational Efficiency ML'.,none,0,low,Applied ML for operational efficiency with no specific listed capability; predictive analytics only.
SSA Quick Disability Determinations Model,SSA / IBM,clinical_decision_support,0,0,,,1,1,product_queue_review_2026-06: 'IBM eDIB (electronic disability) Quick Disability Determinations Model' matches catalog SSA Quick Disability Determinations Model (SSA / IBM).,none,0,low,Predictive model flagging high-probability disability claims; data-mining without a listed capability.
SWBTRAC,DOJ,data_analytics,0,0,,,1,1,SWBTRAC,none,0,low,DOJ tracking analytics tool with no clear vocabulary capability.
Salesforce Einstein,Salesforce,productivity,1,0,Salesforce,,17,9,Salesforce Einstein C2RMT | Salesforce | salesforce,assistant,1,high,Salesforce Einstein/Agentforce embedded CRM AI copilot.
ServiceNow,ServiceNow,itsm,0,0,,,4,2,"product_queue_review_2026-06: 'CCSQ ServiceNow AI Search is a product inside ServiceNow (SaaS)' — ServiceNow platform search feature; mapped to catalog 'ServiceNow' (distinct from Now Assist). | product_queue_review_2026-06: 'ServiceNow, Inc. / Tenable ServiceNow Vulnerability Response' AI remediation assistance — ServiceNow platform AI with Tenable; no closer catalog entry for Vulnerability  | product_queue_review_2026-06: 'ServiceNow Vulnerability Response AI Vulnerability Ticket Deduplication' — ServiceNow AI feature; Tenable/Qualys/Rapid7 appear only as scanner data sources generating du",none,0,low,ITSM platform; its generative and search AI features are catalogued as separate entries.
ServiceNow Now Assist,ServiceNow,itsm,1,0,ServiceNow,ServiceNow's GenAI features,47,18,servicenow | servicenow | servicenow,assistant,1,high,ServiceNow's embedded generative AI copilot across its workflows.
Shabash Merops,Shabash,nlp,0,0,,,1,1,product_queue_review_2026-06: 'Shabash Merops Automate and expedite copyediting of scientific manuscripts' — catalog entry 'Shabash Merops'.,nlp,0,low,"Automated copyediting of scientific manuscripts (text processing, nlp)."
Siemens ACUSON Sequoia,Siemens Healthineers,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,low,Ultrasound imaging system whose AI capability is medical image analysis.
Siemens Biograph PET/CT,Siemens Healthineers,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,low,PET/CT scanner with AI-assisted medical image reconstruction and analysis.
Siemens MAGNETOM,Siemens Healthineers,clinical_decision_support,0,0,,,1,1,MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma,vision,0,low,MRI scanner family with AI-assisted medical image processing.
Siemens SOMATOM go.,Siemens Healthineers,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,low,CT scanner with AI-assisted medical imaging.
Siemens YSIO Max,Siemens Healthineers,clinical_decision_support,0,0,,,1,1,siemens ysio max,vision,0,low,X-ray imaging system with AI-assisted image processing.
Siemens syngo,Siemens Healthineers,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,low,Medical imaging visualization/analysis software.
Skyward CEDAR/CLAW,Skyward IT Solutions,agent_platform,0,0,,,2,1,product_queue_review_2026-06: 'Skyward IT Solutions CEDAR CMS Chat' — CMS Chat is delivered by Skyward on the CEDAR platform; catalog entry 'Skyward CEDAR/CLAW'. | product_queue_review_2026-06: 'Skyward Solutions CEDAR CMS Labor Analysis Wizard (CLAW)' — catalog entry 'Skyward CEDAR/CLAW'.,assistant,1,low,CMS Chat conversational assistant and analysis wizard on the CEDAR platform.
Slack,Salesforce,productivity,1,0,Salesforce,Team messaging with Slack AI,4,2,slack ai | slack | slack,assistant,1,medium,"Slack with Slack AI, an embedded assistant for summarization and search."
Smiths Detection TruNarc,Smiths Detection,forensics,0,0,,Handheld Raman-spectroscopy narcotics analyzer with onboard classification of controlled substances.,1,1,"TruNarc, Smiths Detection",none,0,low,"Raman-spectroscopy narcotics classifier, not a vocabulary capability."
SpyglassGPT,Unknown,general_llm,0,0,,,1,1,SpyglassGPT,genai_platform,1,low,Name indicates an LLM chat surface; limited detail beyond generative hint.
