canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets,assigned_categories,assigned_gen_ai,assigned_confidence,assigned_reasoning
ACCRETE ARGUS,ACCRETE AI Government,supply_chain,0,0,,,1,1,"product_queue_review_2026-06: ""ACCRETE AI Government ARGUS ... ARGUS AI Supply Chain Influence"" -- catalog ACCRETE ARGUS.",nlp,0,low,Supply-chain influence analytics inferred to use NLP over open-source text.
APT Analytics,DOE,scientific_ml,0,0,,,1,1,APT Analytics,none,0,low,DOE analytics tool with insufficient detail to assign a capability class.
ATLAS (Forest Service),USDA Forest Service,data_analytics,0,0,,,3,1,"product_queue_review_2026-06: ""Kikaha Solutions, LLC ... Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS), USFS Geospatial Platform ... Survey and mapping of forest damag | product_queue_review_2026-06: ""Google Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS) TreeSearch ... streamline the usability of the US Forest Service (USFS) TreeSearch  | product_queue_review_2026-06: ""Wildfire.org Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS) Turbo plan ... Accelerating environmental planning"" -- catalog Wildfire.org T",none,0,low,"Geospatial analytics/mapping platform, no clear vocabulary capability."
ATS Passport Anomaly Model,U.S. Customs and Border Protection,nlp,0,0,,,1,1,product_queue_review_2026-06: 'ManTech Automated Targeting System (ATS) Passport Anomaly Model' - catalog 'ATS Passport Anomaly Model'.,none,0,low,Anomaly-scoring model on passport data; predictive ML with no listed capability class.
ATS Trade Entity Risk Model,U.S. Customs and Border Protection,data_analytics,0,0,,,1,1,product_queue_review_2026-06: 'ManTech Automated Targeting System (ATS) Trade Entity Risk Model' - exact catalog entry.,none,0,low,Risk-scoring model over trade entities; predictive analytics outside the vocabulary.
AWS Bedrock,Amazon,general_llm,1,1,Amazon Web Services,Amazon's managed foundation model service,13,9,Amazon Bedrock | AWS Bedrock | AWS Bedrock,genai_platform,1,high,Amazon's managed foundation-model service for hosting and serving generative LLMs.
AWS Rekognition,Amazon,computer_vision,0,0,Amazon Web Services,,3,3,"aws rekognition | Amazon | User uploads a DICOM image, which is converted and passed to the AWS Rekognition service. Output is a JSON block with predictions on the location of text within an image",vision,0,high,Image and video analysis for object/text detection and recognition.
AWS Translate,Amazon Web Services,translation,1,0,Amazon Web Services,Amazon's neural machine translation service for translating text between languages.,1,1,AWS Translate,translation,0,high,Amazon's neural machine translation service; the gen-AI hint overstates it — NMT is not novel-content generation.
Abbott OPTIS Imaging,Abbott,clinical_decision_support,0,0,,,1,1,via add_product,vision,0,low,OCT medical imaging system; the extent of productized AI image analysis is unclear from the record.
Adobe,Adobe,productivity,0,0,,,7,6,adobe | Adobe | Adobe,none,0,low,Generic vendor umbrella brand with no specific AI capability identified.
Adobe Premiere Pro,Adobe,media_analysis,1,0,Adobe Creative Cloud Suite,,2,2,Adobe | Adobe,vision,0,low,Video editing tool whose AI features center on media/scene analysis.
Adobe Sensei,Adobe,general_llm,1,0,Adobe Creative Cloud Suite,,1,1,adobe sensei,vision,0,low,"Adobe's embedded AI engine, primarily powering image and content analysis features."
Advanced Trade Analytics Platform,U.S. Customs and Border Protection,data_analytics,0,0,,,1,1,Advanced Trade Analytics Platform,none,0,low,CBP trade analytics platform; general analytics with no clear AI capability class.
AgileMD eCART,AgileMD,clinical_decision_support,0,0,,,1,1,agilemd ecart,none,0,low,Clinical early-warning risk score with no vocabulary capability.
Airtable AI,Airtable,productivity,1,0,,Airtable's embedded AI (OpenAI-backed) for low-code databases,2,1,airtable's ai | airtable ai,assistant,1,medium,Embedded OpenAI-backed AI assistant features in a low-code database product.
Alation Data Catalog,Alation,data_catalog,0,0,,,1,1,Alation Data Catalog,none,0,low,Data catalog whose ML features do not clearly match a vocabulary capability.
AlphaFold,Google DeepMind,scientific_ml,0,0,,,2,1,Alphafold | AlphaFold,none,0,low,Protein-structure prediction model; scientific prediction has no clean listed capability.
Altana Atlas,Altana,supply_chain,0,0,,,2,1,Altana  Entity Resolution | Altana  Entity Resolution for Global Trade Data,none,0,low,Entity resolution for global trade/supply-chain data; entity resolution does not map cleanly to a listed capability.
