canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets
Azure AI Document Intelligence,Microsoft,document_ai,0,0,Microsoft Azure Platform,,2,2,microsoft | Microsoft
Azure AI Foundry,Microsoft,general_llm,1,1,Microsoft Azure Platform,,4,2,microsoft | Azure AI Foundry | Azure AI Foundry
Azure AI Translator,Microsoft,translation,1,0,Microsoft Azure Platform,,1,1,"product_queue_review_2026-06: 'Deloitte, AzureAI AzureAI Translator TIP Report Research Translation' — maps to Azure AI Translator."
Azure Computer Vision,Microsoft,other,0,0,,,1,1,"product_queue_review_2026-06: ""Automating blank page detection with Non-Generative AI (e.g., Azure Computer Vision and Docum[ent Intelligence]"" — Document Intelligence is in catalog; Azure Computer Vi"
Azure Data Factory,Microsoft,data_analytics,0,0,Microsoft Azure Platform,Microsoft Azure data integration service with embedded AI features such as anomaly detection and data-quality scoring.,1,1,Azure Data Factory
Azure OpenAI,Microsoft,general_llm,1,1,Microsoft Azure Platform,OpenAI models hosted on Azure,49,15,Microsoft | Microsoft | Microsoft
Azure Speech,Microsoft,transcription,0,0,Microsoft Azure Platform,,4,4,Microsoft | Microsoft | azure speech
Azure Synapse Analytics,Microsoft,data_analytics,0,0,Microsoft Azure Platform,,1,1,Azure Synapse Analytics
GitHub Copilot,Microsoft,coding_assistant,1,0,Microsoft,AI pair programmer for code generation,27,19,github copilot | github copilot | github copilot
Microsoft,Microsoft,productivity,0,0,,,20,6,Microsoft | microsoft | Microsoft
Microsoft 365,Microsoft,productivity,0,0,Microsoft,,11,7,Microsoft 365 | microsoft 365 | microsoft
Microsoft 365 Apps for Enterprise,Microsoft,coding_assistant,1,0,Microsoft 365,,1,1,Microsoft 365 Apps for Enterprise
Microsoft 365 Copilot,Microsoft,general_llm,1,1,Microsoft 365,Microsoft's enterprise LLM assistant integrated with Office apps,205,41,Microsoft 365 Copilot | Copilot for Microsoft 365 | Microsoft M365 Copilot
Microsoft 365 Copilot Chat,Microsoft,general_llm,1,1,Microsoft 365 Copilot,The free in-app Copilot chat tier within Microsoft 365 (distinct from the paid M365 Copilot SKU),16,9,Microsoft Copilot Chat | Microsoft Copilot Chat | Microsoft Copilot Chat
Microsoft AI Builder,Microsoft,ml_platform,0,0,Microsoft Power Platform,,4,2,AI Builder Document Scraping | Microsoft AI Builder | The 889 Document Processor is an Optical Character Recognition (OCR) model built using Microsoft AI Builder
Microsoft Azure Authoring Tools,Microsoft,developer_tool,0,0,Microsoft Azure Platform,,1,1,Microsoft Azure Authoring Tools
Microsoft Azure Platform,Microsoft,cloud_platform,0,0,Microsoft,,10,6,Microsoft | Microsoft | microsoft
Microsoft Azure PowerShell,Microsoft,developer_tool,0,0,Microsoft Azure Platform,,1,1,Microsoft Azure PowerShell
