canonical_name,vendor,product_type,is_generative_ai_hint,is_frontier_llm_hint,parent_product,description,edge_count,agency_count,sample_use_snippets
FDA 356H ML Facility Supply Chain Role Classification,FDA / Deloitte,document_ai,0,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: '356H Machine Learning (ML) Facility Supply Chain Role Classification' by Deloitte — catalog entry 'FDA 356H ML Facility Supply Chain Role Classification'.
FDA Annual Report CMC Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,"product_queue_review_2026-06: 'Annual Report CMC ... extracting Chemistry, Manufacturing, and Controls (CMC) changes' by Deloitte on CDEROne — catalog entry 'FDA Annual Report CMC Extraction'."
FDA Application-DMF Reference Extraction,FDA / Deloitte,document_ai,0,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Application References / Application-DMF Reference ... Extracts references to Drug Master Files (DMFs)' by Deloitte — catalog entry 'FDA Application-DMF Reference Extrac
FDA DMF Facilities Extraction,FDA / Deloitte,document_ai,0,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Extracting DMF Facilities from unstructured documents ... Extracts facility references from Type II (Drug Substance) DMF' by Deloitte — catalog entry 'FDA DMF Facilities
FDA Module 3 Facilities Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Module 3 Facilities Extraction ... extracting all drug manufacturing facilities reported within unstructured module 3 submissions' by Deloitte — catalog entry 'FDA Modul
FDA Packaging Materials and Suppliers Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Packaging Materials and Suppliers ... extract data from unstructured sources ... inventory of drug packaging materials' by Deloitte on CDEROne — catalog entry 'FDA Packa
FDA Real World Data/Evidence Identification,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Real World Data/Evidence ... identifying industry unstructured submissions containing Real World Data/Evidence (RWD/E)' by Deloitte — catalog entry 'FDA Real World Data/
FDA Regulatory Starting Materials Extraction,FDA / Deloitte,document_ai,1,0,FDA CDEROne Analytics,,1,1,product_queue_review_2026-06: 'Regulatory Starting Material ... extracting Regulatory Starting Materials (RSMs) and their suppliers' by Deloitte — catalog entry 'FDA Regulatory Starting Materials Extr
FDA Safety Reports Categorization Bot,FDA / Deloitte,document_ai,0,0,,,1,1,product_queue_review_2026-06: 'Category Subcategory Classification - Safety Reports Bot' by Deloitte — catalog entry 'FDA Safety Reports Categorization Bot'.
FDA Smart Solution for Docket Management,FDA / Deloitte,nlp,1,0,,,1,1,product_queue_review_2026-06: 'Smart Solution for Docket Management (SSDM)' for 'public comments on FDA dockets' matches catalog FDA Smart Solution for Docket Management.
