canonical_name,categories,gen_ai,confidence,reasoning
FDA 356H ML Facility Supply Chain Role Classification,doc_processing|nlp,0,medium,"Deloitte CDEROne tool that extracts and classifies facility/supply-chain roles from unstructured 356H submissions."
FDA Annual Report CMC Extraction,doc_processing,0,medium,"Extracts CMC changes from unstructured annual-report documents; gen_ai hint conflicts as this is extraction not generation."
FDA Application-DMF Reference Extraction,doc_processing,0,medium,"Extracts Drug Master File references from unstructured application documents (intelligent document processing)."
FDA DMF Facilities Extraction,doc_processing,0,medium,"Extracts facility references from unstructured Type II DMF documents."
FDA Module 3 Facilities Extraction,doc_processing,0,medium,"Extracts manufacturing facilities from unstructured Module 3 submissions; gen_ai hint overridden as this is extraction."
FDA Packaging Materials and Suppliers Extraction,doc_processing,0,medium,"Extracts packaging materials and supplier data from unstructured submissions."
FDA Real World Data/Evidence Identification,doc_processing|nlp,0,medium,"Identifies and classifies unstructured submissions containing Real World Data/Evidence."
FDA Regulatory Starting Materials Extraction,doc_processing,0,medium,"Extracts Regulatory Starting Materials and their suppliers from unstructured documents."
FDA Safety Reports Categorization Bot,nlp,0,medium,"Classifies safety reports into category/subcategory via text classification."
FDA Smart Solution for Docket Management,nlp,0,medium,"Analyzes public comments on FDA dockets; text-analytics rather than a chat surface, so gen_ai hint overridden."
Biometrics Enrollment Tool,vision,0,medium,"USCIS biometric capture/enrollment tool, a biometrics (vision) capability."
ELIS,none,0,low,"Core USCIS Electronic Immigration System is a case-management platform; AI capabilities live in its named sub-services."
ELIS Card Photo Validation Service,vision,0,medium,"Validates card photos, an image/biometric analysis (vision) capability."
ELIS Evidence Classifier Service,doc_processing,0,medium,"Classifies evidence documents in USCIS ELIS (document processing/classification)."
Person-Centric Identity Services Deduplication Model,nlp,0,low,"Identity-record deduplication via name/text matching; closest fit is nlp entity matching."
USCIS Customer Profile Management System Facial Recognition,vision,0,high,"Facial recognition through IDENT, a biometric vision capability."
USCIS Text Analytics,nlp,0,high,"Sentence-similarity/text-analytics data-science model, explicitly nlp."
