canonical_name,categories,gen_ai,confidence,reasoning
AWS Bedrock,genai_platform,1,high,"Amazon's managed foundation-model service for hosting and serving generative LLMs."
AWS Kendra,search,0,high,"Amazon's AI-powered enterprise semantic search and retrieval service."
AWS Lex,chatbot,0,high,"Conversational bot-building service for virtual agents and dialog flows."
AWS Rekognition,vision,0,high,"Image and video analysis for object/text detection and recognition."
AWS Textract,doc_processing,0,high,"OCR and intelligent document text/form extraction service."
AWS Transcribe,speech,0,high,"Speech-to-text transcription service."
Amazon Alexa,chatbot|speech,0,medium,"Voice assistant combining speech recognition with conversational dialog handling."
Amazon CodeWhisperer,assistant,1,high,"AI coding assistant that generates code suggestions in the developer workflow."
Amazon Comprehend,nlp,0,high,"Text analytics service for entity extraction, sentiment, and classification."
Amazon Q,assistant,1,high,"Amazon's enterprise AI copilot embedded across developer and business workflows."
Amazon SageMaker,ml_platform,0,high,"Full data-science platform to build, train, and deploy ML models."
Amazon Web Services,none,0,medium,"Umbrella cloud platform, not itself a discrete AI capability product."
Adobe,none,0,low,"Generic vendor umbrella brand with no specific AI capability identified."
Adobe Creative Cloud Suite,vision,1,medium,"Creative suite bundling generative image tools like Firefly and generative fill."
Adobe Firefly,vision,1,high,"Generative image creation model."
Adobe Photoshop,vision,1,high,"Image editing with generative fill and other generative AI image features."
Adobe Premiere Pro,vision,0,low,"Video editing tool whose AI features center on media/scene analysis."
Adobe Sensei,vision,0,low,"Adobe's embedded AI engine, primarily powering image and content analysis features."
Siemens ACUSON Sequoia,vision,0,low,"Ultrasound imaging system whose AI capability is medical image analysis."
Siemens Biograph PET/CT,vision,0,low,"PET/CT scanner with AI-assisted medical image reconstruction and analysis."
Siemens MAGNETOM,vision,0,low,"MRI scanner family with AI-assisted medical image processing."
Siemens SOMATOM go.,vision,0,low,"CT scanner with AI-assisted medical imaging."
Siemens YSIO Max,vision,0,low,"X-ray imaging system with AI-assisted image processing."
Siemens syngo,vision,0,low,"Medical imaging visualization/analysis software."
FA.gov PII Picker,nlp,0,medium,"Detects PII in text, an NLP entity-extraction task."
FA.gov RedactAid,doc_processing,0,medium,"Document redaction tool identifying and removing sensitive content from documents."
State FACTS Info Foreign Assistance NLP,nlp,0,high,"NLP for analysis of foreign-assistance appropriations text."
State Integrated Country Strategy Turbo,nlp,0,low,"Country-strategy document analysis tool inferred to apply text analytics."
State NIV Adjudication Review Recommendation Engine,nlp,0,low,"Recommendation engine over visa adjudication case text, inferred as text analytics."
Apple Face ID,vision,0,high,"On-device facial-recognition biometric, a vision capability."
Apple Intelligence,assistant,1,medium,"Apple's suite of embedded generative AI writing/image assistant features."
Apple Maps,none,0,high,"Consumer navigation app with no productized AI capability from the vocabulary."
Apple News,none,0,medium,"Consumer news app with no AI capability from the vocabulary."
GrantSolutions AI Writing Assistant,assistant,1,high,"Generative writing assistant embedded in the GrantSolutions workflow."
GrantSolutions Helpdesk Agent,assistant,1,medium,"Generative helpdesk agent answering user support questions."
GrantSolutions Recipient Risk Tool,none,0,low,"Recipient risk-scoring analytics with no clear vocabulary capability."
GrantSolutions Text Analyzer Tool,nlp,0,high,"Text analytics tool for analyzing grant-related text."
Palantir AIP,ml_platform|genai_platform,1,high,"Ops platform with first-class LLM orchestration alongside ML tooling."
Palantir Case Management & Analytics (CMA),ml_platform,0,low,"Case-management analytics application built on Palantir's data/ML platform."
Palantir Decision and Analytics Platform (DNA-P),ml_platform,0,medium,"Decision-and-analytics platform for data modeling and analytics."
Palantir Federal Cloud Service,ml_platform,0,medium,"Foundry-based federal cloud platform hosting analytics and GenAI apps."
COREII,genai_platform,1,low,"INL generative AI capability inferred from name and gen-AI hint."
INL Classified Subject Area GenAI,genai_platform,1,medium,"Generative AI used for classified subject-area categorization."
INL Intelligent Automation,genai_platform,1,low,"GenAI applied to INL procedures and controlled documents for automation."
FERC Zvolvant Inspection AI,vision,0,medium,"Computer vision analysis of dam and pipeline inspection imagery."
FERC Zvolvant Interconnection Assistant,assistant,1,low,"Assistant supporting interconnection request responses, inferred generative."
