canonical_name,verdict,categories,gen_ai,confidence,reason
OpenText Axcelerate,confirm,search,0,medium,"eDiscovery with AI/NLP-powered search and predictive coding fits search."
PEST (Parameter Estimation),confirm,none,0,low,"Groundwater parameter-estimation/optimization software, not an AI capability class."
Palantir AIP,confirm,ml_platform|genai_platform,1,high,"Matches the worked-case Palantir AIP definition exactly."
Palantir Case Management & Analytics (CMA),correct,none,0,low,"Case-management analytics application, not a platform; its ml_platform capability is already captured by PFCS, so no category cleanly applies."
Palantir Federal Cloud Service,confirm,ml_platform,0,medium,"Foundry-based federal cloud platform; consistent with Foundry->ml_platform worked case."
Pangolin Lineage,confirm,none,0,low,"Genomic lineage-assignment classifier; no listed capability applies."
PassiveLogic,confirm,none,0,low,"Autonomous building-controls AI with no vocabulary capability."
Penlink,confirm,none,0,low,"OSINT/communications-records investigative platform; no clean listed capability."
Perplexity,confirm,genai_platform|search,1,high,"Answer engine grounding LLM output in web retrieval."
Person-Centric Identity Services Deduplication Model,confirm,nlp,0,low,"Name/text-based record dedup best fits nlp entity matching."
Philips eCareManager,confirm,none,0,low,"Tele-ICU predictive analytics; no listed capability applies."
Pingoo.AI,confirm,chatbot,1,low,"AI conversational chatbot platform; generative inferred."
Planmeca Romexis,confirm,none,0,low,"Dental imaging management software; snippet gives no evidence of productized AI image analysis."
Podimetrics SmartMat,confirm,none,0,low,"Sensor mat with predictive monitoring; no listed capability fits."
Poolside,confirm,assistant,1,high,"AI coding assistant, an embedded copilot."
ProLaw,confirm,none,0,low,"Legal practice-management software; AI/search features peripheral."
ProcureSight,confirm,none,0,low,"Procurement analytics tool with no evidenced AI capability."
Pyramid Analytics,confirm,ml_platform,1,low,"Augmented-analytics platform with AutoML; ml_platform with generative features."
RAVEn Investigative Prioritization Aggregator,confirm,none,0,low,"Analytics environment aggregating investigative leads; no clean match."
Rangeland Analysis Platform,confirm,vision,0,low,"Remote-sensing imagery analysis deriving vegetation models fits vision."
Rank One Computing,confirm,vision,0,high,"Face-recognition biometric SDK."
Raytheon BBN M3S,confirm,speech|translation|nlp,0,medium,"Multimedia monitoring with transcription, translation and content analysis; description supports the multi-label."
Recorded Future,confirm,none,0,low,"Cyber threat-intel security analytics; none per the security-analytics rule."
ReflexAI,confirm,chatbot,1,low,"Conversational roleplay for counselor training plus QA; chatbot with generation."
SEA-CROGS,confirm,none,0,low,"DOE scientific-ML research with insufficient detail to classify."
SQL Server Management Studio,confirm,none,0,high,"Database administration tooling with no AI capability."
SRNS AI Drafting Assistant,confirm,assistant,1,medium,"Embedded assistant drafting procedures/training (generative)."
SRNS AI Form and Questionnaire Assistant,confirm,assistant,1,medium,"Embedded assistant for forms/questionnaires (generative)."
SRNS AI Tailored Learning,confirm,none,0,low,"Adaptive learning personalization does not map to a listed capability."
SRNS Operational Efficiency ML,confirm,none,0,low,"Applied predictive ML with no specific listed capability."
SSA Quick Disability Determinations Model,confirm,none,0,low,"Predictive claim-flagging model; data-mining without a listed capability."
SWBTRAC,confirm,none,0,low,"DOJ tracking analytics with no clear vocabulary capability."
Salesforce Einstein,confirm,assistant,1,high,"Einstein/Agentforce embedded CRM copilot."
ServiceNow,confirm,none,0,low,"Base ITSM platform; its AI features are catalogued as separate entries (Now Assist)."
ServiceNow Now Assist,confirm,assistant,1,high,"ServiceNow's embedded generative copilot."
Shabash Merops,confirm,nlp,0,low,"Automated copyediting is text processing/nlp."
Siemens ACUSON Sequoia,confirm,vision,0,low,"Ultrasound imaging with AI medical image analysis."
Siemens Biograph PET/CT,confirm,vision,0,low,"PET/CT with AI-assisted image reconstruction/analysis."
Siemens MAGNETOM,confirm,vision,0,low,"MRI family with AI-assisted image processing."
Siemens SOMATOM go.,confirm,vision,0,low,"CT scanner with AI-assisted medical imaging."
Siemens YSIO Max,confirm,vision,0,low,"X-ray system with AI-assisted image processing."
Siemens syngo,confirm,vision,0,low,"Medical imaging visualization/analysis software."
Skyward CEDAR/CLAW,confirm,assistant,1,low,"CMS Chat conversational assistant plus analysis wizard on CEDAR."
Slack,confirm,assistant,1,medium,"Slack AI is an embedded assistant for summarization/search."
Smiths Detection TruNarc,confirm,none,0,low,"Raman-spectroscopy narcotics classifier; not a vocabulary capability."
SpyglassGPT,confirm,genai_platform,1,low,"GPT-named LLM chat surface inferred from thin evidence."
State Department AI Research Engine (AIRE),confirm,genai_platform,1,low,"Generative AI research engine inferred as an LLM surface."
State Department Declassification Review AI,confirm,nlp,0,medium,"Analyzes document text to support declassification review (nlp)."
State Integrated Country Strategy Turbo,confirm,nlp,0,low,"Country-strategy document analysis inferred as text analytics."
State NIV Adjudication Review Recommendation Engine,confirm,nlp,0,low,"Recommendation over visa-case text inferred as text analytics."
Supportbench,confirm,assistant,1,low,"Customer-support platform with embedded generative assist."
Synthesia,confirm,speech,1,low,"AI avatar video generation; video-gen has no listed class, TTS captured as speech."
TLOxp,confirm,none,0,low,"Investigative record-linking/skip-trace search; entity aggregation maps to none."
Tableau,confirm,assistant,1,medium,"Tableau Pulse/GPT act as an embedded generative assistant."
Tabnine,confirm,assistant,1,high,"AI code-completion pair-programming assistant."
TekSynap SimplifAI,confirm,genai_platform,1,high,"Commercial generative-AI platform per its own description."
Thomson Reuters,confirm,search,0,low,"Legal/research brand whose core offering is content retrieval."
ThruVision TAC 16,confirm,vision,0,medium,"Body scanner using AI detection over sensor imagery (vision)."
TransUnion TLOxp,confirm,none,0,low,"Investigative background-search/record-linking; no clean listed capability."
Truview,confirm,none,0,low,"Analytics product with no specific AI capability described."
USAi (GSA),confirm,genai_platform,1,high,"GSA government general-purpose generative-AI platform."
USCIS Verification Match Model,confirm,nlp,0,low,"Verification record/name matching best fits nlp text matching."
USDA AgCloud Helpdesk Chatbot,confirm,chatbot,1,medium,"Task-specific LLM-backed IT help-desk chatbot."
USDA Equine Operations Dataset,confirm,none,0,low,"Dataset-building effort; a data product, not a capability."
USDA Marbled Murrelet Habitat Mapping,confirm,none,0,low,"Species habitat distribution modeling; no imagery/remote-sensing evidence to justify vision."
USDA NRCS NETS Automated Waterway Design,confirm,none,0,low,"Computational engineering design outside the vocabulary; no generative evidence."
USDA Recreation One Stop AI,confirm,chatbot,1,low,"Booking-support conversational/recommendation tool inferred as chatbot."
USDA Recreation Site Chatbot,confirm,chatbot,0,low,"Named chatbot but 'estimating use' framing leaves gen-AI status unclear."
USDA TreeSearch AI,confirm,search,1,low,"Improves search/usability over Forest Service research publications."
USDA VegScape/CropCASMA,confirm,none,0,low,"Remote-sensing crop/soil data portal; derived-data visualization, no clean match."
Unison PRISM,confirm,assistant,1,low,"Contract-writing software whose PRISM 7.6 adds embedded AI document generation."
UpToDate,confirm,none,0,low,"Curated clinical reference/lookup; does not map to a listed capability."
Upstream Tech HydroForecast,confirm,none,0,low,"ML hydrological forecasting; scientific prediction with no clean match."
VA AI Assist,confirm,assistant,1,low,"Embedded VA copilot inferred from name."
VA Clinical AI Agent,confirm,assistant,1,low,"Clinical AI agent/copilot; assistant fits the 'agent' framing."
VA E2 HelpBot,confirm,chatbot,0,medium,"Conversational help bot for the E2 travel system."
VA GPT,confirm,genai_platform,1,high,"VA internal general-purpose GPT chat surface."
VA VoiceBot,confirm,speech|chatbot,0,medium,"Voice-driven conversational bot combining speech and dialog."
