use_case_id_2024,tagged_by_agent,confidence,reasoning,entry_type,is_generative_ai,ai_sophistication,deployment_scope,scope_detail,is_enterprise_wide,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,architecture_type,use_type,is_public_facing
34836,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,product_deployment,0,classical_ml,bureau,CMS,0,,,1,,,,,,,,,unknown,administrative,
34837,wave3-P2,high,"tagging_error_2024 — adopted proposed correction for entry_type,is_generative_ai,ai_sophistication,deployment_scope,is_general_llm_access,is_coding_tool",custom_system,1,agentic,bureau,CMS,0,0,0,1,,,,,,,,,unknown,administrative,
34838,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,product_deployment,0,classical_ml,bureau,CMS,0,,,1,,,,,,,,,unknown,mission_critical,
34841,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,bespoke_application,1,general_llm,pilot,CMS,0,,,,,,,,,,,,inference_only,mission_critical,
34843,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,bespoke_application,1,general_llm,pilot,CMS,0,,,,,,,,,,,,inference_only,administrative,
34844,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,custom_system,0,classical_ml,pilot,CMS,0,,,,,,,,,,,,unknown,mission_critical,
34847,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,bespoke_application,1,general_llm,pilot,CMS,0,,,,AWS Bedrock,AWS,,,,,,1,inference_only,mission_critical,
34848,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,bespoke_application,1,agentic,pilot,CMS,0,,,,,,,,,,,,rag_pipeline,mission_critical,
34851,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,custom_system,0,classical_ml,pilot,CMS,0,,,,,,,,,,,,unknown,administrative,
34854,wave3-P2,high,drift_legitimate — kept 2024 tag as filed,bespoke_application,1,general_llm,pilot,CMS,0,,,,AWS Bedrock,AWS,,,,,,1,inference_only,administrative,
34856,wave3-P2,medium,internal_inconsistency — adopted 2025 reading on the inconsistent fields,product_deployment,0,classical_ml,bureau,CMS,0,,,1,,,,,,,,,unknown,administrative,
