use_case_id_2024,tagged_by_agent,confidence,reasoning,entry_type,is_generative_ai,ai_sophistication,deployment_scope,scope_detail,is_enterprise_wide,is_general_llm_access,is_coding_tool,is_cots_commercial,tool_product_name,tool_vendor,is_microsoft_copilot,is_openai,is_anthropic,is_google,is_github_copilot,is_aws_ai,architecture_type,use_type,is_public_facing
35553,wave3-P3,high,drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,0,nlp_specific,bureau,BCP,0,,,,,,,,,,,,unknown,mission_critical,1
35556,wave3-P3,high,tagging_error_2025 — kept wave1 2024 tag; 2025 fix is out-of-scope here; drift_legitimate — kept 2024 tag as filed (agency changed posture in 2025),bespoke_application,1,coding_assistant,pilot,BCP,0,,1,1,Azure OpenAI GPT-4,Microsoft/OpenAI,,1,,,,,inference_only,it_operations,
35557,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,bespoke_application,0,nlp_specific,department,,0,,,,,,,,,,,,unknown,mission_critical,
35559,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,general_llm,department,,0,,,,,,,,,,,,unknown,mission_critical,
35562,wave3-P3,high,misclassified_lifecycle — dev_stage='Planned'; scope department→bureau,custom_system,1,general_llm,bureau,,0,,,,,,,,,,,,custom_trained,mission_critical,
35564,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,general_llm,department,,0,,,,,,,,,,,,unknown,mission_critical,
35565,wave3-P3,medium,material_divergence (soph) — narrative does not support LLM-class; kept wave1 sophistication,bespoke_application,0,nlp_specific,department,,0,,,,,,,,,,,,unknown,mission_critical,
35566,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,nlp_specific,enterprise_wide,,1,,,,,,,,,,,,inference_only,mission_critical,
35576,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,bespoke_application,0,classical_ml,office,OIT,0,,,,,,,,,,,,unknown,mission_critical,
35581,wave3-P3,medium,material_divergence (gen_ai) — narrative lacks GenAI markers; adopted gen_ai=0,product_deployment,0,nlp_specific,office,OHR,0,,,1,,,,,,,,,inference_only,administrative,
