agency,use_case_name,original_verdict,override_verdict,reasoning
SSA,Enterprise Ticketing System (ETS),system_integrated,,Agree system_integrated: Now Assist search spans multiple applications/portals and returns links opening forms in each respective system -- rule-4 'spans systems' retrieval.
SSA,Policy Assistance Tool (PAT),workflow_embedded,,"Agree workflow_embedded: RAG chatbot grounded in 21st Century PolicyNet policy corpus, single retrieval flow with linked sources; the MI dashboard is usage reporting, not a system-of-record write-back."
SSA,Training Interaction Simulator,workflow_embedded,,"Agree workflow_embedded (borderline vs standalone_chat): purpose-built interaction-simulation flow with coaching inside the named Percipio platform, not general LLM access; no deeper coupling described."
DOT,Enterprise Personal Productivity Assistant Capability,unclear,standalone_chat,"Override unclear -> standalone_chat: narrative does say how it connects -- deployed enterprise gen-AI document-querying capability (is_general_llm_access=1), staff query user-provided documents with no described coupling to agency systems; that is standalone_chat by definition, not a genuinely silent filing."
DOT,Integration of small Unmanned Aircraft System (sUAS) Geospacial Information System (GIS) Technologie,unclear,,"Agree unclear: future-tense enabling language ('will be used to enable new methods') about digitizing non-georeferenced data for NAS infrastructure; no system, process step, or described AI behavior."
DOT,Report Sumarization (Google NotebookLM),standalone_chat,,"Agree standalone_chat: employees upload their own documents into private NotebookLM environments for summarization -- personal general-access use, not an agency-corpus flow."
DOT,USDOT Compliance Plan for OMB Memorandum M-24-10 (September 2024),unclear,,"Agree unclear: describes the M-24-10 governance/compliance plan document itself, not the operating behavior of any AI system; nothing to place on the ladder."
HUD,Subledger Data Quality Machine Learning,system_integrated,,"Agree system_integrated: production classical ML analyzing monthly MSS transaction data within the named Ginnie Mae Financial Accounting System, feeding reductions in manual financial-reporting adjustments (rule 2)."
NCUA,Risk Indicator Model,workflow_embedded,,"Agree workflow_embedded: deployed in-house model coupled to one identified supervisory flow (risk scoring -> supervisory resource considerations) but system/vendor N/A, so no system-of-record coupling to support system_integrated."
NCUA,Supervisory Stress Testing,workflow_embedded,,"Agree workflow_embedded: deployed in-house model in the single identified Supervisory Stress Testing process, analyzing credit union data for default/cash-flow forecasts; no named system read/write."
