agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
DOE,ACORN (Autonomous Operation for Reactor Technologies),NE INL - NE Idaho National Laboratory (NE),pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,Not available,Open source development,Developed with both contracting and in-house resources,Yes,"AI automatically identifies process models from simulation and operational data, solves for optimal control actions that can achieve user-defined objectives, executes actions and observes system responses",reduce labor and costs to performance operation tasks in advanced reactors and microreactors,optimal control actions
DOE,AGN-201 DT,NE INL - NE Idaho National Laboratory (NE),pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,Not available,Developed with both contracting and in-house resources,No,Aid safeguards analysts for determining if a reactor is being used in a non-declared way.,Reduce the burden for inspectors by increasing synthesizing data and announcing anomalies.,Flag for when off-normal operations is detected along with expected material generated.
DOE,AI Assistant Phase 2 Simple Chat,ORNL - Oak Ridge National Laboratory (SC43 OIM),deployed,Generative AI,1,1,0,general_llm,,N/A,,Developed in house,Yes,Emplyees at ORNL more productive,Enhanced employee productivity,Natural language responses based on a wide variety of file and text based input.
DOE,AI Builder Document Scraping,NR HQ - Naval Reactors (NR),deployed,Computer Vision,0,0,0,computer_vision,,NR-NNL-CUI-ITN-PrimeNet_HA,Microsoft,Purchased from a vendor,No,Enhance and automate PDF scraping for large sets of PDF files.,Improved Microsoft PDF scraping model that allows the user to provide a training set for their PDFs.,Text and file output in Microsoft applications.
DOE,AI Chat Bot for IT User Services,PPPL - Princeton Plasma Physics Laboratory (SC43 OIM),pilot,Generative AI,1,0,0,general_llm,,,,Developed in house,No,"Interactive RAG chat bot model trained on existing, updated and new IT resource documentation in the user space. Platform will be used as an informative method for users to handle tier 1 IT issues and help guide to the correct place.","Interactive RAG chat bot model trained on existing, updated and new IT resource documentation in the user space. Platform will be used as an informative method for users to handle tier 1 IT issues and help guide to the correct place.",AI output will be recommendations and instructions based on training data from IT administrators in more user friendly responses
DOE,AI Incubator Sandbox,PNNL - Pacific Northwest National Laboratory (SC43 OIM),deployed,Agentic AI,1,1,0,agentic,,R&D User,,Developed in house,Yes,"Provide a secure, multimodal AI chatbot sandbox for experimentation without internet access.","Produce high-quality, contextually relevant, and coherent responses or content based on user input.","Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,AI and natural-language powered search,EE HQ - EE Headquarters (EE),deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,OpenText Axcelerate,OpenText,Purchased from a vendor,No,Solve records retrieval issues.,Efficienct retrieval of records.,Open Text will generate a search results report.
DOE,AI for Intelligent Automation,NE INL - NE Idaho National Laboratory (NE),deployed,Generative AI,1,1,0,general_llm,,"CS-SSP-123,Cybersecurity System Security Plan for Azure Platform",Not available,Developed with both contracting and in-house resources,Yes,workplace automation,"Improve the timeliness and quality of manual work processes through automation where generative AI can make comparisons and decisions using INL procedures and controlled documents, with humans performing final validation and approval.",Completion of forms for human validation and approval.
DOE,AI for Operations Center,ANL - Argonne National Laboratory (SC43 OIM),deployed,Natural Language Processing,0,0,0,nlp_specific,,ANL-General Computing - Moderate Enclave,,Developed in house,Yes,Reduce human effort and increase efficiency in identifying Lessons Learned to work planning.,Increase awareness and use of Lessons Learned.,Recommended Lessons Learned documents related to proposed and ongoing Work Projects.
DOE,AI used for predictive modeling and real time control of traffic systems,PNNL - Pacific Northwest National Laboratory (SC43 OIM),deployed,Reinforcement Learning,0,0,0,classical_ml,,R&D User,Microsoft,Developed with both contracting and in-house resources,No,"Produce high-quality, contextually relevant, and coherent responses or content based on user input.","Reduces traffic congestion, energy use, and greenhouse gas emissions.","Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,AI-Enabled Tech Desk Agent,PNNL - Pacific Northwest National Laboratory (SC43 OIM),pilot,Agentic AI,0,0,0,agentic,,R&D User,,Developed in house,Yes,Allow staff to resolve tech issues through an AI-enabled self-service chat agent.,"Improves staff support with faster, AI-driven issue resolution.","Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,AI-Enhanced Lab Assist,PNNL - Pacific Northwest National Laboratory (SC43 OIM),deployed,Generative AI,0,0,0,general_llm,,R&D User,,Developed in house,Yes,Detect trends in lab planning/control data to improve efficiency and knowledge sharing.,"Integrating lessons learned into Lab Assist Activity Planning to enhance operational efficiency, improve information sharing leveraging best practices, and foster a culture of continuous improvement.",Leverage AI for trend detection in working planning and control data.
DOE,Adaptive Cyber-Physical Resilience for Building Control Systems,PNNL - Pacific Northwest National Laboratory (SC43 OIM),deployed,Reinforcement Learning,0,0,0,classical_ml,,R&D User,PassiveLogic,Developed with both contracting and in-house resources,No,"How to maintain efficient, reliable, and secure operation of building control systems in the face of disruptions, changing conditions, or cyber-physical threats.",Improves drug safety and reduces adverse health impacts in vulnerable populations.,"Produce high-quality, contextually relevant, and coherent responses or content based on user input."
DOE,Advanced Fuels Campaign,NE INL - NE Idaho National Laboratory (NE),pilot,Other,0,0,0,classical_ml,,,Not available,Developed with both contracting and in-house resources,Yes,Not available,"Accelerates fuel development cycles and improves performance predictions, reducing R&D costs and time to deployment.",Information summaries
DOE,Advanced Long Term Environmental Monitoring Systems (ALTEMIS),SRS - SRNL - Savannah River Site - Savannah River National Laboratory (EM),pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,SRNL-SRS ATO,Python,Developed in house,Yes,Reduce the cost of long-term monitoring using integrated sensing technologies and AI/ML to forecast groundwater plume migration and anomalies.,"Proactive, rather than reactive, monitoring of complex geochemical systems.","Spatiotemporal optimization of sensor locations, correlate proxy variables (e.g., pH, specific conductance, water table elevation, etc.) with contaminants, measure proxy variables with various sensing modalities, predict concentrations across space and time given proxy variables."
DOE,Advancing Market-Ready Building Energy Management by Cost-Effective Differentiable Predictive Control,PNNL - Pacific Northwest National Laboratory (SC43 OIM),deployed,Reinforcement Learning,0,0,0,classical_ml,,R&D User,,Developed in house,No,"Enhance building energy management with predictive control, safety verification, and optimization.","Lowers building energy costs while ensuring safe, resilient operations.","Lowers building energy costs while ensuring safe, resilient operations."
