agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
Treasury,AI Contract Document Toolbox,Internal Revenue Service (IRS),deployed,Generative AI,1,1,0,general_llm,,N/A,N/A,Vendor,Yes,Extensive documentation is required in official contract files when procuring goods and services for agency mission needs. Procurement document drafting is currently largely manual and time-consuming. Further quality reviews of documents add more time to the procurement process and fail to catch some errors.,"Generative AI chat reduces the friction in the procurement process by providing automated assistance with drafting and reviewing documents. Procurement professionals can quickly generate first drafts of procurement documents and then refine according to specific agency needs. Further quality reviews occur more quickly when both AI and government staff vets documents. Further, AI can be instructed to incorporate lessons learned, new procurement policy goals, and detect common errors that have occurred in the past.","The AI system generates accurate, contextually relevant, and human readable text outputs based on user input queries and uploaded documents. Its outputs include: Document Summaries., Draft Responses, Content Rewrite, Question-Answer Pairs, Data Extraction, Analysis and Recommendations."
Treasury,AI Use Case Review and Evaluation Workflow,Office of the Comptroller of the Currency (OCC),pilot,Agentic AI,1,0,0,agentic,Custom In-House AI,N/A,N/A,Developed in-house,Yes,"Enable a structured assessment across five key dimensions—Bias, Ethics, Business Value, Risk, and Technical Excellence—to support informed value discussions for new AI services, including both Commercial off the Shelf (COTS) solutions and custom-developed capabilities","This assessment framework provides a consistent, transparent method for evaluating AI solutions, ensuring that key considerations such as Bias, Ethics, Risk, and Technical Excellence are rigorously examined. It supports more informed decision-making, strengthens governance, and helps align AI investments with organizational value and compliance expectations.","The AI Suitability Plan delivers a comprehensive assessment package that reflects the perspective of each evaluation domain and functions as an assistant to the subject-matter experts in those areas. Its outputs offer structured, domain-specific analyses across Bias, Ethics, Business Value, Risk, and Technical Excellence, supporting SMEs with consistent, well-informed inputs to guide final decisions on AI suitability.”"
Treasury,AI Voiceover Generation for eLearning Development,Internal Revenue Service (IRS),deployed,Generative AI,1,0,0,general_llm,,N/A,N/A,Vendor,No,Voiceover generation for training courses. With return-to-office mandates in place we are unable to record narration voiceovers for training courses as we have historically done using live employees and microphone recording kits.,"Increased quality, a more diverse selection of voices, much more rapid voiceover generation and revision, increased development efficiency.","Narration scripts are entered into the web-based interface, which outputs .wav audio files for import to our eLearning authoring applications. Scripts are free from Personally Identifiable Information/Federal Taxpayer Information (PII/FTI) and adhere to standard training development protocol (fictitious names and addresses, etc.)."
Treasury,AI-Augmented Software Modernization and Insight,Internal Revenue Service (IRS),pilot,Generative AI,1,0,1,general_llm,unspecified,N/A,N/A,In-house,Yes,"The IRS maintains a large portfolio of complex Java/Spring Boot applications that accumulate technical debt, dependency conflicts, and inconsistent coding practices. Manually identifying outdated libraries, researching upgrade paths, and resolving build failures consumes significant engineering time and slows modernization efforts. AI is intended to reduce this burden by automating research, detecting vulnerabilities, and proposing secure, standards-compliant code improvements.","For the IRS mission: Faster modernization of taxpayer-facing systems, improved system reliability, and reduced risk from outdated or insecure software components. For the public: More resilient digital services, reduced downtime, and faster delivery of secure taxpayer tools and features. For IRS engineers: Less time spent on repetitive research, freeing focus for high-value mission logic and innovation.","Prioritized lists of technical debt items (e.g., outdated dependencies, deprecated APIs, security vulnerabilities). Suggested code refactorings and dependency upgrades. Generated draft documentation, test cases, and migration strategies. Analytical reports highlighting cross-repository trends in build failures and performance issues."
Treasury,AI-assisted Procurement POC,Bureau of the Fiscal Service (BFS),pilot,Generative AI,1,0,0,general_llm,Unison PRISM,N/A,N/A,Purchased from a vendor,No,"Contextual Research (Exploring policies, regulations, trends, and strategic topics). Knowledge Retrieval (Locating known information and presenting or analyzing the information).",Gathering data for a Prism project.  Expected outcomes is to verify the AI Tool is a useful aid in helping Procurement employees enhance identifying adding the correct FAR clauses needed for a procurement action.,AI assisted search results from documents and other data
Treasury,Accounts Management “Balance Due” Call Transcript Classification,Internal Revenue Service (IRS),pilot,Natural Language Processing,0,0,0,nlp_specific,,N/A,N/A,In-house,Yes,This project aims to sort customer call transcripts into groups based on the issues customers need help with.,The AI system will inform research and decision making to enhance the customer experience.,"The AI system will output categories, classifying call transcripts."
Treasury,Answering Employee Questions with Natural Language Processing in IRWorks,Internal Revenue Service (IRS),deployed,Natural Language Processing,0,0,0,nlp_specific,,N/A,N/A,Vendor,No,"The purpose of the Artificial Intelligence (AI) element of the IRWorks platform is to utilize natural language to respond to common user questions about IRWorks knowledge base (KB) articles and service catalogue items in the IRWorks Employee Center. This AI element is interpretive. At a high level, this is accomplished by using language models to train the agent to respond to user questions. The decision/judgement that this AI element uses is to search existing Knowledge Base (KBs)/service catalogue items, in conjunction with the user's defined access within IRWorks, to automate Tier 1 support by outputting (in natural language) answers and/or associated links that align to the customer's (natural language) query. Yes, humans are involved in reviewing the output - the AI element does not produce actionable items but produces information or links that are provided to the querying user for them to review and/or take manual actions. The population impacted by this decision is all IRWorks users, about 90K+ IRS employees.",This functionality allows better understanding of user questions to direct them to better information allowing for quicker resolution of IT and HR queries and issues.,Improve efficiency and optimize outputs for end users requesting services/information from within ticket / workflow management platform.
Treasury,Application to AI services integration POC,Bureau of the Fiscal Service (BFS),pilot,Other,0,0,0,classical_ml,Custom In-House AI,N/A,N/A,Purchased from a vendor,Yes,AI Enablers (Enterprise solutions that enable AI to integrate into IT services infrastructures),"Identify a method to connect COTS product to AI service. The proposed initiative aims to develop an enterprise API endpoint for AI services, enabling seamless integration of custom applications and Commercial-Off-The-Shelf (COTS) products.",Use of an locally controlled LLM for COTS application
Treasury,AskBEP AI ChatBot,Bureau of Engraving and Printing (BEP),pilot,Natural Language Processing,1,0,0,general_llm,,N/A,N/A,Developed with both contracting and in-house resources,Yes,"The AskBEP chatbot addresses the challenge of quickly and consistently accessing policy information within the BEP community. Employees often need clear, accurate answers without having to search through lengthy documents or rely on staff availability. The AI solves this by providing an always-available, conversational tool that retrieves and explains relevant policy guidance in plain language.","The AskBEP chatbot improves accessibility, consistency, and efficiency by providing 24/7 conversational access to accurate policy information. The AskBEP chatbot also automates common inquiries while ensuring consistent, accessible policy information.","The AskBEP chatbot generates natural language responses to user queries in a conversational format. These outputs consist of policy information, guidance, or references to relevant resources. Responses are text-based, do not include PII, and are intended to be consistent, accurate, and user-friendly."
Treasury,ChatOFR AI Chatbot,Office of Financial Research (OFR),deployed,Generative AI,1,1,0,general_llm,Custom In-House AI,N/A,N/A,Developed in-house,Yes,"In-house AI platform providing OFR staff with access to multiple large language models for question-answering guidance, text generation and summary, and code development assistance",Improves operational efficiency by providing staff with quick access to internal guidance and draft text generation capabilities reducing time spent searching for information and creating initial document drafts,"Responses to queries using multiple LLM models provided by vendor. Includes access to specialized knowledge bases. Provides IT and Research staff with code generation, debugging, and optimization outputs. Provides user interface to create API tokens for programmatic usage."
