agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
DOI,,FWS,deployed,Other,0,0,0,classical_ml,,,,Purchased from a vendor,FALSE,N/A,Supports research and analysis using publicly available information to assist agency mission needs.,The tool streamlines the process of gathering open-source data from a variety of online sources to improve operational efficiency.
DOI,AI data harvesting project  ECOSphere [2024 INV#DOI-62],FWS,pilot,Other,0,0,0,computer_vision,,,,Developed in-house,FALSE,"How can we automate the extraction, classification, and transformation of heterogeneous species-related files (e.g., PDFs, Word docs, Excel sheets, images) uploaded by biologists into structured formats compatible with the ETK system, while ensuring accuracy, scalability, and minimal manual intervention?","The data ingestion process will be automated, enabling the system to extract, classify, and transform data from various file types without human intervention. Species data will become available more quickly, allowing for faster decision-making.","The pilot will deliver an AI-powered system that automatically extracts and transforms species-related data from uploaded files into ETKs required format. It will also produce trained models, a functioning QA feedback loop, and a final report evaluating performance and scalability."
DOI,AI for Offshore Energy: Innovative Technology Streamlines Marine Wildlife Surveys [2024 INV#DOI-66],FWS,pilot,Computer Vision,0,0,0,computer_vision,,,Quantaero,Developed with both contracting and in-house resources,TRUE,"Offshore energy development requires environmental assessments; using AI technology to conduct offshore migratory bird counts can efficiently provide such data, however, substantial automation is required","Counts of migratory birds with a high degree of accuracy, long-term cost efficiency, safety is improved for pilots due to remote sensing technology",Abundance and distribution data on migratory birds
DOI,AI to survey boat traffic,USGS,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,Ultralytics,Purchased from a vendor,FALSE,"We are using AI to collect boat traffic times when traveling in a specific area by scanning video.  Typically, this type of data would be collected by manually watching video and recording boat entrance and exit times.  Using AI, we can dramatically lower the time a person monitors videos, making a more efficient use of the employee's time at work.",cost savings,Boat entrance and exit times from a specific area.
DOI,AI-Powered Wildlife Monitoring on National Wildlife Refuges,FWS,pilot,Computer Vision,0,0,0,computer_vision,,,,Developed in-house,TRUE,"For whooping crane, traditional survey approach is to estimate population size by conducting 6 repeated surveys due to limits of human observer surveys.  Surveys of waterfowl are experimental and looking to improve the accuracy of surveys and to obtain improved measures of population sizes.",Cost efficiency and improved data quality.,"Counts of migratory birds. For waterfowl, data can inform harvest management and provide spatially explicit abundance estimates. For whooping crane, goal is to monitor population trends."
DOI,AI/ML For Hazard Detection in Austere Environments with Automated or Remotely-Operated Rovers [2024 INV#WO0000000107424],USGS,pilot,Classical/Predictive Machine Learning,0,0,0,computer_vision,,,,Developed in-house,FALSE,Identify unique or hazardous ground cover in the field of view of an autonomous robot's camera system,"Improving scientific analysis, and if deployed operationally, the preservation of investment through hazard avoidance of expensive remote or autonomous equipment",Prediction of ground cover type
DOI,Adaptive Management with AMMonitor,USGS,pilot,Classical/Predictive Machine Learning,0,0,0,computer_vision,,,,Developed in-house,FALSE,Automated species identification from remote sensed data (images and audio files),Using AI to accurately identify species from remotely sensed data will save thousands of hours of personnel time previously required and would allow researchers to inexpensively capture extensive data sets on species abundances and distributions.,Species identification from remotely sensed data
DOI,Anomaly Detection for Financial Transactions Related to DOI Programs,OIG,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,,Developed in-house,TRUE,"Use traditional machine analytics with difficult-to-manually-analyze financial data for DOI programs to create analytical methods that are scalable and repeatable. Additionally, the analytics must be aligned with quality standards required for OIG audits and investigations.",It allows OIG to identify anomalies or trends that would be undetectable via manual analysis or would require endless IT and staff resources to manually process and analyze information.,Outputs will identify anomalous transactions and will be provided to auditors or law enforcement analysts and agents to further review and/or action.
DOI,Automated Walrus Haulout Monitoring [2024 INV#WO0000000110052],USGS,deployed,Classical/Predictive Machine Learning,0,0,0,computer_vision,,,,Developed in-house,FALSE,provide a framework for using pre-trained image classification convolutional neural network CNN models to make predictions on unlabled image datasets to provide data for further analysis of walrus (Odobenus rosmarus) coastal haulout occupation,"time savings, reduce manual image review",determining the presence and absence of walruses at hauout locations via remote camera traps
DOI,Automated identification of ducks from hunter-submitted photos using deep learning models,USGS,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,,Developed in-house,FALSE,species identification of photographs of hunter-shot ducks for use in waterfowl harvest management,cost savings and improved efficiency in an operational monitoring program,composition of waterfowl harvest
