agency,use_case_name,verdict,confidence,reasoning
State,AI Input in Translation,workflow_embedded,high,Trados CAT tool machine-translates text that is then post-edited by human translators - a single translation pipeline step with no described system read/write.
State,AI Programmatic Insights,workflow_embedded,medium,"AI produces monthly trend snapshots and scenario analysis for Regional Directors from passport data, but no specific system is named beyond the analytical output feeding one reporting flow."
State,AI Research Engine (AIRE),system_integrated,medium,"AIRE (formerly the Data Collection & Management Tool) draws on the Data.State-SBU platform to categorize, summarize, and translate a continuously growing pool of source information for reporting."
State,AI-Augmented Declassification Review,system_integrated,medium,"Classical ML classifies hundreds of thousands of cables/emails for declassification review in production, matching the classical-ML-at-scale pattern that reads real document records to output binary/multiclass decisions."
State,Automatic Detection of Authentic Material,workflow_embedded,low,Identifies authentic foreign-language materials to speed curriculum development; a single content-identification step with no named system or further coupling described.
State,BudgetChat AI Tool,workflow_embedded,medium,BudgetChat answers prompts about budget spend/positions by retrieving from bureau budget narratives (DOS-O365/Data.State-SBU) - RAG over agency documents for one Q&A flow.
State,DS-5528 Promissory Note Automation,workflow_embedded,medium,"Extracts data from paper/digital promissory-note forms into a dataset that is referred for human review - a single extraction step, not a described write into a system of record."
State,Data.State Analytics and AI Funhouse,standalone_chat,medium,"Funhouse is a sandbox granting individual users direct access to general-purpose GenAI/ML tools (OpenAI, Azure AI, open source) for varied problems, with no single described process or system coupling."
State,Digital Media Analytics Platform,workflow_embedded,medium,"Machine-translates and summarizes foreign media/social posts into English-language summary reports for teams - a single translate-and-summarize pipeline, not a described read/write to an agency system of record."
State,Diplomatic Security - Legal Instruction Unit,standalone_chat,medium,"Staff use ChatGPT/LexisNexis directly to research and draft curriculum recommendations (scenarios, multimedia, scripts) with no described system coupling."
State,Electronic Health Record AI Enhancements,system_integrated,high,"Palantir AIP operates within the MED-PLTR electronic health record platform, extracting/validating/summarizing clinical chart data - explicit EHR system integration."
State,Evaluating Customer Feedback and Sentiments with AI,workflow_embedded,medium,NLP/LLM analyzes unstructured customer-feedback text (system: PA) to categorize and summarize insights - a single analysis flow with no described write-back.
State,FA.gov PII Picker,workflow_embedded,medium,"Flags potential PII in incoming data submissions before ForeignAssistance.gov publication - a single triage step in the publication pipeline, no broader system read/write described."
State,FA.gov RedactAid,workflow_embedded,medium,"Same FA.gov publication-review pattern as the PII Picker: flags sensitive content in submissions prior to publication, a single gate step rather than described system read/write."
State,Integrated Country Strategy (ICS) Turbo,workflow_embedded,high,Performs thematic analysis across historical Integrated Country Strategy documents to output categorized themes - RAG/analysis over an agency document corpus for one flow.
State,Live Consular AI Language Augmentation (LCALA) - OCS/ACS Pilot,workflow_embedded,medium,"Provides real-time transcription/translation during OCS/ACS citizen-service calls, embedded in that one identified service process, with no system read/write described."
State,NIV Adjudication Review Recommendation Engine (ARRE),system_integrated,medium,"ARRE scores each already-adjudicated NIV case and produces a ranked, tiered queue that drives managerial review prioritization - a classical-ML risk score feeding an operational review workflow."
State,Natural Language Processing (NLP) for Foreign Assistance Appropriations Analysis,workflow_embedded,medium,"Extracts and summarizes congressional directives from the appropriations bill (system: FACTS Info) to populate the annual 653(a) report - a single extraction/summarization flow, not a described write-back."
State,Office of the Historian (OH) Historical Analysis for Negotiations,workflow_embedded,low,"Produces succinct one-page historical overviews for negotiators as part of negotiation prep, a single defined output with no named system; narrative is thin on any deeper coupling."
State,PFCS Proving Ground,unclear,low,Described only as a generic experimentation platform for developing/scaling AI proofs of concept; the narrative doesn't say what is actually operating or how it connects to agency work.
State,Rosie Chat Bot,workflow_embedded,high,Rosie answers HR questions by retrieving from internal DOS-O365 information - RAG over an agency corpus for one Q&A flow.
State,StateChat,workflow_embedded,medium,"StateChat is a RAG-based enterprise chatbot that searches/summarizes SBU documents and cables and drafts text - retrieval over the department's document corpus for staff Q&A/drafting, without a described write-back to systems of record."
State,TIP Report Research Translation,workflow_embedded,high,Produces unofficial machine translations of TIP Report source material (AzureAI Translator) that are watermarked and reviewed by humans - a single translation step.
State,Utility Invoices Data Extraction,system_integrated,medium,Automatically extracts key invoice fields to issue utility payments and prepare consumption reports - classical ML feeding a live payment-processing/reporting function.
State,WHA/EX Information Management,workflow_embedded,high,WHA/EX answers admin/IT FAQs by retrieving from internal DOS-O365 resources - RAG chatbot for one support flow.
State,Walter:  Generative AI Support Bot,workflow_embedded,high,"Walter answers Tier 0/1 support requests based on internal DOS-O365 policies/directives - RAG-based virtual agent for one support flow, not multi-step system actions."
State,Within Grade Increase Data Extraction Automation,workflow_embedded,medium,"Extracts Within-Grade-Increase data from forms into a tabulated dataset referred for human review - a single extraction step, same pattern as DS-5528."
FDIC,AI Assisted Data Collection,workflow_embedded,medium,Computer vision extracts structured loan-application data from bank PDFs into a data file used for FDIC's examination analytics - a single extraction step feeding downstream analysis.
FDIC,Automatically-Scored Writing Assessment (AWA),system_integrated,medium,AWA's classical-ML essay scoring produces the actual scores used for hiring decisions - a production scoring model feeding a live employment-decision process.
FDIC,Background Check Tool for Fraud Investigations,workflow_embedded,medium,"CLEAR is queried to search/retrieve public records on individuals and businesses as one step of the fraud-investigation process; output is retrieved background information, not a further system read/write."
FDIC,Background Check Web Application,workflow_embedded,medium,Same CLEAR lookup pattern used to locate current contact information for depositors/entities owed reimbursement - a single search step in that identified process.
FDIC,Blockchain and Cryptocurrency Transaction Identification and Visualization,workflow_embedded,medium,"Chainalysis traces and visualizes blockchain transaction flows to support identifying criminal activity - a single analysis/visualization step over external blockchain data, no FDIC system write-back described."
FDIC,CFOO Admin Chatbot,workflow_embedded,high,RASA chatbot answers CFOO admin questions by retrieving from internal FDIC website/documents - RAG over agency data for one Q&A flow.
FDIC,CFOO Travel Chatbot,workflow_embedded,high,RASA chatbot answers FDIC travel questions from internal website/documents - same RAG Q&A pattern as the CFOO Admin bot.
FDIC,Criminal Background Investigation,workflow_embedded,medium,"CLEAR aggregates public records to automate the verification step of background screening for hiring/investigatory decisions - a single verification step, no further system write-back described."
FDIC,Digital Asset Liquidity Risk Analysis,workflow_embedded,medium,Chainalysis traces digital-asset fund flows/wallets to inform liquidity-risk policymaking analysis - a single analysis step over external blockchain data.
FDIC,Extracting IT Information,system_integrated,medium,"AlphaREx analyzes unstructured content pulled from the IT Profile, ROEs, and multiple other structured/unstructured sources to identify IT/cyber risk - spans multiple identified examination data stores."
FDIC,FDIC Deposit Insurance Misrepresentation,workflow_embedded,medium,Meltwater NLP searches media/social postings to flag deposit-insurance misrepresentation risk into a database for manual review - a single monitoring/flagging step.
FDIC,Financial Background Investigation,workflow_embedded,medium,Equifax/TransUnion credit data is pulled to automate the verification step of background screening for hiring/investigatory decisions - same single verification-step pattern as the CLEAR-based checks.
FDIC,HMDA (Home Mortgage Disclosure Act) Outlier Screen,system_integrated,medium,The HMDA model pre-screens off-site mortgage data (PERSYS) to generate a risk report that allocates examiner review time - a production risk-scoring model feeding the examination-scoping decision.
FDIC,Location and Evaluation of Individuals and Assets for Collectability of Civil Claim,workflow_embedded,medium,"CLEAR is queried to locate individuals/assets to support pursuit of civil claims - a single search step, not a further system read/write."
FDIC,New Offsite Models,system_integrated,medium,The ML model scores banks (ViSION) to identify likely downgrades feeding the quarterly offsite review program - a production risk-scoring model driving supervisory decisions.
FDIC,OIG computer forensics investigation tools.,workflow_embedded,low,"A bundle of named forensic tools (Adobe, Scan Writer, Social Discovery, etc.) accesses/stores device data for one identified process, criminal investigations; the narrative is thin on further coupling."
FDIC,Pre-Examination Planning Monitoring,system_integrated,medium,"Runs within PERSYS to flag pre-exam-planning questions misaligned with risk, feeding examiner scoping decisions - a production risk-screening model."
FDIC,Social Listening,workflow_embedded,medium,"Meltwater searches social/news media and summarizes mentions relevant to FDIC's mission - a single monitoring/summarization step, no write-back described."
FDIC,Trust Document Entity Extraction,workflow_embedded,medium,OCR+Llama extracts grantor/beneficiary data from trust agreements and presents it alongside the source document via the RRMP UI for human review - a single extraction step.
FHFA,"Analytics, Indexing, and Anomaly Detection for Data Management on SQL Server",system_integrated,medium,"SQL Server's built-in AI performs predictive analytics, automated indexing, and anomaly detection directly within the live GSS database in production."
FHFA,LexisNexis,standalone_chat,high,LexisNexis's GenAI searches and summarizes legal information for staff research - a named tool used directly with no described process coupling.
FHFA,Mathematical formula transcription using Commonlook Online,workflow_embedded,medium,Commonlook Online translates math formulas into plain language as one step of preparing publicly released documents.
FHFA,"Network monitoring, anomaly detection through Whats Up Gold and Flowmon integration",system_integrated,medium,Flowmon integration performs live network traffic anomaly detection and security monitoring within the production GSS network.
FHFA,Neural Networks for FHFA Modeling Analytics Platform (FMAP),system_integrated,medium,The neural-network model identifies nonlinearities/anomalies/key variables in loan-level mortgage data feeding the production FMAP forecasting platform.
FHFA,Phishing Email Identification,system_integrated,medium,KnowBe4 PhishER classifies and automatically responds to suspicious emails without per-email human analysis - an automated classification/response integrated with the live email-security system.
FHFA,Security and Compliance in file sharing and collaboration using Kiteworks,system_integrated,medium,Kiteworks detects anomalies and threats in real time within the live file-sharing/collaboration system.
FHFA,Security and network monitoring using Cisco Identify Services engine,system_integrated,medium,"Cisco ISE analyzes live network traffic/user behavior for automatic detection, isolation, and resolution of security risks within the production GSS network; the automation language borders on agentic but isn't described as chaining tools/actions."
FHFA,Virtual Acquisition Office (VAO) Ally,workflow_embedded,high,VAO Ally answers acquisition policy/guidance questions by parsing multiple resources and returning sourced summaries - RAG over agency acquisition materials for one Q&A flow.
FHFA,Virtual Desktop using Citrix,system_integrated,medium,"Citrix's built-in AI optimizes virtual desktops, manages workloads, and performs behavioral security analysis within the live GSS infrastructure."
FHFA,WestLaw,standalone_chat,high,WestLaw's GenAI searches and summarizes legal information for staff research - a named tool used directly with no further described coupling.
FHFA,Workflow automation and predictive analytics using ServiceNow,system_integrated,low,"ServiceNow Now Assist automates workflows and predictive analytics within the ServiceNow system, but the description is generic/circular (problem and output statements are nearly identical) with no specifics on what is read or written."
NSF,AI voice over,standalone_chat,low,WellSaid Labs/11 Labs generates placeholder voice-over audio directly for video projects; the narrative describes content generation with no system coupling.
NSF,Comparison of proposal similarities at different levels of NSF organization,workflow_embedded,medium,"Computes cosine similarity of proposal-summary embeddings to compare overlap/uniqueness across NSF programs/divisions/directorates - a single analytical comparison flow, no named system."
NSF,Hand-written text extraction using Textract for the Public Engagement with Science Initiative,workflow_embedded,medium,AWS Textract converts handwritten postcard responses into machine-encoded text for a public-engagement survey - a single OCR extraction step.
NSF,M365 AI Builder pre-built GPT for Summarization,workflow_embedded,low,M365 AI Builder's pre-built GPT summarizes email/meeting/task text to support creating Planner tasks and drafting accomplishment reports; the filing says it 'supports' this creation rather than clearly stating the AI writes the records itself.
NSF,"ServiceNow GenAI ""Now Assist""",system_integrated,medium,"ServiceNow Now Assist automatically generates responses, work notes, and knowledgebase articles and resolves tickets via chatbot within the live ITSM system - writes content into that system of record."
FCC,AI-Enhanced ULS Reverse Engineering,workflow_embedded,medium,"Analyzes the ULS legacy codebase to extract business logic/data flows and generate documentation and diagrams - a single code-analysis-to-documentation flow over that one named system, not live runtime data coupling."
