agency,use_case_name,original_verdict,override_verdict,reasoning
DOJ,ASCVD (Atherosclerotic Cardiovascular Disease) Risk Estimator,system_integrated,workflow_embedded,"Rule-2 was over-applied: the ASCVD estimator is a standalone vendor risk calculator used at one step of inmate preventative-health screening; no read/write coupling to any agency system of record (EHR/case system) is described, which is the workflow_embedded definition verbatim."
DOJ,Airlines Travel Intelligence Program,system_integrated,,ARC Travel Intelligence reads a named external operational travel-data store and generates alerts; system_integrated fits.
DOJ,Audio and Video Recording Management Tool,unclear,,Recording-management filing describes no AI processing or coupling at all; unclear is right.
DOJ,Autonomous Drone Detection and Monitoring,agentic_workflow,,"Deployed drones described as navigating autonomously while operators focus on operations — described physical autonomy (plans/executes flight actions without a human driving each step) meets the rubric's agentic bar, consistent with the USMS Skydio row."
DOJ,Axon,unclear,,"Filer states 'No AI utilized' and AI features not installed; nothing operating to place on the ladder, unclear correct."
DOJ,Axon Evidence.com,unclear,,"AI redaction features only tested, explicitly 'not operationally using them'; rule 1 (operating, not aspirational) makes unclear correct."
DOJ,Azure AI Foundry Platform,standalone_chat,,Pilot chatbot/document-review sandbox in a secure enclave with no described process or system coupling; standalone_chat correct.
DOJ,Business Intelligence Tools,system_integrated,,Embedded BI analytics over connected agency data producing dashboards/visualizations matches the dashboards-from-live-agency-data example; defensible system_integrated.
DOJ,Commercial LPR (via HIDTA partners),system_integrated,,Plate-reading CV operates on live partner camera feeds and ATF consumes its outputs in investigations; operational-sensor-feed rule fits.
DOJ,Critical Mention,workflow_embedded,,"Media-monitoring identify-and-summarize flow over public data; workflow_embedded reasonable for a thin filing, low confidence appropriate."
DOJ,Data & Analytics: Healthcare Fraud Detection,system_integrated,,Fraud analytics over federal healthcare-program claims data producing trend/link analyses; system_integrated defensible.
DOJ,Data Call Code Assist Tool,workflow_embedded,,"Generates search-query terms for the named data-call flow; workflow_embedded defensible on a thin filing (borderline standalone_chat), QC will re-review."
DOJ,"Data Synthesis, Sentiment, Filtering, and Location Linking",workflow_embedded,,Triage/tagging of incoming data for threat detection matches the 'triage of incoming X' example exactly.
DOJ,ELSAG/Leonardo (via HIDTA partners),system_integrated,,Same as Flock LPR: CV operating on partner-run operational camera feeds; system_integrated correct.
DOJ,Enterprise Telecommunications Information System,workflow_embedded,,"Speech-to-text at one step of call handling in the named telecom system; workflow_embedded defensible (if anything the named enterprise system argues deeper, not shallower)."
DOJ,Facial Recognition Technology and Data Mapping Tools,system_integrated,,Facial-recognition matching of open-source images against a matching store to generate leads; human review does not reduce depth (rule 6).
