agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
NASA,AEGIS: Autonomous Exploration for Gathering Increased Science,JPL: Jet Propulsion Laboratory,deployed,Classical/Predictive Machine Learning,0,0,0,computer_vision,,Mars2020 Rover,,b) Developed in-house,Yes,"AEGIS enables intelligent targeting and data acquisition by planetary rovers. It uses computer vision techniques to identify targets (e.g., rocks) in wide angles images of the rover's surrounding terrain. If targets are found that match scientists specificiations, they are then measured autonomously using remote sensing instruments. AEGIS was first used on the MER Mission. It is currently in use on the MSL Mission to acquire data for the ChemCam instrument. It is planned for use in Spring of 2022 on the M2020 Mission to acquire data for the SuperCam instrument.","AEGIS enables intelligent targeting and data acquisition by planetary rovers. It uses computer vision techniques to identify targets (e.g., rocks) in wide angles images of the rover's surrounding terrain. If targets are found that match scientists specificiations, they are then measured autonomously using remote sensing instruments. AEGIS was first used on the MER Mission. It is currently in use on the MSL Mission to acquire data for the ChemCam instrument. It is planned for use in Spring of 2022 on the M2020 Mission to acquire data for the SuperCam instrument.","Recommendations of relevant objects, e.g., Mars rocks, for scientific examination."
NASA,AI Based Digital Twin Interoporability Schema,JPL: Jet Propulsion Laboratory,pilot,Reinforcement Learning,0,0,0,classical_ml,,,,b) Developed in-house,Yes,Using IEEE 2874 Spatial Web standard to implement a new Hyperspace Modeling Language (HSML) and Hyperspace Transaction Protocol (HSTP) to establish communications among heterogeneous simulation platforms.,Making collaboration of digital twins possible in different platforms.,Recommandation list.
NASA,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]",JSC: Johnson Space Center,pilot,Agentic AI,1,0,0,agentic,,MCP GCP,,b) Developed in-house,Yes,"A software agent that can perform tasks or services for an individual based on commands or questions. These commands can be given through text, voice, or other interfaces. DAs leverage artificial intelligence (AI), natural language processing (NLP) and machine learning (ML) to understand user requests, learn from interactions and provide increasingly personalized and accurate responses.","Improved cost savings, time savings, and process improvement in flight-related procedures related to medical conditions during flight.","Outputs recommendations for a human on possible activities to remediate medical conditions, for example while in space."
NASA,AI Risk-aware task and motion planning for snake-like robots in icy enviroments,JPL: Jet Propulsion Laboratory,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,Aware Biometrics,,,b) Developed in-house,Yes,Enables task and navigation planning inextreme ice terrains/environments.,"Time-FED provides time-savings for persons wishing to prepare data for and use ML models.  For example, Time-FED has been used on ML applications applied to GNSS data stored in ESDR archives.",Activity Plan/Schedule and with velocity commands for motion tasks
NASA,AI-enabled Risk-Informed Assessment Selection (RIAS) tool,OSMA: Office of the Chief Safety & Mission Assurance,pilot,Generative AI,1,1,0,general_llm,,,,b) Developed in-house,Yes,"This project leverages LLM-based tools to automate data ingestion, risk trend detection and scoring, and compliance determination across a variety of NASA applicable data. The innovative approach aims to streamline risk identification and prioritization while positioning our team at the forefront of AI-enabled risk management practices.",Leverage a wide range of data to identify risk trends and prioritize areas for assessment and risk reduction.,"Prioritized assessment candidates, potential areas of mission risk."
NASA,ASPEN Mission Planner,JPL: Jet Propulsion Laboratory,deployed,Agentic AI,0,0,0,classical_ml,,Multiple approved space-based systems,,b) Developed in-house,Yes,"Based on AI techniques, ASPEN is a modular, reconfigurable application framework which is capable of supporting a wide variety of planning and scheduling applications. ASPEN provides a set of reusable software components that implement the elements commonly found in complex planning/scheduling systems, including: an expressive modeling language, a resource management system, a temporal reasoning system, and a graphical interface.","ASPEN has been used for many space missions including: Modified Antarctic Mapping Mission, Orbital Express, Earth Observing One, and ESA's Rosetta Orbiter.",Plan and schedule recommendations to optimize Science from Scientific Sensors.
NASA,Adaptive Problem Solving / Hyperparameter Optimization,JPL: Jet Propulsion Laboratory,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,,b) Developed in-house,Yes,Adaptable algorithms to analyze hyperspectral data,Improved science analysis.,Learns features of the data.
NASA,Adversarial Policy Evolution via AI,JPL: Jet Propulsion Laboratory,pilot,Reinforcement Learning,0,0,0,classical_ml,,,,b) Developed in-house,Yes,"Develop and improve decision-making strategies by having them compete against adversaries, learning and evolving through repeated challenges.",Improved methods.,Learning algorithm.
NASA,Anomaly detection in aeronautics data with quantum-compatible discrete deep generative model,ARC: Ames Research Center,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,,b) Developed in-house,No,"Our team developed high-performance unsupervised deep machine-learning models for the detection of flight-operations anomalies. The models’ engineered-feature (latent) spaces are composed of discrete variables, which allows an integration with quantum computing because (part of) the latent-space variables can be populated by quantum-state measurements, which are discrete in nature.",This project enabled the additional development of two quantum-capable unsupervised deep-learning models with discrete latent space (Bernoulli and Boltzmann priors). The models exhibit state-of-the-art anomaly-detection performance and robustness. Future versions of our models will be deployed on in-time flight-operations data streams. They will also be used to assess the performance and resource requirements of quantum and other physical computing devices.,anomaly detection
NASA,Application of ML to Detection of Anomalies in Spacecraft Health and Status Data,GSFC: Goddard Space Flight Center,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,NA - local machine,,b) Developed in-house,Yes,"We are collaborating with the Magnetospheric Multiscale (MMS) mission to research Machine Learning (ML) techniques capable of predicting and detecting anomalies in spacecraft health and status data. We are combining historical MMS telemetry data, with known mission events and anomalies, to perform unsupervised ML techniques. We have primarily used Temporal Convolutional Networks (TCN) as they preserve the temporal nature of our data while detecting long term and short term trends in the data.","This research provides new insights in telemetry data patterns and may reduce the time it takes to identify anomalies, allowing operators to focus on finding resolutions to ensure spacecraft health and safety.",Detection of anomalies
NASA,Autonomous WAiting Room Evaluation (AWARE),LaRC: Langley Research Center,deployed,Computer Vision,0,0,0,computer_vision,Aware Biometrics,LaRC BPO Private Server,,b) Developed in-house,Yes,"Using an existing security camera and YOLO Machine Learning model to detect and count number of people waiting for service at Langley's Badge & Pass Office. When a predetermined threshold of people is exceeded, automated texts and emails are sent to request additional help at the service counters.",Spreads load on LaRC Badge & Pass Office (via website telling employees how busy) and adds BPO support by texting staff when waiting room conut threshold exceeded.,"Detection, classification and enumaration of people in BPO waiting area"
NASA,CLASP Coverage Planning & Scheduling,JPL: Jet Propulsion Laboratory,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,Microsoft Teams,Deployed on multiple remote sensing spacecraft,,b) Developed in-house,Yes,"The Compressed Large-scale Activity Scheduling and Planning (CLASP) project is a long-range scheduler for space-based or aerial instruments that can be modeled as pushbrooms 1D line sensors dragged across the surface of the body being observed. It addresses the problem of choosing the orientation and on/off times of a pushbroom instrument or collection of pushbroom instruments such that the schedule covers as many target points as possible, but without oversubscribing memory and energy. Orientation and time of observation is derived from geometric computations that CLASP performs using the SPICE ephemeris toolkit.","CLASP allows mission planning teams to start with a baseline mission concept and simulate the mission's science return using models of science observations, spacecraft operations, downlink, and spacecraft trajectory. This analysis can then be folded back into many aspects of mission design -- including trajectory, spacecraft design, operations concept, and downlink concept. The long planning horizons allow this analysis to span an entire mission. Actively in use for optimized scheduling for the NISAR Mission, ECOSTRESS mission (study of water needs for plant areas), EMIT mission (mineralogy of arid dusty regions), OCO-3 (atmospheric CO2) and more as well as used for numerous missions analysis and studies (e.g. 100+).","Estimates of scientific mission outcomes / results, based on optimized scheduling of spacecraft and sensors."
