agency,use_case_name,original_verdict,override_verdict,reasoning
NASA,AEGIS: Autonomous Exploration for Gathering Increased Science,agentic_workflow,,"Agree: detect-then-act chain is described as operating -- CV finds targets, then instruments 'measured autonomously' onboard deployed rovers (MSL/M2020); genuine multi-step autonomy."
NASA,AI Based Digital Twin Interoporability Schema,unclear,,"Agree unclear: HSML/HSTP interoperability schema work; no described coupling of the AI to any process or system, output is a vague 'recommendation list'."
NASA,Adaptive Problem Solving / Hyperparameter Optimization,unclear,,"Agree unclear: 'adaptable algorithms to analyze hyperspectral data' names no process step, system, or deployment context."
NASA,Adversarial Policy Evolution via AI,unclear,,"Agree unclear: RL self-play research with no named system, process, or operating context."
NASA,Anomaly detection in aeronautics data with quantum-compatible discrete deep generative model,workflow_embedded,,Agree: models detect flight-ops anomalies in one identified analysis flow; labeler correctly applied the operating-not-aspirational rule to the future 'in-time data streams' deployment.
NASA,Data Fracking (HRP),workflow_embedded,,"Agree: one document pipeline (search over input documents, old-format-to-new conversion) on Azure OpenAI/MCP GCP; no system-of-record read/write described."
NASA,Enhanced AutoNav for Perseverance Rover on Mars,agentic_workflow,,"Agree: AutoNav 'autonomously plans a safe path' chaining stereo reconstruction, tree search, Dijkstra planning, and ACE safety checks onboard the deployed rover -- described multi-step autonomy."
NASA,Instantaneous Clarity of Ambient eNvironment Capability (ICAN-C),unclear,,Agree unclear: feasibility study ('determine the applicability') on a local machine; no operating coupling described.
NASA,MLNav (Machine Learning Navigation),system_integrated,,Agree: ML heuristics run inside the deployed rover's navigation pipeline with collision-checking backstop -- outputs feed the onboard nav system rather than acting autonomously.
NASA,Machine learning for prediction and factor analysis of laser forming parameters,workflow_embedded,,Agree (thin): prediction + SHAP analysis for the single named laser-forming process; no deeper coupling described. workflow_embedded is defensible for the one identified flow.
NASA,Mars2020 Rover (Perseverance),agentic_workflow,system_integrated,"Problem statement is 'Research... to empower FUTURE rovers' (aspirational, rule 1); the operating behavior described is Copilot Monte Carlo analysis producing scheduling RECOMMENDATIONS that feed the onboard scheduler -- outputs feeding a production system, not described autonomy. The autonomous scheduler itself is the separate 'Onboard Planner' row."
NASA,Onboard Planner for Mars2020 Rover (Perseverance),agentic_workflow,,Agree: deployed onboard scheduler autonomously constructs and places the rover's activity schedule (preheat/wake/sleep handling) with no human driving each step.
NASA,RDUST Regolith Dust Universal System Tracker,unclear,,"Agree unclear: problem, benefits, and outputs are the identical generic phrase; nothing about coupling."
NASA,Retrieving stratospheric NO2 profiles from OMPS Limb Profiler measurements,system_integrated,workflow_embedded,"Running on the NCCS Prism GPU cluster is compute infrastructure, not system coupling; the narrative describes a pilot-stage research retrieval (OMPS LP measurements -> NN -> NO2 profiles, validated against models) with no write-back or production data-product feed -- agency data read for one flow (rule-4 pattern)."
NASA,"SensorWeb: Volcano, Flood, Wildfire, and others.",agentic_workflow,,"Agree: described autonomous trigger chain -- low-res sensors autonomously trigger high-res satellite observations, operating on the 50 most active volcanos; deployed multi-step autonomy across systems."
NASA,Using LLMS for Documents and Requirements Analysis,workflow_embedded,,"Agree (borderline): GenAI document analysis tied to the named requirements-development process -- one identified flow, no system coupling; low confidence appropriate and QC will re-review."
GPO,Cognitive Services search engine (GPO Intranet site),workflow_embedded,,Agree: AI-powered search over the GPO intranet corpus is retrieval over agency data for one flow (rule 4); no write-back described.
GPO,DevOps,unclear,,"Agree unclear: 'ability to create AI projects using the DevOps toolset' describes a capability, not what any AI does or how it connects to work."
GPO,PII Scanning,workflow_embedded,,"Agree: single identified process (scan data for PII); no data store or write-back named, so not system_integrated."
GPO,Threat Detection (Cloud-based),system_integrated,,Agree: cloud engine scores live device telemetry against known-good baselines -- classical ML operating on a production security feed (rule 2).
