agency,use_case_name,verdict,confidence,reasoning
ED,Aidan Chat-bot,standalone_chat,medium,FSA's virtual assistant answers common financial-aid questions via a chat interface on StudentAid.gov; no read/write to an account or system of record is described.
ED,Azure AI Internal General Q&A,workflow_embedded,medium,"RAG chatbot (ENT_Tech) answers staff questions using provided internal documents — a single document-grounded Q&A flow per the RAG rule, with no write-back described."
ED,CAISY - Artificial Intelligence System Skillsoft Percipio Assessment for the Department Use,standalone_chat,medium,"expected_benefits is marketing fluff, but system_outputs states it delivers scenario-based practice content directly to a user inside the named Skillsoft Percipio training platform — direct tool use, not system integration."
ED,Comment Categorization,workflow_embedded,medium,"RAG bot ingests FAFSA comments from a public mailbox and categorizes/summarizes them for human review — a single identified comment-triage pipeline, no system-of-record write-back described."
ED,Customer Service Support,workflow_embedded,medium,"RAG chatbot answers StudentAid.gov troubleshooting questions using a single provided document (tickets/issues/fixes) — one identified flow, not read/write with agency systems."
ED,Department-wide implementation of GSA USAi,standalone_chat,medium,Provides ED staff access to GSA's multi-vendor LLM platform — general LLM access with no described coupling to a specific process or system.
ED,Generative AI - Capability Evaluation,standalone_chat,high,"All 5 office filings (duplicate-key group) describe staff directly prompting the OpenAI API to test/evaluate its capabilities on various topics — no workflow or system coupling in any instance, so the shared deepest level is standalone_chat."
ED,Generative AI - Capability Evaluation,standalone_chat,high,"All 5 office filings (duplicate-key group) describe staff directly prompting the OpenAI API to test/evaluate its capabilities on various topics — no workflow or system coupling in any instance, so the shared deepest level is standalone_chat."
ED,Generative AI - Capability Evaluation,standalone_chat,high,"All 5 office filings (duplicate-key group) describe staff directly prompting the OpenAI API to test/evaluate its capabilities on various topics — no workflow or system coupling in any instance, so the shared deepest level is standalone_chat."
ED,Generative AI - Capability Evaluation,standalone_chat,high,"All 5 office filings (duplicate-key group) describe staff directly prompting the OpenAI API to test/evaluate its capabilities on various topics — no workflow or system coupling in any instance, so the shared deepest level is standalone_chat."
ED,Generative AI - Capability Evaluation,standalone_chat,high,"All 5 office filings (duplicate-key group) describe staff directly prompting the OpenAI API to test/evaluate its capabilities on various topics — no workflow or system coupling in any instance, so the shared deepest level is standalone_chat."
ED,Generative AI - Code Generation,standalone_chat,high,"All 12 office filings (duplicate-key group) describe staff prompting the OpenAI API directly for code snippets (Excel macros, DAX, SAS, VBA, Python) — direct tool use with no system integration described in any instance."
