agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
SSA,AI Comment Analysis,Chief Information Officer,pilot,Generative AI,0,0,0,general_llm,,,,b) Developed in-house,Yes,"The AI comment analysis system supports the decision-making of SSA public comment reviewing staff by making preliminary designations as to whether a given public comment (or select attachment content) contains any of a set of predefined types of flagged content, such as personally identifiable information (PII), offensive content, and other staff-defined categories. The process of reviewing public contents, which can sometimes volumes in the hundreds of thousands, is slow and resource intensive for the agency.  The AI system helps streamline the process by directing staff attention to areas of potential interest.",Improved efficiency of public comment review compared to purely manual methods.  Potential improvements to the consistency and quality of comment review decision-making by introducing a consistent preliminary screen to support decision-making.,"The system outputs a spreadsheet containing a catalog of comment content reviewed, designations as to whether the AI model concluded each targeted form of content was or was not present. If deemed present, it provides quotations of specific comment content that informed its decision."
SSA,Agency Support Companion (ASC) chatbot,Chief Information Officer,deployed,Generative AI,1,1,0,general_llm,OpenAI API,Agency Support Companion,Microsoft / OpenAI,c) Developed with both contracting and in-house resources,Yes,"Generative AI model to create content, summarization and research capabilities","Assist all internal users across the agency in their daily tasks related to content generation, analysis, refinement, and general research capabilities.","Chatbot responses to users as well as management information reports for executives

Management information reports, in the form of a dashboard, for executives to track ASC usage."
SSA,Application Observability Support,"Chief Information Officer, System Operations and Hardware Engineering",deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,ACI,Dynatrace,a) Purchased from a vendor,No,To assist OCIO users in monitoring critical applications for performance and availability management on premises and in the cloud environment.  AI is used to create a baseline based on a weeks worth of data.  When the data collected significantly deviates from the baseline alerts are sent to appropriate OCIO user base.,Performance issues are addressed as soon as possible to avoid critical applications failure that would impact SSA's business processes. Incident summary produced creates an opportunity for future  risk avoidance and mitigation processes through after actions steps.,"System failure or degradation alerts, incident reports and  application trending."
SSA,Benefit and Earnings Public Use File,"Chief Information Officer, Analytics and Improvements",deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,,,b) Developed in-house,Yes,Generate high fidelity synthetic benefits and earnings data for external researches to support policy research and decision making while protecting privacy.,Enhanced data privacy; inform policies to support data driven decision making,Synthetic microdata file aimed for public use by policy researchers
SSA,Continuing Disability Review Model,"Chief Information Officer, Analytics and Improvements",deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,CDR,,b) Developed in-house,Yes,This AI use case identifies disability cases with the greatest likelihood of medical improvement and flag them for a continuing disability review to improve the accuracy of program administration.,Improving accurate claim processing: ensuring that only those who qualify for benefits remain on the rolls.,"The system outputs numerical scores for each case: the score represents the likelihood of medical improvement. The probabilities are binned according to low, medium, or high."
SSA,Customer Insight Tool,"Chief Information Officer, Analytics and Improvements",deployed,Natural Language Processing,0,0,0,nlp_specific,,Customer Feedback Tool (CXFT),Medallia,c) Developed with both contracting and in-house resources,No,SSA uses a survey system to deliver and manage customer surveys. Part of the deployed system includes an AI capability for performing text analytics for identifying and tracking customer sentiments and key trends.,"The AI-powered text analytics capability within SSAs survey system helps the agency better understand customer experiences by analyzing unstructured feedback. It outputs sentiment ratings, categorized themes, suggested actions, customer effort indicators, and translated text. These insights enable early detection of emerging trends and provide a clearer view of positive and negative drivers in customer interactions, supporting more responsive and informed service improvements for the public.","Survey analysis tool that evaluates sentiment and categorization.
Current capabilities include: 
1. Machine Translation - using algorithms to automatically translate text from one language to another
2. Sentiment Analysis - classifies text into negative, positive and neutral sentiment
3. Categorization - system-generated groupings of conceptually-related words and phrases based on phrase-level feedback
4. Suggested Actions - uncovers explicit suggestions from feedback text
5. Customer Effort - aimed to recover explicit mentions of effort in feedback text"
SSA,Data Governance Product (DGP) -  Data cataloging and predictive analysis of data assets.,Chief Information Officer,deployed,Generative AI,1,0,0,general_llm,,Enterprise Data Catalog,Informatica,a) Purchased from a vendor,No,"Vendor built in AI engine for data cataloging to automates the discovery, classification, and curation of data assets. And also provides predictive insights for data asset analytics. Uses Natural Language Processing (NLP) enables non-technical stakeholders to contribute to rule creation and facilitates the conversion of plain text into regular expression.",1. Reduced manual effort in assigning Business Terms to data assets in the Technical data catalog. 2. Reduced effort and time through generation of data quality rule code.,Efficient data catalog search results. Plain English conversation with the users to create technical regular expression rule creation
SSA,Digital Identity Verification Services,"Chief Information Officer, Digital Customer Solutions",deployed,Computer Vision,0,0,0,computer_vision,,Digital Identity,ID.me,a) Purchased from a vendor,No,"The AI is intended to solve the problem of securely verifying and authenticating individuals identities online, ensuring that users can prove and share their identity safely for digital services.","The expected benefits of the AI include reducing identity theft and fraud, ensuring compliance with security standards, increasing operational efficiency by minimizing manual reviews, enabling users to access multiple services with a single verification, and improving access for underserved populations through alternative verification methods.","The AI system produces verification results, risk indicators for suspicious activity, authentication logs, real-time fraud alerts, user analytics, and compliance reports to support audits and regulatory needs."
SSA,Duplicate Identification Process,Chief Information Officer,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,DIP,Hyperscience,a) Purchased from a vendor,No,"This AI use case identifies, flags, and marks duplicates, reducing the amount of time spent to review cases for hearings.",The use case improves efficiency and accuracy of disability determinations/decisions.,"This AI use case identifies, flags, and marks duplicates, reducing the amount of time spent to review cases for hearings."
SSA,Enterprise Ticketing System (ETS),Chief Information Officer,deployed,Other,0,0,0,classical_ml,ServiceNow Now Assist,ServiceNow,"ServiceNow
AWS",c) Developed with both contracting and in-house resources,Yes,This AI use case consolidates searching capabilities across multiple applications and portals to help employees find and locate the appropriate form to submit a request or problem they may have.,The use care reduces the time and complexity involved with locating request forms.,The output is a list of request forms with a link to open each form in its respective system.
