agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
SEC,8-K Filing Solution,Division of Corporate Finance (CF),deployed,Computer Vision,0,0,0,computer_vision,,,,b) Developed in-house,Yes,Business users now can quickly go through the details to make a informed decisions using AWS image recognition AI service,Searches and extracts information from certain 8-K filings (HTML files and images).,Extracts of filing data.
SEC,Agentic Knowledge Base of Amazon Web Services Cloud Environment for the Securities and Exchange Commission (ACES),Office of Information Technology (OIT),pilot,Generative AI,0,1,0,general_llm,,ACES,,b) Developed in-house,,Retrieving and Summarizing support FAQ information,The AI system will look for relevant historical FAQs and Compliance Best Practices to present to Cloud Engineers using the ACES platform,The AI system will look for relevant historical FAQs and Compliance Best Practices to present to Cloud Engineers using the ACES platform
SEC,Augmenting cyber threat alerts on the ACES platform with ACES's specific information.,Office of Information Technology (OIT),pilot,Generative AI,1,0,0,general_llm,,ACES,,b) Developed in-house,,The current Cyberthreat alerts on the ACES platform are difficult to understand and we often see false positives relative to new use cases.,"The current Cyberthreat alerts on the ACES platform are difficult to understand and we often see false positives relative to new use cases. 

We would like to run the alerts through a RAG-enabled AI model to:
 Add SEC specific guidance and context to the emails based on a curated knowledge base.
 Provide more guidance on how to respond to the alert.
 Make the notification email easier to read and understand.",The AI system will output the cyberthreat alert along with information on the context of the threat in the SEC environment.  It will summarize the information and provide suggested guidance in a more readable format.
SEC,Creating AI generated images,"Division of Enforcement (ENF), Division of Economic and Risk Assessment (DERA)",deployed,Generative AI,1,0,0,general_llm,,SEARCH,Elder Research,c) Developed with both contracting and in-house resources,Yes,Facilitate the use of models for AI generated image creation,"Cost savings, efficient use of time for creating stock images for presentations, keeping up with state-of-the-art technologies.",Image response is in direct response to users individual request.
SEC,Developed Parsing Logic for Filings,"Division of Examinations (EXAMS), Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)",deployed,Reinforcement Learning,0,0,0,classical_ml,,AI Filing Parser,,b) Developed in-house,Yes,Help staff more efficiently search and analyze disclosure text contained in various filings.,Help staff more efficiently search and analyze disclosure text contained in various filings.,These efforts will help to search and analyze certain filings.
SEC,Evaluating Cybersecurity Alerts,Office of Information Technology (OIT),pilot,Agentic AI,0,0,0,agentic,,,,b) Developed in-house,Yes,Explore different mechanisms leveraging AI to inform and expedite cybersecurity processes.,Enhances identification of anomalous cybersecurity alerts for review. Increases the effectiveness and efficiency of limited cybersecurity resources.,Cybersecurity analysis reports and initial assessments of activity.
SEC,Extracting data from FOIA request forms,Office of Information Technology (OIT),deployed,Generative AI,0,0,0,general_llm,,,GDIT,c) Developed with both contracting and in-house resources,No,Capture and load data from a FOIA form into a SharePoint list for tracking through the eDiscovery Lifecycle. This alleviates time demands for manual entry from one system to another.,To capture and load data from a FOIA form into a SharePoint list for tracking through the eDiscovery Lifecycle.,Extracts data from Microsoft word document to a SharePoint.
SEC,Identification of Potentially Manipulative Activity in Certain Accounts,Division of Examinations (EXAMS),deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,NEAT,Aretec Inc,c) Developed with both contracting and in-house resources,Yes,Identifies accounts with certain activity of interest for further review by an examination team,Identifies accounts with certain activity of interest for further review by an examination team.,The system identifies activity of interest.
SEC,Improve efficiency of comment letter ingestion,Office of the Secretary (OS),deployed,Classical/Predictive Machine Learning,0,0,0,general_llm,,CLL,,c) Developed with both contracting and in-house resources,Yes,"Using AI/ML to improve the timeliness and accuracy of the ingestion of comment letters, such as by automating the identification of comment file numbers, and enhancing the identification of spam, form letters, PII, profanity, and copyrighted material. 2. Increase the quality and amount of structured data (including metadata) related to individual comment letters to directly support downstream uses, including use by GenAI tools","Improve the timeliness and accuracy of the ingestion of comment letters, and increase the quality and amount of structured data (including metadata) related to individual comment letters to directly support downstream uses, including use by GenAI tools",Additional metadata and flags on incoming comment letters.
SEC,Legal Research (Lexis+),Office of the Chief Data Officer (OCDO),deployed,Generative AI,0,0,0,general_llm,,,RELX (Lexis),a) Purchased from a vendor,No,More efficient legal research.,Improved search results and extracted information to assist in legal research activities.,AI-enabled extractions of text and AI-enabled type-aheads in search bars
