agency,use_case_name,original_verdict,override_verdict,reasoning
DOE,ACORN (Autonomous Operation for Reactor Technologies),agentic_workflow,,"Agree: narrative explicitly describes an autonomous closed loop -- identifies process models, solves for optimal control actions, executes actions, observes responses. Described autonomy, not just the word 'agent'."
DOE,AI-Enabled Tech Desk Agent,workflow_embedded,,Agree: self-service tech-desk chat agent is one identified IT-support flow; no described autonomy or system read/write despite the 'Agentic AI' classification (rule 5).
DOE,AI-Enhanced Lab Assist,workflow_embedded,,Agree: trend detection feeding Lab Assist Activity Planning is one identified flow; no operational system coupling described.
DOE,Advanced Fuels Campaign,unclear,,"Agree: problem 'Not available', generic 'Information summaries' -- no described coupling."
DOE,Apple Intelligence,unclear,,Agree: auto-integrated Apple AI features with explicit 'no identified benefit' boilerplate and no llm-access flag; no staff use or coupling described.
DOE,Bernie-AI: Infrastructure Planning Support POC,workflow_embedded,,Agree: RAG-style retrieval of building/asset info for planning is one flow (rule 4); no read/write integration described.
DOE,Chatlab,unclear,,Agree: all fields 'Not available'; nothing to label. (Name hints at chat but the tool's actual form is not established for this custom build.)
DOE,Climate Weather Data,unclear,,Agree: only a vague 'speeds up climate model analysis' benefit; no described coupling.
DOE,Copilot for Microsoft 365,standalone_chat,,Agree: general M365 Copilot productivity use across Office apps -- rule 3 floor.
DOE,CrewAI,agentic_workflow,unclear,"Rule 5: agentic must be DESCRIBED autonomy, and rule 3: named tool != depth. The filing is generic vendor-purpose text ('automate and orchestrate workflows across LLMs and cloud platforms') with boilerplate outputs -- no concrete chain, system, or action is described as operating for this pilot; the labeler's own reasoning concedes 'no concrete example of the chain'. Same standard the labeler correctly applied to Google Agentspace/NotebookLM."
DOE,Databricks AI for Cloud Data Warehouse,system_integrated,,"Agree (borderline): Databricks AI operating over the agency's unified cloud data warehouse is a described data-store coupling; system_integrated defensible, workflow_embedded would also have been accepted."
DOE,DevSec Ops AI,unclear,,"Agree: system field names an SSP boundary, not a coupling; problem N/A, outputs generic. Nothing describes the flow."
DOE,EES&T Communications Impact,workflow_embedded,,Agree (marginal): communications-effectiveness analysis for outreach is arguably one analysis flow; unclear would also have been defensible given problem='Not available'.
DOE,ESH&Q NEPA App,workflow_embedded,,Agree: NEPA environmental review is one identified process the app runs in.
DOE,EnerGPT Canvas,standalone_chat,,"Agree: general drafting/editing platform, no process or system coupling."
DOE,Google Agentspace / NotebookLM,workflow_embedded,,Agree: grounded Q&A over enterprise data = rule 4 workflow_embedded; correctly declined agentic despite vendor marketing language.
DOE,Google Chrome Generative AI,unclear,standalone_chat,"Rule 3: a named general-purpose assistant with no described coupling is standalone_chat, not unclear. The row is deployed Chrome generative-AI features for staff (is_general_llm_access=1) on the GSS -- 'we have this staff-facing genAI tool' alone. Nothing suggests coupling, so the ladder floor applies rather than unclear."
DOE,Groundwater Modeling,system_integrated,,"Agree: deployed forecasting model providing forward-looking groundwater monitoring in LMGSS; rule 2 classical-ML-in-production, human review doesn't reduce depth (rule 6)."
DOE,LLM EV,workflow_embedded,,Agree: defined LLM policy-document analysis pipeline on NREL compute producing research outputs; not an agency system of record.
DOE,Machine Learning for Accelerator Operations Using Big Data Analytics / L-CAPE,agentic_workflow,system_integrated,"The concrete operating behavior described is anomaly prediction/classification with outputs to a dashboard with fault labels and downtime predictions; 'the model will also try and predict downtime and possible actions' -- predictions and suggested actions, not executed ones. 'Enabling automatic mitigation' is purpose/aspiration (rule 1). ML feeding an ops dashboard for the FNAL Linac = system_integrated, not agentic."
DOE,Machine Learning for geophysical data inversion,workflow_embedded,,Agree: defined inversion-for-leak-detection analysis flow; no target system named.
DOE,Merlin - KCNSC Generative AI with RAG,workflow_embedded,,Agree: RAG combining generation with retrieved authoritative information = rule 4 workflow_embedded.
DOE,Microsoft 365,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft 365 Apps for Enterprise,unclear,standalone_chat,"Rule 3: tool_product_name is Microsoft 365 Copilot with is_general_llm_access=1, deployed -- 'we use Copilot' alone is standalone_chat no matter how thin the narrative. Consistent with the labeler's own standalone_chat call on the described 'Copilot for Microsoft 365' row."
DOE,Microsoft Azure Authoring Tools,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Azure PowerShell,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Bing Service,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Copilot,unclear,standalone_chat,"Rule 3: this row IS Microsoft Copilot (tool_product_name=Microsoft 365 Copilot, is_general_llm_access=1), deployed. A named general LLM assistant with no described coupling is the textbook standalone_chat case; unclear should be reserved for rows where even the tool's staff-facing use can't be established."
DOE,Microsoft Copilot for Security,system_integrated,,"Agree: Security Copilot assisting real-time monitoring, detection, and automated incident response against live security data = operational coupling."
DOE,Microsoft Edge,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Exchange Server,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft MSPaint,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft OneDrive,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft OneDrive MUI,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft OneNote,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft OneNote MUI,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Outlook MUI,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Power BI Desktop,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft PowerPoint MUI,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Project,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft ScreenSketch,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Search in Bing,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Skype App,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Teams,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Teams Classic,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Visual C++ Additional Runtime,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,Microsoft Visual C++ Minimum Runtime,unclear,,Agree: 'AI was automatically integrated into the product without an identified benefit' with N/A problem/outputs -- the filing affirmatively describes no usage; no llm-access flag or named assistant tool to anchor a standalone_chat floor.
DOE,OpenAI Enterprise,standalone_chat,,Agree: general enterprise GPT access for research -- rule 3 floor.
DOE,PARSGPT,workflow_embedded,,"Agree: chatbot for PM analysts tied to the named PARS system for investigations/audits; rule 4 pattern, read/write to PARS not described so not system_integrated."
