agency,use_case_name,verdict,confidence,reasoning
DOI,,unclear,low,No use-case name and problem statement is 'N/A'; the benefit/output text only vaguely mentions gathering open-source online data with no described process step or system coupling.
DOI,AI data harvesting project  ECOSphere [2024 INV#DOI-62],workflow_embedded,medium,"Pilot automates extracting/classifying/transforming species files into a format compatible with the named ETK system, a single ingestion pipeline; the QA loop and full ETK write-in are still being built, not yet confirmed live."
DOI,AI for Offshore Energy: Innovative Technology Streamlines Marine Wildlife Surveys [2024 INV#DOI-66],workflow_embedded,medium,CV pipeline processes aerial survey imagery to produce migratory-bird abundance/distribution counts feeding BOEM's environmental review; a single analysis flow with no system read/write described.
DOI,AI to survey boat traffic,workflow_embedded,medium,"Scans video to log boat entrance/exit times for one monitored area, replacing manual review — a single analysis task with no described system integration."
DOI,AI-Powered Wildlife Monitoring on National Wildlife Refuges,workflow_embedded,medium,"CV aerial-survey pipeline produces whooping crane/waterfowl population counts to inform harvest management — a single survey-analysis flow, no system coupling described."
DOI,AI/ML For Hazard Detection in Austere Environments with Automated or Remotely-Operated Rovers [2024 INV#WO0000000107424],workflow_embedded,medium,"Single-step CV pipeline classifies ground cover from an autonomous rover's camera to flag hazards; benefits note the safety payoff is conditional on future operational deployment, so it is not yet in production use."
DOI,Adaptive Management with AMMonitor,workflow_embedded,medium,Automated species identification from remotely sensed images/audio replacing manual review — a single classification pipeline with no system-of-record coupling described.
DOI,Anomaly Detection for Financial Transactions Related to DOI Programs,system_integrated,medium,Analyzes DOI programs' financial transaction data to flag anomalies routed to auditors/law-enforcement analysts for action — reads a real agency financial data source and feeds a downstream audit/investigation process.
DOI,Automated Walrus Haulout Monitoring [2024 INV#WO0000000110052],system_integrated,medium,Deployed CNN processes imagery from remote camera traps (an ongoing operational sensor feed) to determine walrus presence/absence at haulout sites.
DOI,Automated identification of ducks from hunter-submitted photos using deep learning models,workflow_embedded,medium,"Classifies species from hunter-submitted photos to support the waterfowl harvest-management monitoring program — a single classification pipeline, not yet confirmed as live-system integration at pilot stage."
DOI,Automated otolith aging using image processing [2024 INV#WO0000000109315],workflow_embedded,medium,Image-processing pipeline automates counting otolith rings for fish aging — a single analysis step with no described system coupling.
