agency,use_case_name,verdict,confidence,reasoning
VA,3D Quorum,workflow_embedded,medium,"CV pre-processing generates 'SmartSlices' cutting the images a radiologist must review for breast cancer detection, a single triage step with no named downstream system."
VA,3M/Solventum 360 Encompass Computer Assisted Coding - Auto Suggestion,workflow_embedded,medium,"Suggests ICD-10/CPT/HCPCS codes for a medical coder to select -- one step in the coding-review process, no described system-of-record write-back."
VA,AGFA DR 800 with MUSICA Dynamic,workflow_embedded,medium,Recommends X-ray image-processing settings for the operator -- a single device-level step with no further system coupling described.
VA,AI Incident Management,system_integrated,high,"Aggregates data from multiple monitoring and incident-management tools and uses an LLM to correlate it, feeding recommendations to IT personnel during triage -- reads across identified operational systems."
VA,AI Microlearning (OttoLearn),workflow_embedded,medium,"Adaptive microlearning platform embedded in one identified process (Acquisition Intern OJT support), tracking mastery/usage within its own training platform only."
VA,AI Transcription and Summary in Veteran Narrative Medicine Program,workflow_embedded,medium,Transcribes and summarizes interviews for the MyLife MyStory program for clinicians reviewing the patient's chart; no explicit automated write-back to the EHR is described.
VA,AIDOC BriefCase,system_integrated,high,Explicitly reads DICOM images and prompts users to 'assess the relevant original images in the PACS' -- direct coupling to the radiology PACS.
VA,ARANZ Medical Silhouette Wound Management System,system_integrated,medium,"ML detects wound boundaries and produces charts/graphs of wound progression over time as part of the Silhouette wound management system, implying a longitudinal tracking data store."
VA,Abridge Ambient Scribe,workflow_embedded,medium,"Ambient scribe drafts clinical notes from audio for clinician review -- one documentation step, no named EHR write-back described."
VA,"Acumen Hypotension Prediction Index - EV1000 Clinical Platform, Acumen Hypotension Prediction Index - Hemosphere Advanced Monitoring Platform, Acumen Hypotension Prediction Index, Hemosphere Advanced Monitoring Platform - Pressure",system_integrated,medium,Reads live hemodynamic data continuously from the EV1000/Hemosphere monitoring platforms to predict hypotensive events during surgery -- a production sensor feed.
VA,"Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial",workflow_embedded,medium,ML-based pre-registration step aids surgical navigation planning; a single point-matching step with no described system-of-record coupling.
VA,"Analytics, Data, and Decision Support Unified Platform (ADDSUP)",system_integrated,high,Canvasses over 900K acquisition documents to produce prescriptive spend analytics and has driven $20B in realized spend-under-management -- reads live agency acquisition data at scale.
VA,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",workflow_embedded,medium,Produces automated measurements of imaged structures on the ultrasound device itself -- a single imaging step with no named downstream system.
VA,App Feedback categorization model,system_integrated,medium,Classifies app feedback and displays it in a Power BI dashboard for client monitoring -- feeds a production dashboard from processed data.
VA,App feedback model for NLP tasks,system_integrated,high,NLP pipeline reads text reviews from the OIA_MobileHealth database plus Google/Apple stores and feeds a Power BI dashboard -- explicit named data source and dashboard coupling.
VA,"Aquilion ONE (TSX-306A/3) V10.12 with Spectral Imaging System, Vitrea Software Package, VSTP-001A",workflow_embedded,medium,"CT device denoises images for review -- a single imaging step, no downstream system named."
VA,Articulate 360: AI Assistant,workflow_embedded,medium,"GenAI course-authoring assistant embedded in the eLearning production pipeline for VBA claims-processor training, generating audio/images/quizzes for that one process."
VA,Ask Sage – Generative AI Platform for VA Administrative Efficiency,standalone_chat,high,"Conversational interface for drafting, summarizing, and retrieving information for general administrative efficiency -- no described coupling to a specific process or system."
VA,Audit Service Connection Designations Associated with Prescriptions,system_integrated,medium,Model reads drug information and service-connected disability data to predict a service-connection flag on prescriptions for fraud/waste review -- draws on structured agency records.
VA,Auto Doc ID,system_integrated,high,"Standardizes and analyzes inbound images and provides document-type suggestions inside the named ImageSort application, feeding downstream OCR/classification processing."
VA,AutoContour Model RADAC V3,system_integrated,medium,Generates contours that feed directly into radiation therapy treatment planning -- output used in a production planning workflow.
VA,Automated Claims Processing,agentic_workflow,high,"Hyperscience platform autonomously extracts document data, queries other VA systems via API, uses RPA to enter data into legacy NCA systems, and creates letters/updates statuses -- a chained, largely human-independent process (about 30% of determinations issued without human intervention)."
VA,Automated Decision Support,agentic_workflow,high,"ADS explicitly 'takes action in VBMS' to update End Product status, order/draft C&P exams, and add notes -- an autonomous multi-step chain against a named system of record."
VA,Avicenna CINA,workflow_embedded,medium,"Flags suspected ICH/LVO findings for radiologist workflow triage via a preview notification only -- a single triage step, no system integration described."
VA,Avigilon Camera/Search Function - OSSO,system_integrated,medium,AI search function autonomously searches recorded video surveillance data to locate persons of interest -- reads from an identified video data store/system.
VA,Axon Body Camera and DMS - OSSO,system_integrated,high,"AI redacts and transcribes footage and improves search of the DMS, evidence locker, and (on Fleet) license-plate recognition -- explicit named systems/data stores."
VA,BTSSS 3542 Review,system_integrated,medium,Power Automate model renames scanned VA Form 3542 files and populates a dashboard for travel staff to search/sort -- feeds a live searchable dashboard.
VA,Beckman Coulter DxH 800,workflow_embedded,medium,"Lab analyzer produces automated blood-cell measurements on the device itself -- a single diagnostic step, no named downstream system."
VA,BioPlex 2200 ANA Screen with Medical Decision Support Software for Use with BioPlex 2200 Multi-Analyte Detection System,workflow_embedded,medium,Pattern-recognition algorithm suggests possible disease associations from antibody assay results -- a single lab-analysis step.
VA,"Biograph Vision, Biograph MCT Family Of PET/CTs",workflow_embedded,medium,"PET/CT device fuses and aligns images for interpretation -- a single imaging step, no downstream system named."
VA,"Brainlab Elements Image Fusion, Contouring (4.5);Image Fusion (4.5);Fibertracking (2.0);BOLD MRI Mapping (1.0);Image Fusion Angio (1.0)",system_integrated,high,Explicitly transfers DICOM data to and from PACS -- direct read/write coupling with the imaging system of record.
VA,Butterfly iQ3 Ultrasound System,workflow_embedded,medium,"Auto B-line counter is integrated into the Butterfly iQ/iQ+ app itself for one ultrasound measurement task, with no broader system named."
VA,"CARTO 3 EP Navigation System Software V8.0 (FG-5400-00, FG-5400-00U)",workflow_embedded,medium,Cardiac mapping system displays 3D electroanatomical maps during one EP procedure -- a device-level step with no external system coupling described.
VA,CHAMPVA Automation,agentic_workflow,medium,"Automates data extraction from Form 10-10d PDFs, ingests it into the CP&E system, and triggers automated VA Notify alerts to applicants -- chained autonomous steps across a named system."
VA,CITC Automated Fax Relabeling,workflow_embedded,medium,Renames inbound faxes in a local folder for CITC staff -- a bounded file-processing step with no agency system integration described.
