agency,use_case_name,verdict,confidence,reasoning
USDA,AI for Environmental Permitting Review,workflow_embedded,medium,"AI operates at specific steps (an evaluation stage and comment processing) within the environmental permitting review process, but no read/write coupling to an agency system of record is described."
USDA,AI for regional forest mapping and monitoring,workflow_embedded,medium,"Model reads Forest Service survey data and satellite imagery to produce forest-structure maps supporting NEPA planning, a single analytical flow with no described system read/write beyond producing the maps."
USDA,ARGUS AI Supply Chain Interference,workflow_embedded,medium,"Purchased ARGUS tool collects, organizes, and summarizes open-source (public) supplier information to flag supply-chain risk; despite the 'Agentic AI' label, no autonomous multi-step action is described, and per the amendment a vendor search product over public data ranks no deeper than workflow_embedded."
USDA,Alisha OCR Reader,workflow_embedded,high,"Automates extraction from one specific form (OF-286 invoices) into an excel output, a single well-defined processing step."
USDA,American Recovery Act Classification Tool,workflow_embedded,high,"Classifies contract/agreement documents into disaster-response need categories and flags low-confidence cases for human review, a single identified classification process."
USDA,Annual Soil Refresh Data Staging Server Automation,system_integrated,medium,"UiPath RPA with computer vision automatically adds new data to the named Staging Server as part of an operating data pipeline, an explicit write into an agency system."
USDA,App for predicting soil temperature during prescribed burns,workflow_embedded,medium,"Predicts soil temperature from fuel load to help managers time prescribed burns, a single decision-support step with no described system coupling."
USDA,Approximate String Matching (aka fuzzy matching) to Standardize Data,system_integrated,medium,"Fuzzy-matches and standardizes producer/commodity names directly within PPQ program data through an automated workflow, enabling near-real-time reporting from the agency's own data systems."
USDA,Automated PDF Document Processing and Information Extraction,workflow_embedded,medium,"Extracts information from PPQ PDF documents into machine-readable tables for analytics, a single document-processing flow with no further system integration described."
USDA,Automated Road Mapping,workflow_embedded,medium,"Computer vision maps roads/trails in Forest Service-managed areas to support fire response and forest management planning, a single mapping flow with no system write-back described."
USDA,Axon+ Copilot Studio Chatbot,workflow_embedded,high,"RAG chatbot answers staff questions with citations to documents housed on the Axon+ intranet, a single-corpus retrieval flow."
USDA,BirdNET to detect bird vocalizations for research and species monitoring,workflow_embedded,high,"Scans forest audio recordings to detect bird species calls for monitoring, a single identified detection process."
USDA,Bugnet,workflow_embedded,medium,"Detects and maps insect/disease tree damage from satellite imagery, a single analytical flow with no described system write-back."
USDA,Census of Agriculture Propensity Scores via Machne Learning,workflow_embedded,medium,"Predicts likelihood of Census of Agriculture completion to help data collectors prioritize outreach; a decision-support score for one process, not a described update to a system of record."
USDA,Chatbot for IT Customer Help Desk,system_integrated,high,"Chatbot answers IT questions and explicitly 'initiate[s] a support request to USDA's IT service management system' when self-service fails, an explicit write into a named agency system."
USDA,County-Level Remotely-Sensed Corn and Soybean Yield Estimation,workflow_embedded,medium,"Estimates corn/soybean yields from satellite imagery to produce county-level statistics for stakeholders, a single predictive flow with no system integration described."
USDA,Cropland Data Layer,system_integrated,medium,"Runs on the named Geo-enabled Earth Computing System (GEECS) to produce official internal crop acreage estimates and released geospatial data products, an established agency production pipeline."
USDA,DISTRIB-II: Habitat Suitability of Eastern United States Tree,workflow_embedded,medium,"Predicts tree species abundance maps to inform land managers' resource planning, a single research/planning flow with no system coupling described."
USDA,Dam Inspection Report Document Processing,workflow_embedded,medium,"Extracts structured text/checkbox data from dam inspection reports across 2,100+ dams; the described risk-prioritization system is a forward-looking benefit ('allows us to...build') rather than an operating integration."
USDA,Democratizing Data,system_integrated,high,"NLP model finds NASS/ERS data-usage mentions in research articles, and human-validated outputs are explicitly 'loaded to a dashboard,' a clear write into an operating system."
USDA,Digital Soil Mapping,workflow_embedded,medium,"Builds soil maps using various analysis tools (R, SAGA, Google Earth Engine) at local/regional/national scales, a single mapping process with no agency system read/write described."
USDA,Ecosystem Management Decision Support System (EMDS),workflow_embedded,medium,"AI-powered ArcGIS/QGIS tools generate landscape-management recommendations for stakeholders, a single decision-support flow ending in human review, not a described system write-back."
USDA,Esri ArcGIS Pro Deep Learning Modules,workflow_embedded,medium,"Object detection from aerial images standardizes GIS workflows within FS ACE, a single classification step with no described further system integration."
USDA,FSA FLP Chatbot,workflow_embedded,high,"RAG chatbot generates answers from Farm Loan Program handbooks, a single-corpus retrieval flow over agency documents."
USDA,File Rename,workflow_embedded,high,"Extracts text from a PDF to rename the file per naming convention or route it to a problem folder, a single automated file-management step."
USDA,Fire Containment Suitability (FireCON),workflow_embedded,medium,"Produces daily wildfire-containment suitability maps to inform incident command teams' planning; outputs go to human decision-makers, with no described integration into another operating system."
USDA,Fire Resilient Landscapes,workflow_embedded,medium,"Supports fuel-treatment planning and cost calculation with raster/vector outputs, a single planning-support flow."
USDA,Foodborne Illness Source Attribution,workflow_embedded,medium,"Predicts likely sources of foodborne illness with confidence scores as part of the interagency IFSAC analysis, a single analytical process feeding human policy decisions."
USDA,Forest Health Detection Monitoring,workflow_embedded,medium,"Detects tree damage from satellite light-pattern changes to support Forest Health Protection program monitoring, a single detection flow."
USDA,Forest Health Protection: Survey and mapping of forest damage from insects and diseases using machine learning,workflow_embedded,medium,"Surveys and maps forest damage risk across ~500 million acres, producing predictions used in decision-making, a single identified survey/mapping process without described system read/write."
