agency,use_case_name,original_verdict,override_verdict,reasoning
USDA,AI for Environmental Permitting Review,workflow_embedded,,"Agree workflow_embedded: AI runs at named steps (evaluation stage, comment processing) of the environmental permitting review process, outputting a Categorical Exclusion prediction; no system-of-record read/write described."
USDA,Axon+ Copilot Studio Chatbot,workflow_embedded,,"Agree workflow_embedded: RAG retrieval over the Axon+ intranet corpus with cited text answers -- rule 4's single-corpus retrieval flow, no write-back or cross-system span."
USDA,Digital Soil Mapping,workflow_embedded,,"Agree workflow_embedded: pilot builds soil-property maps with R/SAGA/GEE tooling for conservation decision-makers; a single mapping flow, no described feed into an operating agency system."
USDA,Forest Inventory and Cruising using GAIA AI,workflow_embedded,,"Agree workflow_embedded: purchased GAIA AI tool generates tree lists/growth data within the forest inventory (cruising) process; single data-generation flow, no system coupling described."
USDA,LCAT - Land Change Analysis Technique,workflow_embedded,,"Agree workflow_embedded: generates landcover maps from imagery for planning/crop reporting; single classification flow, outputs are maps for human use."
USDA,NWRC Pepin ML & AI,workflow_embedded,,Agree workflow_embedded: screens trail-camera photos and analyzes simulation outputs to inform disease management -- identified processing flows with no named system read/write.
USDA,ProcureSight,workflow_embedded,,"Agree workflow_embedded: vendor search product over ingested PUBLIC datasets (SAM.gov/USASpending) used for the market-research/responsibility-determination flow; consistent with the round amendment -- no agency-system coupling, so not system_integrated; coupled to a specific procurement process, so not standalone_chat."
USDA,Raster Tools,workflow_embedded,unclear,"Disagree: no identified process, form, or pipeline is named -- the row describes a general-purpose in-house API making ML 'available for geospatial applications' with outputs 'usually in the form of images and data tables'. workflow_embedded requires ONE identified flow; this narrative is materially as vague as 'Regression, Classification, Clustering with Hilbert Curves', which was correctly labeled unclear. Genuinely does not say how the AI connects to work."
USDA,Recreation site chatbot,unclear,,"Agree unclear: problem is 'estimating recreation use' and the only output is 'a dataset of text provided by recreation visitors'; the filing never describes what the AI does or how it connects to any workflow, despite the 'chatbot' name."
USDA,"Regression, Classification, Clustering with Hilbert Curves",unclear,,"Agree unclear: 'implementation of many machine learning techniques into applied research' with raster/vector outputs names no process, system, or coupling."
USDA,"The Big Data, Mapping, and Analytics Platform (BIGMAP) Project",workflow_embedded,,"Agree workflow_embedded (borderline): reads FIA plot data and runs on the named Esri FS GeoPlatform, but the described outputs are prediction maps 'used for visualizations, modeling, and decision-making' by humans -- no described write into an operating system or live-refresh loop, unlike the LANDFIRE/Cropland Data Layer rows whose outputs feed production pipelines."
USDA,Turbo plan,workflow_embedded,,"Agree workflow_embedded: embedded in the NEPA planning/appraisal process producing an 'optimized planning document'; ATLAS is named as host system but no read/write with it is described, so low confidence is warranted and the level stands."
USDA,XyloTron/XyloPhone Wood Identification System,workflow_embedded,,"Agree workflow_embedded: CV device predicts wood type from cross-section images within the Lacey Act/CITES compliance-support flow; single identification step, no system integration described."
