agency,use_case_name,original_verdict,override_verdict,reasoning
HHS,1CDP (SEDRIC) AIP for Advanced Foodborne Outbreak Investigation (AI Summarization and Receipt Reading),system_integrated,,Agree: Palantir AIP within SEDRIC/1CDP extracts structured data from receipts and maps to SEDRIC-defined vehicles feeding platform dashboards -- read/write into a named agency data platform.
HHS,AI Agent Orchestrator POC,agentic_workflow,,Agree: AI Agent Orchestrator's described core function is calling external data-science notebooks/tools 'in the correct sequence' to run multi-step workflows -- described tool-chaining autonomy at POC stage.
HHS,AI Language Translation Support in Smartling,standalone_chat,,"Agree: thin filing -- a translation-suggestion feature used directly within Smartling ('Suggestion' output), no described coupling to agency systems or a process."
HHS,AI for Clinical Study Risk Assessment and Inspection Preparation,workflow_embedded,,Agree: Elsa assists one review flow (clinical-study risk assessment) producing an FDA-verified summary; no system read/write described.
HHS,AI in Figma Make,standalone_chat,,"Agree: thin filing -- AI prototyping feature inside Figma Make, direct use, no process coupling."
HHS,AI in Slack,standalone_chat,,"Agree: thin filing -- AI feature inside Slack, direct use, no process coupling."
HHS,AWS Exscribo,workflow_embedded,,"Agree (marginal): a transcription tool with GenAI prompting on the transcript, staff use it directly; no described agency-system coupling, sits at the standalone/workflow boundary but the transcription function is a defensible single flow."
HHS,Acquisition support: co-drafting acquisition packages,standalone_chat,,"Agree: Copilot Chat drafting help for acquisition-package language, manually invoked per document -- standalone drafting, not an automated pipeline step."
HHS,Automated Analysis of Injury Control Research Center (ICRC) Annual Progress Reports (APRs) using Large Language Models,workflow_embedded,,Agree: LLM reviews Annual Progress Reports in one flow (extract challenges/insights) on EDAV; no system-of-record write.
HHS,Automated approaches to analyzing scientific topics,workflow_embedded,,"Agree (marginal): thin portfolio-analytics producing a 'Recommendation' for decision makers; one described analytic process, no system coupling."
HHS,Biomedical Citation Selector (BmCS),workflow_embedded,,"Agree: classifier flags citation records as biomedicine-relevant feeding human MEDLINE indexing; a single classification step, no described write to MEDLINE as a system."
HHS,CDC Chatbot - Enterprise Data Assistant,workflow_embedded,,Agree: RAG assistant answering staff questions over a document corpus with citations -- coupled to agency DATA for one flow (rule 4).
HHS,CDER Regulatory Science Research (RSR) Projects AI for Process Control in Advanced Manufacturing,workflow_embedded,,"Agree (marginal): a research model demonstrating AI setpoint tracking on a DIGITAL/simulated manufacturing line to inform future FDA review; not an FDA operational system, so workflow_embedded not system_integrated."
HHS,Center for Forecast and Analytics (CFA) Model Studio,standalone_chat,,"Agree (marginal): a Palantir-hosted model registry/experimentation sandbox users operate directly; no coupling to an operational process, lowest defensible tier."
HHS,ChatBot for Safety Reporting Portal Adverse Events and Product problems submissions,system_integrated,,Agree: DRUID AI routes users and 'uses API to submit the report to SRP without using the legacy app' -- direct API write into the Safety Reporting Portal.
HHS,CoreDF,system_integrated,workflow_embedded,"Over-call: CoreDF extracts/organizes sponsor safety findings from PDF study reports to help FDA reviewers focus on evaluation; no named destination system of record is written (system_name is the tool itself, output is just 'sponsor findings'). Same extraction-for-review shape as the workflow_embedded rows (IDX12/79); lacks the named-system repository that makes IDX205/199 system_integrated."
HHS,Data Management and Sharing Plans - Assistant Review Tool,workflow_embedded,,Agree: NLP identifies DMSP sections and pre-processes them against a checklist for the reviewer's final call -- a single review-support step.
HHS,Deep Research for Public Health,agentic_workflow,,"Agree: OpenAI Deep Research autonomously retrieves, synthesizes, and analyzes across public-health tasks compressed into 'a single automated workflow' -- described multi-step autonomy."
HHS,Determining if multiple isolates share the same antimicrobial resistant plasmids using short read whole genome sequencing data,workflow_embedded,,Agree: a probability model determines whether isolates share plasmids from WGS data to support outbreak investigation -- a single bioinformatics analysis step.
HHS,Developing an Objective and Quantitative Endpoint for Atopic Dermatitis in Pediatric and Adult Populations,workflow_embedded,,"Agree (marginal): an ML digital endpoint measuring nocturnal scratching to evaluate treatment efficacy -- a single measurement step, no system integration described."
HHS,Distiller SR: AI to screen research articles for Community Guide reviews,workflow_embedded,,Agree: ML screens research articles for relevance to Community Guide systematic reviews -- a single screening step.
HHS,Drug Shortage Predictive Model,workflow_embedded,,"Agree: a classical-ML model predicts CDER product supply events over 12 months; pilot with no named system/dashboard write, so workflow_embedded rather than system_integrated."
HHS,Enhancing influenza A risk assessment rubrics: leveraging predictive correlates and machine learning from in vivo experiments.,workflow_embedded,,"Agree: ML analysis of 25+ years of ferret data identifies predictive correlates to inform CDC's IRAT rubric -- a research analysis step, not operational integration."
HHS,Expansion of Generative AI (GenAI) Caption Generation for all Collections Videos,workflow_embedded,,Agree: generates captions for Collections videos -- a single content-generation step.
