agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
DOL,AI Headset,MSHA,pilot,Computer Vision,0,0,0,computer_vision,,MSHA AI Head Gear,ResolveSoft 1605TA-25-F-00018,a) Purchased from a vendor,No,"Inspection: An AI headset offers a hands-free, voice-controlled solution that enhances the efficiency, safety, and accuracy of MSHA inspectors using the Inspection Application System (IAS). By enabling inspectors to access inspection checklists, capture photos and videos, and input data through voice commands, the headset reduces reliance on manual data entry and handheld devices in mining environments. It also supports real-time communication with field office supervisors and data collection, streamlining the inspection process and improving documentation. When integrated with IAS or compatible platforms, an AI headset  can significantly modernize field inspections, ensuring better compliance and faster reporting.","Improve Inspection Onsite Documentation Time: The intended purpose of the AI headset is to provide a hands-free, voice-activated wearable solution that enhances the productivity, safety, and effectiveness of frontline government workers, such as MSHA inspectors. The expected benefits include significant cost savings through reduced inspection times and fewer repeat site visits, as well as improved documentation accuracy through real-time photo, video, and voice note capture. The device also enables live communication with remote experts, accelerating decision-making and reducing downtime.","Outputs: For MSHA inspectors using the Inspection Application System (IAS), the AI system outputs of the AI headset are designed to streamline field operations, enhance safety, and improve data accuracy. These outputs are delivered through a combination of visual, audio, and data-driven interfaces that support real-time decision-making and documentation. The primary output is a high-resolution micro-display that appears in the inspector’s line of sight, showing inspection forms and data entry screens, mine data, safety protocols, or previous violation histories pulled from IAS or the Mine Data Retrieval System (MDRS)"
DOL,Audio Transcription,OWCP||VETS||WHD,deployed,Generative AI,0,0,0,general_llm,,Azure,Azure PIID: NNG15SD60B,Developed with contracting resources.,No,"The AI is intended to ensure accurate records of voicemails for tracking and follow-up purposes on claims.  The transcription service allows more time for the claims examiner to focus on more critical tasks such as decisions on claims as opposed to spending time documenting the call themselves.  Having more time to focus on critical tasks, in turn, enables higher levels of customer service.",Transcription of speech to text for records keeping using natural language processing models.,Text transcription
DOL,Automatic Document Processing,OWCP,deployed,Generative AI,0,0,0,general_llm,,Azure,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",Developed with both contracting and in-house resources.,No,"The AI is intended to allow the claims examiner more time to focus on more critical adjudication tasks.  The CM-929 and CM-908 forms amount to tens of thousands of incoming correspondence on an annual basis.  Claims examiners were cumulatively spending an excess amount of time each year reviewing the forms only for indications of a change in circumstances (based on a check-the-box indicator) or similar notice.  This would then be followed by the entry of a code signifying receipt in the Automated Support Package.  Only a very small number of forms received each year require a modification of benefits.  AI is easily able to handle this task, and ensures that forms indicating a change in circumstances are reviewed by a human, while the remainder are processed by the AI, reducing wait times in other areas of the adjudication process for claimants.",Automatic processing of continuation of benefits form to extract pre-defined selection boxes. AI tool will extract data from the forms.,AI tool will extract data from the forms for further processing
DOL,CE Interview Imputations,BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,Imputes missing expenditure values in the Consumer Expenditure Interview Survey when respondents answer “don’t know” or refuse to provide an expense amount.,Uses more sophisticated statistical techniques to estimate missing values,These output numbers are rounded up to the nearest whole value or rounded to 0 if negative. The output is only used to complete the Consumer Price Index.
DOL,CE Interview Item Code Estimation,BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,Recommends expense classification categories for Consumer Expenditure Interview Survey expense responses.,Improves data quality by identifying potentially incorrect misclassifications from data collection for human review,Expense Classification Category
DOL,CFOI Record Matching,BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,"The Census of Fatal Occupational Injuries (CFOI) collects and publishes a complete count of work-related fatal injuries and descriptive data on their circumstances. The CFOI Record Matching programs matches records from various sources, including Occupational Safety and Health Administration (OSHA) Information System (OIS) files, news articles, and Quarterly Census of Employment and Wages (QCEW), to identify missing or inconsistent data in CFOI.","Efficiency and data quality 
improvements",Similarity score between records
DOL,CPS OTC Prediction,BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,"The BLS productivity office publishes measures of hours worked by major sector and industry. As part of the calculation for this measure, BLS uses Current Employment Statistics (CES) data on hours paid is used to estimate hours for payroll workers. Additional adjustments are made to this measure, such as removing paid time off (PTO), adding off-the-clock (OTC) hours, and adding in hours worked by self-employed and unpaid family workers. BLS uses the Current Population Survey (CPS) dataset to identify the amount of hours that are worked off-the-clock (OTC) by workers. There are some workers in the CPS dataset that do not report whether their time off was paid, or whether they get paid hourly or not. This data needs to be imputed to calculate the ratio of total hours worked to paid hours worked. A random forest model is used to predict the responses for workers that did not report this information by training it on characteristics (such as industry, occupation, education level, age, etc.) of respondents that have reported that information.","Efficiency and data quality 
improvements","worker's time off was paid, or whether they get paid hourly or not"
DOL,"Comment Actionability
Likelihood Score",BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,"Many comments submitted through the BLS.gov customer satisfaction survey are not actionable (i.e., do not provide an issue or explanation of what could improve the user experience). Non-actionable submissions increase the burden on those tasked with reviewing comments.",The tool reduces the burden on those tasked with reviewing these comments by providing them with a means to sort them by how actionable they are likely to be.,The output is a logistic regression model's predicted probability that a comment would be labeled as actionable feedback for the agency.
DOL,"Computer-Assisted Coding: 
SOII Autocoder",BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,"The Survey of Occupational Injuries and Illnesses (SOII) collects hundreds of thousands of narratives describing cases of work-related injury and illness annually. Using narratives and other relevant information, SOII Autocoder automatically assigns classifications for SOII elements, which include worker occupation, nature of the injury, part of body affected, event that resulted in the injury, source and secondary source (if it exists) that caused the injury. This process used to be performed entirely by human staff.","Efficiency and data quality 
improvements",SOC and OIICS codes
DOL,DAISI ( DOL AI Search Insights),OCIO,deployed,Generative AI,1,1,0,general_llm,,DAISI,N/A,Developed In house,Yes,"It's an AI-powered search assistant that retrieves and summarizes content from internal DOL sources to assist with information discovery. DAISI generates responses based on a database of facts, with all data coming from intranet content.",Faster retrieval of information,Text
DOL,ETA Grants Monitoring Tool through Doc Explorer,ETA,deployed,Generative AI,1,0,0,general_llm,,Azure Open AI and AWS,N/A,c) Developed with both contracting and in-house resources,Yes,"Automates review of grant documents to detect anomalies, delays, and compliance issues.
Improves consistency and accuracy in monitoring across programs.","Saves time during site visit. Enhances monitoring efficiency and ensures accurate, timely use of Grants",Summaries and Question answer
DOL,"Expenditure Classification 
Autocoder",BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",1605TA-21-F-00064,c) Developed with both contracting and in-house resources,Yes,Assigns expense classification categories to reported expenses from Consumer Expenditure Diary Survey respondents.,Efficiency of expenditure classification efforts,BLS-internal item codes (expenditure classification categories)
DOL,Generative AI AssistantI  ( AI Center),OCIO,deployed,Generative AI,1,1,0,general_llm,Custom In-House AI,Azure Open AI and AWS,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",Developed with both contracting and in-house resources,Yes,"Private and secure in-house solution to evaluate business use cases that can solve problems using Generative AI models and semantic search. Example use cases include text summarization, text analysis, and document comparisons.","Private, secure in-house generative AI with semantic search accelerates text summarization, analysis, and document comparison to improve efficiency and decision support.",The AI system provides recommendations.
DOL,Hololens,OSHA,deployed,Computer Vision,0,0,0,computer_vision,,Hololens,BGC/CLIRIO,a) Purchased from a vendor,No,AI used to train Inspectors to visually inspect  unsafe areas from a safe location.,Vastly more cost effective in using the AI tool. Reduction of FTE costs from months to hours.,Recommendation/Assessment
DOL,Note Taking Bot,OCIO,deployed,Generative AI,1,0,0,general_llm,,AUNTEE BOT,"Synergy PIID: 1605DC19A0004
Azure PIID: NNG15SD60B",Developed with both contracting and in-house resources,Yes,The bot will take the transcript and summarize the meeting notes,"An AI bot that converts meeting transcripts into concise, searchable notes improves productivity and information sharing by reducing manual effort.",The output will be a transcript of the meeting and from the transcript summary and action items
DOL,OEWS Occupation Autocoder,BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,BLS Internal system,N/A,b) Developed in-house,Yes,The input is state-submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human coders. Codes above a certain threshold are appended to the submitted response file and sent back to states to assist them with their SOC code assignment.,Improving data accuracy and saving time for SOC coders,6-digit Standard Occupational Classification (SOC) codes
DOL,PII Redaction,OSHA,deployed,Natural Language Processing,0,0,0,nlp_specific,,PII Redaction,Amazon,c) Developed with both contracting and in-house resources,No,Using Amazon Web Services Personal Identifying Information scrubber for ITA text fields and Named Entity Recognition to remove additional names from the text fields.,Vastly more cost effective in using the AI tool. Reduction of FTE costs from months to hours.,Detection/Extraction
DOL,PPI Price Tolerance Prediction,BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,Recommends price tolerance boundaries for industries based on historical and seasonal trends.,Improve statistical quality of price outlier detection.,Predicted price tolerance boundaries.
DOL,QCEW NAICS Autocoder,BLS,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,The primary data source for the Quarterly Census of Employment and Wages (QCEW) is administrative data from state unemployment insurance programs. Some of these records are submitted without a valid North American Industry Classification System (NAICS) code.,The tool is intended to reduce the burden on human reviewers of these uncoded records by recommending the most likely NAICS codes. It also reduces the burden on the program office by reducing printing and mailing costs of soliciting unclassified data.,The model is a random forest classifier trained on millions of QCEW records. It outputs the NAICS codes with the highest predicted probability given a business name.
DOL,Sample Refinement: Frame API,BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal
System",N/A,b) Developed in-house,Yes,"BLS establishment-based surveys, such as the Survey of Occupational Injuries and Illnesses (SOII), the National Compensation Survey (NCS), and the Occupational Requirements Survey (ORS), use the Longitudinal Database (LDB) as the frame for their survey samples. For each of these programs, there is a significant time-lag between when the sample is drawn for a program and when data collection begins. A critical and time-consuming part of data collection is sample refinement: checking the latest Quarterly Census of Employment and Wages (QCEW) and LDB data to adjust for any changes to the sampled establishment during that time-lag. The QCEW/LDB Frame API allows fast retrieval of the latest QCEW/LDB data for a nationwide sample so that users can perform sample refinement more efficiently. The SOII program uses the Frame API to perform over 20 sample refinement comparison checks, which outputs a report for the data collectors.

The Frame API uses TF-IDF vectors and cosine similarity to compare company names, mailing addresses, and unit descriptions between the survey sample and the latest QCEW/LDB data to determine what components may have changed. The Frame API also has the flexibility for the users to match records using other combinations of variables.","Efficiency and data quality 
improvements",Similarity score between records
DOL,Scanner Data Product Classification,BLS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,"BLS Internal 
system",N/A,b) Developed in-house,Yes,"BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS has begun to use machine learning to label data with ELI codes. The machine learning model takes as input word frequency counts from item descriptions. Logistic regression is then used to estimate the probability of each item being classified in each ELI category based on the word frequency categorizations. The highest probability category is selected for inclusion in the data. Any selected classifications that do not meet a certain probability threshold are flagged for human review. Benefits: real-time turnaround, productivity improvements, cost savings.",Efficiency of item classification efforts,Entry Level Item Codes
DOL,Worker PLUS Microsimulation Program,CEO - WB,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,N/A,DOLQ129633247,Developed with both contracting and in-house resources,Yes,"The Worker PLUS model was developed as an evolutionary iteration of the Paid Family and Medical Leave 
Simulator Model developed by Albelda and Clayton-Matthews (the ACM model)","Worker Paid Leave Usage Simulation (Worker PLUS) is an open-source simulation tool that can be used by researchers and federal, state, and local policy makers to estimate the effects of various worker leave scenarios and policy options on worker leave-taking behavior, and to estimate the benefits paid as well as costs of administering any given program.​","The model simulates specific leave-taking behavior and outcomes (including number of leaves, leave lengths, benefit levels, and benefit eligibility) with individual workers in a state using data from the five-year American Community Survey (ACS) Public Use Microdata Sample (PUMS)"
DOL,Workforce Recruitment Program (WRP) Website Chatbot Assistant,ODEP,deployed,Generative AI,1,0,0,general_llm,,AWS,"AWS PIID: NNG15SD22B
Synergy PIID: 1605DC19A0004",Developed with both contracting and in-house resources.,Yes,"This use case cuts down on the number of emails that ODEP’s WRP team needs to respond to in their program inbox, wrp@dol.gov. It helps address routine questions with straightforward answers without requiring WRP staff involvement. It also provides much faster responses to WRP applicants and stakeholders, who would otherwise need to wait 2-3 business days for WRP staff to write a response to their email.","The chatbot helps the end user with basic information about the Workforce Recruitment Program and information on who to contact. This chatbot is managed by DOL staff. ODEP manages the script, while OCIO manages the technical aspects and updates to Amazon Lex.",Generate content from the WRP program
FRB,Anomaly Detection,Division of Supervision and Regulation,deployed,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Identifying irregular patterns in firm-submitted information based on historical submission patterns,Improve the iterative data quality process,Suggested messages regarding data quality of subsets of firm submitted data based on similar historical messages
FRB,Bank Examiner Search Engine,Division of Supervision and Regulation,deployed,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Saving examiners time by providing requested information needed during bank examinations,Provide efficiencies for bank examiners during examinations by helping to provide information faster and at greater scale,Retrieval of requested documents in original unaltered form
FRB,Body Worn Cameras Data Management System,Office of the Inspector General,pilot,Generative AI,0,1,0,general_llm,,Body Worn Camera Data Management System,Third Party Vendor,Purchased from a vendor,No,Body Worn Cameras Data Management – Ensure proper handling of information in body camera footage while making content searchable,"Audio recordings may be transcribed to text and/or redacted. Transcripts are
then labeled “unverified” until an OIG designated member reviews, edits and approves the final transcript.

Automatically detects and redacts screens (computer screens, digital
signs), faces and license plates captured. Prior to redacting any evidence, a special agent must first approve the redactions before sharing any evidence.",Text versions of spoken word
FRB,Comment Review System,Division of Information Technology,deployed,Natural Language Processing,0,0,0,nlp_specific,,Comment Review System,,Developed in-house,Yes,"Manage, analyze, and categorize large volumes of public comments","The Comment Review System (CRS) is a system used by the Board of Governors of the Federal Reserve System (“Board”) to electronically process and manage comments from the public on regulatory rulemakings, information collections, and other proposals (collectively, “proposals”). The Board’s processing of comments may use artificial intelligence (AI) to provide more efficient processing of public comments (e.g., text matching, entity identification, and text similarity matching).​","To assist the analyst in reviewing each comment, CRS uses traditional machine learning natural language processing (NLP) to provide text summarization, text matching with lists of topics, entity identification, and text similarity matching. In addition, CRS identifies duplicative or near-duplicative comment letters, provides full text search (including metadata properties), and provides the optionality of providing notes or labelling comments based on various metadata attributes. All public comments are reviewed in their entirety, and summaries are used to assist with these reviews."
FRB,Commercial Real Estate Index,Division of Supervision and Regulation,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Synthesize commercial real estate data points into a comprehensive market index for improved market monitoring,Identify principal component using various data points to create a market index for commercial real estate,"A principal component, which then gets used as the index"
FRB,Consumer Complaints Explorer,Division of Consumer and Community Affairs,deployed,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Categorize large volumes of consumer complaints into topics to facilitate appropriate analysis and response,Improve the classification of consumer complaints into topics using topic modeling,"Gamma value, topic number, and top five terms for the topic number for each narrative"
FRB,Decision Tree for Deposits Data,Division of Supervision and Regulation,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Detect outliers in current reporting data to enhance overall data quality and reliability,Improved process efficiency and data quality.,Predetermined variables are calculated and then filtered to identify potential outliers in the current reporting period data
FRB,Document Summarization Statistics,Division of Supervision and Regulation,deployed,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Extract meaningful metrics and term frequencies from lengthy documents to identify trends and common issues,Provide statistics about bank review letters based on the length of the letters and the frequency of common financial terms,Statistics on letters contained in a PDF
FRB,Economic Trend Modeling,Division of Monetary Affairs,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Enhance economic forecasting accuracy beyond traditional statistical models to better predict economic events,Additional data beyond traditional statistical models,Multiple methods calculate the probability of a economic event in the next twelve months between 0 and 1 and are aggregated
FRB,Financial News Processing,Division of Supervision and Regulation,pilot,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,"Transform large volumes of unstructured financial news into structured, actionable insights",Assist with financial news processing,Interactive dashboards
FRB,Manufacturer Sentiment Analysis,Division of Research and Statistics,deployed,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Convert qualitative survey responses into quantitative insights on industrial production forecasts,To quantify survey responses related to forecasts of industrial production,Time series measuring the sentiment of manufacturing via survey respondents
FRB,Market Fund Portfolio,Division of Research and Statistics,deployed,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Accurately identify security issuers in money market fund portfolios,To assist with issuer classification of money market funds,A list of likely issuers of a particular security
FRB,Novel Activities Call Report Classification,Division of Supervision and Regulation,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Identify emerging or non-traditional banking activities,The random forest model would parse out what reported categories most significantly predict inclusion on novel banking activity lists,The model identifies call report line items that are correlated with the banks on internal supervisory lists and classifies banks based on their statistical similarity to banks engaged in novel activities
FRB,PDF Optical Character Recognition (Text),Division of Information Technology,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Automate extraction of structured column data from unstructured PDF reports to reduce manual processing time and errors,The intended purpose is to extract and to decide the correct column name extracted from a report in PDF format,The list of the appropriate column names in text format
FRB,Proposals and Public Comments,Office of the Secretary,deployed,Natural Language Processing,0,0,0,nlp_specific,,Proposals and Public Comments,,Developed in-house,Yes,Efficiently process large volumes of public regulatory comments while ensuring proper handling of sensitive information,"The Board of Governors of the Federal Reserve System (Board) is developing the Proposals and Public Comments (PPC) system to electronically process and manage comments from the public on regulatory rulemakings, information collections, and other proposals (collectively, proposals) and to post those comments to the Board’s public website. The first release of PPC is expected in mid-November 2024. The Board’s processing of comments may use artificial intelligence (AI) to provide more efficient processing of public comments (e.g., PII redaction recommendations, spam detection).","The Board’s processing of comments may use artificial intelligence (AI) to provide more efficient processing of public comments (e.g., PII redaction recommendations, sentiment analysis, text matching, entity identification, and text similarity matching). A human verifies the system recommendations."
FRB,Regulatory Data Analysis,Division of Supervision and Regulation,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Identify potential reporting anomalies by comparing current submitted values against expected ranges based on historical patterns,Improved data quality for stakeholders,Values for various predicted percentile levels for a given reporter are provided to an analyst to compare to current reported values
FRB,Risk Rating Model,Division of Supervision and Regulation,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Improve risk models optimize resource allocation,"Identify a set of factors that may be helpful in predicting  the likelihood that a bank will experience an adverse outcome in the future, and to tier banks into High-, Moderate- and Low-risk tiers for review",Statistical methods are used in the variable selection process for a risk model
FRB,Risk Rating Model – Community Banks,Division of Supervision and Regulation,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Develop more accurate classification framework for community banks to appropriately tailor strategies,"To improve upon the classification framework used to tier community banks according to risk, and to tailor examination intensity",Statistical methods are used in the variable selection process for a model
FRB,Sentiment Analysis of Earnings Transcripts,Division of Monetary Affairs,deployed,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Measure and classify sentiment in bank earnings calls to identify emerging trends,Additional insight into sentiments related to topics in bank earnings calls,"The probability that text inputs are positive, negative, or neutral and classifies them as such"
FRB,Supply Chain Estimations,Division of Research and Statistics,deployed,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Identify and measure supply chain constraints that could impact broader economic performance,To estimate supply chain bottlenecks,Time series measuring supply chain bottleneck sentiment data
FRB,Trading Desk Grouping,Division of Supervision and Regulation,pilot,Natural Language Processing,0,0,0,nlp_specific,,General Support System,,Developed in-house,Yes,Categorize wide-ranging trading desk operations by asset class,Grouping Trading Desk Descriptions,An asset class type for each desk
FRB,Variable Optimization,Division of Supervision and Regulation,pilot,Classical/Predictive Machine Learning,0,0,0,classical_ml,,General Support System,,Developed in-house,Yes,Determine optimal lag structures to enhance accuracy for forecasting call report metrics,Iterate through alternative lag structures to identify the optimal one for forecasting call report metrics,A forecast for select call report metrics
FRB,Virtual Benefits Assistant,Division of Management,deployed,Generative AI,1,0,0,general_llm,,Benefits Manager,Benefits Manager,Purchased from a vendor,No,Virtual Assistant is designed to answer questions on how to navigate the site and answer general questions,Get general answers on benefits and links to reference materials for additional information or benefits contact information,The system provides general responses and employees have the option to speak to a representative if they have more detailed questions.
FTC,Analytic Sandbox,BCP/DCRO,deployed,Other,0,0,0,classical_ml,,Sentinel Network Services,Leidos,c) Developed with both contracting and in-house resources,No,"Provides a managed data analytics platform to help FTC staff perform data analytics tasks supporting various business purposes, by utilizing Python and other tools, with ML (Machine Learning) capabilties and reporting capabilities to create interactive visualization and reports.",Enable FTC Data Analysts to perform data analysis and respond to inquiries from various agency departments.,Providing a data analytics platform for FTC Data Analytics to perform data analysis and respond to questions from various departments within the agency.
FTC,Automatic PSC Classification,BCP/DCRO,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,Sentinel Network Services,Leidos,c) Developed with both contracting and in-house resources,Yes,FTC receives uncategorized complaints from multiple channels and contents of comments varies widely by source.,"Enhances data quality by automatically classifying consumer complaints by PSC (Product and Sevice Code), minimizing the need for manual effort.",Categorized Reportfraud.ftc.gov complaints data with improved data quality
FTC,Azure Databricks Assistance,BE/BC/OCIO,deployed,Generative AI,1,1,0,general_llm,Databricks,Sentinel Network Services,Microsoft,c) Developed with both contracting and in-house resources,No,Address the challenges of manual data analysis and coding inefficiencies,"Enhance data analysts productivity and support accurate, efficient decision-making.","Provide a data analytics platform that enhance data analysts productivity and support accurate, efficient decision-making."
FTC,CRC Call Summarization,BCP/DCRO,deployed,Generative AI,1,0,0,general_llm,,Sentinel Network Services,Microsoft,c) Developed with both contracting and in-house resources,Yes,The process of summarizing consumer complaints relies heavily on the subjective judgment of CSRs (Consumer Service Representative) to identify and document the key points of each case.,Improve data quality and customer experience,Assist with summarizing call data while ensuring PII redaction for safeguarding sensitive information.
