agency,use_case_name,original_verdict,override_verdict,reasoning
DHS,AI Security and Monitoring,agentic_workflow,system_integrated,"Overridden: the Lasso gateway is an inline production security control -- it reads live AI-usage traffic and enforces per-event blocking/masking decisions. 'Semi-autonomously enforces guardrails' is automated single-step enforcement, not described multi-step planning/chaining of actions (rule 5: agentic requires described autonomy); consistent with UEBA in this batch, which auto-creates SOC tickets and is system_integrated."
DHS,Adaptive Risk Model for Inspected Small Passenger Vessels,workflow_embedded,,"Agree (low-conf re-review): logistic-regression risk scores inform inspector allocation for one process, but no named system-of-record or production pipeline coupling is described, so rule 2's system_integrated examples do not apply."
DHS,Agriculture Commodity Model (AGC),system_integrated,,Agree: model runs inside the named Automated Targeting System scoring live inbound cargo -- operational system coupling.
DHS,Babel,workflow_embedded,,"Agree: Babel surfaces OSINT matches at one step of the analyst vetting/research flow; analysts manually carry results into government systems, so no system read/write is described."
DHS,Cargo Security Assessment Model,system_integrated,,Agree: rule hits returned inside the named ATS results window for operational review -- system_integrated.
DHS,"Cybersecurity Threat Management, Detection, and Response",system_integrated,,"Agree: ML tools continuously monitor live ICE security data across production tooling (Crowdstrike, Splunk); the LLM piece is future-tense and correctly not counted."
DHS,Entity Resolution,workflow_embedded,,"Agree (low-conf re-review): Altana analytics platform used for one identified flow (forced-labor detection in trade data); narrative describes no agency system read/write, so workflow_embedded is the deepest supported level."
DHS,Executive Summary GPT,standalone_chat,,Agree: user-driven upload-and-summarize via Azure OpenAI with no coupling to a specific process or system -- standalone_chat.
DHS,Hazard Mitigation Assistance Chatbot,standalone_chat,,"Agree: pilot chatbot answering HMA questions via Azure OpenAI; no retrieval/data coupling is actually described, so standalone_chat over workflow_embedded is right."
DHS,Large Language Model (LLM) Guided Data Dictionary Generation,workflow_embedded,,"Agree: RAG over intake-form metadata and an acronym key generating definitions for the FEMADex onboarding flow, no write-back described -- rule 4 workflow_embedded."
DHS,OCFO Code Assist GPT,standalone_chat,,"Agree: session-based code-assist chat, nothing stored, no system coupling -- Copilot-style standalone_chat per rule 3."
DHS,Position Description Generation and Evaluation,workflow_embedded,,"Agree: ClassifAI is built into the single PD-creation/classification process producing drafts and recommendations, no HR system write-back described."
DHS,Text Analytics for Survey Responses (TASR),workflow_embedded,,"Agree: recurring topic/sentiment analysis of Pulse Survey text for leadership -- one analysis flow, no live system integration described."
DHS,User Entity and Behavior Analytics (UEBA) for Security Operations (SecOps) Anomaly Identification,system_integrated,,"Agree: ingests live USCIS logs in the named ESS/Gurucul platform and auto-creates SOC cases; automated ticket creation is single-step coupling, correctly system_integrated rather than agentic."
