agency,use_case_name,original_verdict,override_verdict,reasoning
SEC,Legal Research (Lexis+),standalone_chat,,Vendor legal-research tool (Lexis+) used directly by staff for search/extraction; no coupling to agency systems or a specific process described. Agree standalone_chat.
SEC,Using AI Large Language Model chat for general tasks/questions,standalone_chat,,Internal general-purpose LLM chat; outputs are direct chat responses to individual user requests with no process or system coupling. Agree standalone_chat.
GSA,Elastic Machine Learning Threat Detection (Phase 2),system_integrated,,Deployed classical-ML security pipeline aggregating Phase-1 model outputs and live user-behavior/machine-communication telemetry to rank threats and feed escalation to threat-hunting/IR teams. Agree system_integrated per rule 2.
GSA,GovCXAnalyzer,workflow_embedded,,"Single defined NLP analytic flow over agency customer-feedback data (themes/sentiment/pain points); no system-of-record read/write described that would support system_integrated, and the flow is stated so unclear does not apply. Agree workflow_embedded."
GSA,ServiceNow Virtual Agent (Curie),workflow_embedded,,ServiceNow Now Assist virtual agent retrieving IT-procedure answers within the GSA IT-support flow; knowledge retrieval over agency data for one process with no described ticket write-back. Agree workflow_embedded per rule 4.
GSA,Strategic Atlas,unclear,,Narrative states only the problem (tracking strategy execution across agency partners); benefits/outputs blank and no described connection to any system or process. Agree unclear.
GSA,Tier 1 Use Cases,unclear,standalone_chat,"The narrative DOES say how the AI connects to work: staff directly exploring and evaluating AI tools on low-stakes tasks with non-sensitive information, with no coupling to agency systems or any specific process — that is the standalone_chat definition (direct tool use, no described coupling), not a genuinely silent filing. unclear is over-use here."
EPA,Microsoft Power Automate (custom document processing model),workflow_embedded,,Single automated Power Automate extraction pipeline turning utility bills into a readable format; no described feed into a production system of record. Agree workflow_embedded.
OPM,USA Class,workflow_embedded,,"Thin narrative but the flow is identified: a classification tool built into the position-description/classification HR process — one identified process, no deeper coupling described. Agree workflow_embedded."
OSHRC,Westlaw Edge,standalone_chat,,"Vendor legal-research tool (Westlaw Edge) used directly by staff; outputs (case-risk flags, predictive search, document analysis) are consumed by the researcher, no agency system coupling described. Agree standalone_chat."
