agency,use_case_name,original_verdict,override_verdict,reasoning
State,AI Input in Translation,workflow_embedded,,"Agree. Deployed MT step inside the Trados translation pipeline with human post-edit (which does not reduce depth); one identified flow, no system-of-record read/write described."
State,Automatic Detection of Authentic Material,workflow_embedded,,Agree. Pilot NLP identifying authentic foreign-language materials as one step feeding curriculum/test development; no named system or deeper coupling described.
State,Evaluating Customer Feedback and Sentiments with AI,workflow_embedded,,"Agree. NLP/LLM categorizes and summarizes agency customer-feedback text (system PA) for a single analysis flow; coupled to agency data for one flow, no write-back described."
State,Office of the Historian (OH) Historical Analysis for Negotiations,workflow_embedded,,"Agree. One defined output (1-page historical overviews) for one process (negotiation prep); thin narrative but the operating flow is described, so workflow_embedded over unclear is fair."
State,PFCS Proving Ground,unclear,,Agree. Legitimate unclear: an experimentation platform for building proofs of concept; the narrative never says what AI is actually operating or how it connects to agency work.
State,Utility Invoices Data Extraction,system_integrated,,Agree. Deployed classical ML whose extracted fields are used to issue utility payments and build monthly consumption reports - outputs feeding a production payment/reporting function per rule 2.
FDIC,CFOO Travel Chatbot,workflow_embedded,,"Agree. RASA chatbot doing RAG over the internal FDIC website/documents to answer travel questions - rule-4 agency-corpus Q&A, exactly workflow_embedded."
FDIC,OIG computer forensics investigation tools.,workflow_embedded,,"Agree. Named forensic tools operating within one identified process (criminal investigations); accessing seized devices is not coupling to agency systems of record, so not system_integrated."
FDIC,Social Listening,workflow_embedded,,"Agree. Meltwater is a dedicated media-monitoring flow (policy issues, liquidity risks) over external social/news data with no write-back; a specific process, so above standalone_chat."
FHFA,Virtual Acquisition Office (VAO) Ally,workflow_embedded,standalone_chat,"Override. VAO Ally parses the vendor subscription's own resource library, not agency data, and staff use it for ad-hoc Q&A; rule 4 elevates Q&A only for agency-corpus coupling and rule 3 says named tool != depth, so this is direct tool use."
FHFA,Workflow automation and predictive analytics using ServiceNow,system_integrated,,"Agree. Generic filing, but Now Assist operates inside the named operational ServiceNow ITSM system, automating its workflows and running predictive analytics on live ticket data; low confidence appropriately flagged."
NSF,AI voice over,standalone_chat,,Agree. Staff directly generate placeholder voice-over with WellSaid/ElevenLabs - content-drafting tool use with no described coupling to systems or a wired-in pipeline.
NSF,M365 AI Builder pre-built GPT for Summarization,workflow_embedded,,"Agree. AI Builder summarization ""supports"" Planner-task and report creation scoped to one individual M365 account; the write is not clearly attributed to the AI, so workflow_embedded is the right conservative rung."
