agency,use_case_name,original_verdict,override_verdict,reasoning
VA,"Acumen Hypotension Prediction Index - EV1000 Clinical Platform, Acumen Hypotension Prediction Index - Hemosphere Advanced Monitoring Platform, Acumen Hypotension Prediction Index, Hemosphere Advanced Monitoring Platform - Pressure",system_integrated,,"Agree (decile sample): continuous prediction on the live EV1000/Hemosphere hemodynamic feed is classical ML on an operational sensor feed (rule 2), running unattended alongside care -- unlike the batch's per-exam device aids."
VA,Auto Doc ID,system_integrated,,"Agree (decile sample): converts inbound images and surfaces doc-type suggestions inside the named ImageSort application, feeding the downstream OCR/classification pipeline -- production ETL coupling."
VA,Automated Claims Processing,agentic_workflow,,"Agree (agentic re-review): the chain is described explicitly -- extracts document data, queries other VA systems via API, RPA-enters data into the named Eligibility Office Automation System and Web PMC, updates statuses, and issues letters, with ~30% of determinations completed with no human intervention. Meets rule 5's executes-actions/chains-tools/updates-records test."
VA,Automated Decision Support,agentic_workflow,,"Agree (agentic re-review): ADS 'takes action in VBMS' to update End Product status, order or draft C&P exams, and add notes after retrieving evidence from VistA/EHR sources -- described multi-step action-taking in a system of record; human review of final decisions does not reduce depth (rule 6)."
VA,Butterfly iQ3 Ultrasound System,workflow_embedded,,"Agree (decile sample): Auto B-line counter assists one measurement task inside the device's own app during a clinician-driven exam -- per-exam device aid, no external system coupling described."
VA,CHAMPVA Automation,agentic_workflow,system_integrated,"Overridden (agentic re-review): this is a linear extract-and-ingest pipeline -- the AI extracts Form 10-10d data into text files that the named CP&E system ingests, plus automated VA Notify status alerts; staff still make the eligibility determinations ('frees up staff to focus on eligibility determinations'). That is ETL coupling to a named system (system_integrated), not the described multi-step action-taking rule 5 requires -- contrast ACP and MAS in this batch, which themselves establish EPs, order exams, and update records."
VA,CarestreamCS 9600,workflow_embedded,,Agree (decile sample): alignment recommendations during dental X-ray acquisition -- a single device-level step of one exam flow.
VA,Customer Sentiment,workflow_embedded,,Agree (decile sample): sentiment-scores customer comments 0-1 to flag service drops -- one scoring flow; no read/write against a named agency system described.
VA,"FastStroke, CT Perfusion 4D",workflow_embedded,,"Agree (decile sample): per-exam CT perfusion parameter maps to aid stroke/tumor assessment -- clinician-driven single-exam analysis, no system coupling described."
VA,Hospital Acquired Infections,system_integrated,,Agree (decile sample): pipeline reads structured and unstructured clinical records (agency data stores) to flag central-line infections and feeds PowerBI reporting -- read-side coupling to systems of record supports system_integrated despite partly future-tense framing (stage deployed; human grading of identified patients described as current).
VA,Lung Cancer Prediction Model,unclear,,"Agree (low-conf + unclear re-review): the narrative describes a DVAMC validation study -- Sybil scores LDCTs and its predictions are analyzed in Excel/SPSS for ROC validation; clinical-workflow use is future-tense ('when fully implemented'), so per rule 1 no operating coupling is described. unclear is the defensible current-state label."
VA,Mail Automation Services,agentic_workflow,,"Agree (agentic re-review): MAS itself establishes VBMS End Products, triggers correspondence, and creates/adjusts VBMS notes, tracked items and flashes across ~40k packets/day (2M+ actions in 2024) -- chained autonomous actions updating a system of record. Note the labeler's reasoning misattributes the platform to Hyperscience (the narrative says ITTT-logic service under VBAAP), but the verdict stands on the described autonomy."
VA,National Training Team | Schools — FAQ Gen AI Dashboard,system_integrated,workflow_embedded,"Overridden: triage of incoming office-hours questions with suggested answers drawn from prior FAQ documentation is the ladder's canonical workflow_embedded case ('triage of incoming X'); the Power BI report is the output artifact of that single flow, not a dashboard refreshed from live agency data stores, and no system-of-record read/write is described -- contrast the HAI row, whose read side is clinical records."
VA,Pension Optimization Initiative (POI),agentic_workflow,,"Agree (agentic re-review): outputs describe the automation itself completing chained claim actions -- updating Veteran/Beneficiary files, stopping/starting benefit awards, and issuing notification letters -- at deployed stage. Weakest of the batch's agentic set (procurement-flavored problem statement) but the described operating behavior meets rule 5's test."
VA,Persyst 14 EEG Review and Analysis Software,workflow_embedded,system_integrated,"Overridden (decile sample): Persyst runs real-time seizure detection 'during acquisition' on live scalp-EEG feeds with automated on-screen and email alerting -- ML on an operational sensor feed (rule 2), unattended continuous monitoring like the Acumen HPI and Zio rows this batch itself labeled system_integrated; not a per-exam clinician aid."
VA,Rapid AI,workflow_embedded,,"Agree (decile sample): as filed, Rapid is described only as per-exam CT/MRI analysis aiding physician diagnosis -- no PACS/EHR coupling or auto-notification is described, and depth follows the described coupling, not the product's real-world capabilities (rule 3)."
VA,Siemens Sequoia Crown,workflow_embedded,,"Agree (decile sample): automated measurements within one ultrasound exam -- device-level step, no system coupling described."
VA,TrueFidelity CT Deep Learning Image Reconstruction,workflow_embedded,,Agree (decile sample): deep-learning reconstruction is a step inside the CT device's own image-formation pipeline for one exam -- no coupling beyond the device described.
VA,VA FSC AI ChatHelper,workflow_embedded,,"Agree (decile sample): RAG-style retrieval over the agency knowledge base and historical case notes to answer CSR questions is rule 4's workflow_embedded case -- coupled to agency data for one help-desk flow, no write-back described."
VA,Vereos PET/CT,workflow_embedded,,"Agree (decile sample): per-exam PET/CT quantification and fused-image review tools -- clinician-driven single-exam analysis, no system coupling described."
VA,Zio ECG Utilization Service,system_integrated,,"Agree (decile sample): ZEUS downloads, stores, analyzes and aggregates long-term ECG patch data into reports -- an unattended continuous data-processing service; production data-store coupling per rule 2."
