agency,use_case_name,original_verdict,override_verdict,reasoning
DOI,,unclear,,"Agree unclear: filing is boilerplate (name blank, problem=N/A); only says a purchased tool ""streamlines gathering open-source data"" with no described process step or system coupling."
DOI,AI data harvesting project  ECOSphere [2024 INV#DOI-62],workflow_embedded,,"Agree workflow_embedded: pilot builds an ingestion pipeline transforming species files into the named ETK system format, but the ETK write-in/QA loop is described as still being built (future-tense), so the deeper coupling is not yet operating — conservative single-flow call is right."
DOI,Automated photographic identification of Eastern box turtles,workflow_embedded,,"Agree workflow_embedded: photo-matching against a photo database for capture-recapture modeling is one analysis pipeline; output is match/confidence scores, no system write-back."
DOI,Climate Futures for Lizards and Snakes in Western North America [2024 INV#WO0000000109092],unclear,,"Agree unclear: deployed classical-ML row but problem/benefit/output are identical boilerplate (""identify new management challenges to reptiles"") with zero described mechanics or data flow."
DOI,DARPAs CriticalMAAS [2024 INV#WO0000000108419; WO0000000096527],workflow_embedded,,"Agree workflow_embedded: correlates mineral-deposit patterns with geospatial layers to produce predictive maps — a single mapping pipeline, no live system read/write."
DOI,Ecological niche models for bat species [2024 INV#WO0000000109233],workflow_embedded,,"Agree workflow_embedded: models environmental factors of bat presence/absence — one modeling analysis, no coupling described."
DOI,Effects of vehicle traffic on space use and road crossings of caribou in the Arctic [2024 INV#WO0000000110111],system_integrated,workflow_embedded,"Narrative is a completed research STUDY (""we examined the influence of traffic volume on caribou summer space use"") — gradient-boosted models predict traffic volumes and GAMs assess movement effects, a single analysis pipeline. No identified agency system/data-store read-write or production feed is described, so it does not meet system_integrated; the corrupted (liquefaction) output field further undercuts an operational-system reading."
DOI,Flor-AI: Developing a Remotely Sensed Image Classification Method for Inventory and Monitoring of Flora in Digital UAS Imagery,workflow_embedded,,"Agree workflow_embedded: UAS imagery + CV to detect lupine for habitat-management planning at Necedah NWR; orthomosaics are a published output artifact, not system integration."
DOI,Foundation Models to Advance Earth Science [2024 INV#WO0000000107153],workflow_embedded,,"Agree workflow_embedded: describes a data->model->insight pipeline training foundation models on Earth-observation sensor data; thin but a describable analysis flow, not genuinely unclear."
DOI,Improving accuracy and precision of sonar-based estimates of fish abundance [2024 INV#WO0000000108800],workflow_embedded,,"Agree workflow_embedded: ML improves accuracy of USGS annual prey-fish abundance estimates — an analytical step within an existing survey process, no named system read/write."
DOI,"Lava lake thermal pattern classification using self organizing maps and relationships to eruption processes at Kilauea Volcano, Hawaii [2024 INV#WO0000000109098]",workflow_embedded,,Agree workflow_embedded: self-organizing maps classify lava-lake thermal patterns from IR time-lapse imagery — a single classification pipeline.
DOI,Machine Learning approach to predict the composition of seafloor massive sulfide deposits [2024 INV#WO0000000108420],workflow_embedded,,"Agree workflow_embedded: ML predicts seafloor-sulfide composition; output is publications — a single research modeling pipeline, no system coupling."
DOI,Machine Learning for Bat Acoustics,unclear,,"Agree unclear: forward-looking and vague (""this model will be refined and used for prediction and decisions"") with no current mechanics, inputs, or coupling described."
DOI,Mapping vegetation classes to understand wildfire fuel conditions,workflow_embedded,,"Agree workflow_embedded: maps vegetation classes for wildfire fuel conditions — a single mapping pipeline, no coupling described."
DOI,Oil Spill Response for Ice-Covered Rivers [2024 INV#WO0000000109142],system_integrated,,"Agree system_integrated: deployed product delivering near-real-time ice-safety information to oil-spill response crews — an operational decision-support feed, consistent with classical-ML-in-production guidance."
DOI,Predicting PFAS occurrence in groundwater using machine learning [2024 INV#WO0000000108780],workflow_embedded,,"Agree workflow_embedded: predicts PFAS occurrence in groundwater across the conterminous US — a single predictive-modeling pipeline, no coupling described."
DOI,Seasonal Water Supply Forecasting: Pyforecast [2024 INV#DOI-69],system_integrated,,Agree system_integrated: Pyforecast is a named tool available to and used by Reclamation reservoir operators to produce in-house forecasts feeding real reservoir-operation and allocation decisions.
DOI,Seismology of Magmatic Injection [2024 INV#WO0000000109214],unclear,,"Agree unclear: problem and output are identical boilerplate restating the research goal (""understand the nature and dynamics of seismic sources"") with no model mechanics or data flow."
DOI,Submersed Aquatic Vegetation Vulnerability Evaluation Application (SAVVEA),workflow_embedded,,"Agree workflow_embedded: deployed SAVVEA app produces vegetation-constraint predictions; narrative gives only ""predictions"" as output with no described system read/write to reach system_integrated."
DOI,Using Machine Learning in USGS StreamStats to make suspended sediment and bedload predictions [2024 INV#WO0000000107977],system_integrated,,"Agree system_integrated: ML suspended-sediment/bedload predictions are integrated directly into USGS StreamStats, a named operational web application."
DOI,use of random forest for species distribution modeling,system_integrated,,Agree system_integrated: deployed random-forest species-distribution models operate within BLM's named Mojave Desert Native Plant Program and feed regulatory-agency guidance — classical ML in operational use per rule 2.
