agency,use_case_name,bureau_component,stage_normalized,ai_classification_normalized,is_generative_ai,is_general_llm_access,is_coding_tool,ai_sophistication,tool_product_name,system_name,vendor_name,development_type,has_custom_code,problem_statement,expected_benefits,system_outputs
State,AI Input in Translation,A/PRI,deployed,Generative AI,1,1,0,nlp_specific,RWS Trados,Trados,RWS,a) Purchased from a vendor,No,Leveraging machine-based tools to streamline workflows in translation work. Machine output is carefully post-edited by professional human translators to ensure highest quality product.,"Reduced time, reduced cost, and improved accuracy of translated documents.",Translated text in draft form.
State,AI Programmatic Insights,CA,deployed,Generative AI,1,0,0,general_llm,,N/A,N/A,b) Developed in-house,Yes,"Regional Directors (RD) have to analyze current passport trends and data to determine overall performance and resource requirements to enable successful alignment to overall performance targets; however, the raw data requires analysis and doesn't currently allow for easy input to evaluate different scenarios, which results in RDs having to respond to passport performance with limited information.","An AI-driven solution that empowers Regional Directors to forecast programmatic trends, anticipate demand cycles, and respond effectively to external factors. This solution empowers Regional Directors with data-driven insights to anticipate demand, optimize resources, and proactively address challenges impacting passport agencies.","Monthly snapshots, overview of historical trends, agency-level overview analysis, and agency specific highlights."
State,AI Research Engine (AIRE),DT,deployed,Generative AI,1,0,0,general_llm,,Data.State-SBU,Deloitte,c) Developed with both contracting and in-house resources,No,"The need to improve the quality of reporting from the continuously growing sources of information through the categorization, summarization, and translation of information. Includes formerly titled use case ""J Reports Data Collection & Management Tool (DCT).""","AI enables the quick categorization, summarization, and translation of data to make it easily accessible for quicker drafting of higher quality reports, resulting in staff time savings, reduced redundant workload, and better information to support the mission. Significant reduction in time and costs required to create higher quality reports.","Summarized information, translated documents, and sorted data."
State,AI-Augmented Declassification Review,A/SKS,deployed,Classical/Predictive Machine Learning,0,0,0,classical_ml,,N/A,Deloitte,c) Developed with both contracting and in-house resources,Yes,"The amount of documents, particularly cables and emails, that require declassification review increases exponentially in the next few years. Manual review is unsustainable and expensive given the number of cables (in the hundreds of thousands) and emails (increasing from hundreds of thousands to millions).","The expected benefits and positive outcomes from using AI are cost savings by reducing the need of manual reviews, reduce labor in cable review by up to 80%, reduce the time needed for annual review, and create more consistency in the review process.",The AI system's outputs are binary classification predictions for documents on whether a document should be declassified or exempt from declassification and multiclassification for reasons for exemption.
State,Automatic Detection of Authentic Material,NFATC,pilot,Natural Language Processing,0,0,0,nlp_specific,,N/A,N/A,b) Developed in-house,Yes,"The need to detect/identify authentic materials in target languages, reducing the time to develop language curricula and tests.",Reduced staff hours and improved variety of materials in foreign languages.,"Authentic text, audio, and video in 8 foreign languages."
State,BudgetChat AI Tool,BP,pilot,Generative AI,1,0,0,general_llm,,DOS-O365; Data.State-SBU,N/A,b) Developed in-house,Yes,Inputting large amounts of data from paper forms into a digital system using AI.,"Time and cost savings, improved ability to identify crucial supplemental information available in other budget documents, improved accuracy in identifying key budget information in individual documents.","BudgetChat responds to prompts regarding the amount of spend and positions in prior years by combing through narratives presented to the Bureau of Budget and Planning (BP) from other Department's bureaus, federal agencies, and Congress."
State,DS-5528 Promissory Note Automation,CGFS,deployed,Natural Language Processing,0,0,0,nlp_specific,,N/A,Google,c) Developed with both contracting and in-house resources,Yes,"Moving large amounts of data from paper and/or digital forms into a digital system is challenging, time intensive, and costly.",A reduction in processing time and needed resources to lower costs to complete tasks.,Dataset of extracted information referred for human review.
State,Data.State Analytics and AI Funhouse,DT,deployed,Other,1,1,0,general_llm,Databricks,Data.State-SBU; DOS-O365,"Microsoft, Databricks, ZenPoint",c) Developed with both contracting and in-house resources,Yes,"Data scientists require a cybersecure platform for data science experiments, learning, and workflow deployment. Funhouse provides secure and documented access to GenAI and ML tools in an authorized and auditable platform.","Provide cybersecure analytics and AI experimentation to support mission delivery and process efficiency, increased mission efficiency, accelerated AI innovation, and cost savings.","Funhouse is a platform that enables use of general purpose AI and ML tools, including open source, OpenAI, and Azure AI models allowing individual users to tackle a variety of business problems across the Department's mission."
State,Digital Media Analytics Platform,GPA,deployed,Generative AI,1,0,0,general_llm,,NorthStar,N/A,b) Developed in-house,Yes,Using open-source neural machine translation models to translate global media articles and Department and public foreign social media posts into English.,The use case reduces labor in producing media summary reports.,Summaries of large volumes of foreign language news and online posts to help teams identify and understand trends in a more efficient manner.
State,Diplomatic Security - Legal Instruction Unit,DS,pilot,Generative AI,1,1,0,general_llm,ChatGPT,CFA PCFS,"LexisNexis, ChatGPT",c) Developed with both contracting and in-house resources,No,"Insufficient personnel and resources available to create multimedia, conduct necessary research, and develop required curriculum.",Cost savings due to increased efficiency and decreased contracts/personnel to meet the needs of the Department.,"The various AI systems will be used to synthesize information and provide recommendations on curriculum content, such as scenario development, multimedia content, and character script recommendations."
