slug,agency,ai_use_case,verdict,product_canonical_name,confidence,evidence_text,reasoning,new_vendor,new_product_type,new_is_generative_ai,new_parent_canonical_name
doc-using-ai-assisted-tools-in-word-processors,DOC,Using AI-assisted tools in word processors.,link,Litera Compare,strong,Litera-compare,Exact match to catalog entry (hyphenated/casing variant of Litera Compare).,,,,
doe-finding-and-booking-travel-accommodations-using-ai-powered-platforms,DOE,Finding and booking travel accommodations using AI-powered platforms.,no_product,,,"Enterprise Travel System 2.0, DDSP Travel Request Form","""Enterprise Travel System 2.0"" appears to be DOE's name for the government-wide, multi-vendor E-Gov Travel Service 2 (ETS2) platform (GSA runs ETS2 through two competing vendor contracts) rather than a single identifiable vendor product; DOE's own travel manual points to a Concur-based system but the filed name doesn't confirm that attribution. ""DDSP Travel Request Form"" is an internal DOE form, not a software product.",,,,
doe-generating-code-using-ai,DOE,Generating code using AI.,link,GitHub Copilot,inferred,GitHub Enterprise 1.0,"DOE filed ""GitHub Enterprise 1.0"" as its AI code-generation tool; the AI code-generation capability inside GitHub Enterprise is GitHub Copilot (Microsoft), which is separately cataloged.",,,,
doe-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,DOE,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,new_product,DOE OGC Docket Database,,OGC Docket Database,"Internal DOE Office of General Counsel docket-tracking database; not in the catalog under this name. (One of four systems DOE listed for this row; ""WebApps"" is too generic to identify and is not given its own row.)",DOE,document_ai,false,
doe-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,DOE,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,new_product,MCG Energy Solutions Integrated Asset Manager (IAM),,MCG Energy Solutions Integrated Asset Manager (IAM),Real commercial wholesale-energy bid-capture/scheduling/settlement product (https://www.mcgenergy.com/wp-content/uploads/2018/02/mcg_brochure_iam.pdf); not in the catalog.,MCG Energy Solutions,data_analytics,false,
doe-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,DOE,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,new_product,OATI webSmartTag,,OATI Transmission Scheduling,"DOE filed the category ""OATI Transmission Scheduling""; OATI's actual named transmission-scheduling/tagging product is webSmartTag, used by over 95% of U.S. transmission owners/providers (https://www.oati.com/solutions/transmission-reliability/). Not in the catalog.",OATI,data_analytics,false,
dot-scheduling-and-managing-social-media-posts-using-ai,DOT,Scheduling and managing social media posts using AI.,link,Sprout Social,strong,Sprout,"'Sprout' is the common shorthand name for Sprout Social, the social-media management platform.",,,,
eac-searching-for-agency-information-using-a-knowledge-retrieval-system,EAC,Searching for agency information using a knowledge retrieval system.,link,Microsoft 365 Copilot,strong,Copilot,"'Copilot' is the common federal shorthand for Microsoft 365 Copilot, used here for internal knowledge search/retrieval.",,,,
fca-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,FCA,Creating visual representations of data sets for reports or presentations using AI.,no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FCA,"Generating first drafts of documents, briefing, or communication materials using AI.",no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-improving-the-quality-of-written-communications-using-ai-tools,FCA,Improving the quality of written communications using AI tools.,no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FCA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-planning-travel-routes-using-ai-driven-map-applications,FCA,Planning travel routes using AI-driven map applications.,no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-searching-for-agency-information-using-a-knowledge-retrieval-system,FCA,Searching for agency information using a knowledge retrieval system.,no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-summarizing-the-key-points-of-a-lengthy-report-using-ai,FCA,Summarizing the key points of a lengthy report using AI.,no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FCA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FCA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
fca-using-ai-assisted-tools-in-word-processors,FCA,Using AI-assisted tools in word processors.,no_product,,,Various,"FCA filed the generic placeholder ""Various"" -- no identifiable product named.",,,,
frb-editing-images-videos-or-other-public-affairs-materials-using-ai,FRB,"Editing images, videos, or other public affairs materials using AI.",no_product,,,External- Creative Production Suite,"FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FRB,Finding and booking travel accommodations using AI-powered platforms.,no_product,,,External- Government Travel System,"FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-generating-code-using-ai,FRB,Generating code using AI.,no_product,,,"External-Generative Coding Assistant, External- Chatbots, Internal Gov Cloud - Chatbots","FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FRB,"Generating first drafts of documents, briefing, or communication materials using AI.",no_product,,,"External- Chatbots, Internal Gov Cloud- Chatbots","FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-improving-the-quality-of-written-communications-using-ai-tools,FRB,Improving the quality of written communications using AI tools.,no_product,,,"External- Chatbots, Internal Gov Cloud- Chatbots","FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FRB,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",no_product,,,External- Cybersecurity Suites,"FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-planning-travel-routes-using-ai-driven-map-applications,FRB,Planning travel routes using AI-driven map applications.,no_product,,,External- Smartphone OS,"FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-searching-for-agency-information-using-a-knowledge-retrieval-system,FRB,Searching for agency information using a knowledge retrieval system.,no_product,,,Internal Gov Cloud- Chatbots,"FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-summarizing-the-key-points-of-a-lengthy-report-using-ai,FRB,Summarizing the key points of a lengthy report using AI.,no_product,,,"External- Chatbots, Internal Gov Cloud- Chatbots","FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
frb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FRB,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,no_product,,,External- Smartphone OS,"FRB's filing uses an internal deployment-category label (External/Internal Gov Cloud plus function, e.g. ""Chatbots"", ""Smartphone OS"") rather than a vendor or product name -- no identifiable product.",,,,
ftc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FTC,"Generating first drafts of documents, briefing, or communication materials using AI.",link,Microsoft 365 Copilot,strong,CoPilot,'CoPilot' is the common federal shorthand for Microsoft 365 Copilot.,,,,
