slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
exim-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EXIM,Export-Import Bank,,Creating visual representations of data sets for reports or presentations using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-editing-images-videos-or-other-public-affairs-materials-using-ai,EXIM,Export-Import Bank,,"Editing images, videos, or other public affairs materials using AI.",Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-generating-code-using-ai,EXIM,Export-Import Bank,,Generating code using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EXIM,Export-Import Bank,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-improving-the-quality-of-written-communications-using-ai-tools,EXIM,Export-Import Bank,,Improving the quality of written communications using AI tools.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,EXIM,Export-Import Bank,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,EXIM,Export-Import Bank,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Splunk, Crowdstrike, MS Defender, Qualys. Palo Alto",,101-1000,1000,Microsoft Defender; Crowdstrike Falcon; Splunk; Palo Alto Networks,security_tool,
exim-planning-travel-routes-using-ai-driven-map-applications,EXIM,Export-Import Bank,,Planning travel routes using AI-driven map applications.,"Apple Maps, Google Maps, Open StreetMap",,101-1000,1000,Apple Maps; Google Maps,consumer_feature,
exim-prioritizing-and-categorizing-incoming-emails-using-ai,EXIM,Export-Import Bank,,Prioritizing and categorizing incoming emails using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-scheduling-and-managing-social-media-posts-using-ai,EXIM,Export-Import Bank,,Scheduling and managing social media posts using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,EXIM,Export-Import Bank,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-searching-for-agency-information-using-a-knowledge-retrieval-system,EXIM,Export-Import Bank,,Searching for agency information using a knowledge retrieval system.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-summarizing-the-key-points-of-a-lengthy-report-using-ai,EXIM,Export-Import Bank,,Summarizing the key points of a lengthy report using AI.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EXIM,Export-Import Bank,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
exim-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EXIM,Export-Import Bank,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1-100,100,Apple Face ID,consumer_feature,
exim-using-ai-assisted-tools-in-word-processors,EXIM,Export-Import Bank,,Using AI-assisted tools in word processors.,Microsoft M365 Copilot AI,,101-1000,1000,Microsoft 365 Copilot,general_llm,
nasa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NASA,National Aeronautics and Space Administration,,Creating visual representations of data sets for reports or presentations using AI.,"Azure, Amazon Web Services, Mural",,1001-5000,5000,Mural; Amazon Web Services,"productivity,cloud_platform",18000
nasa-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NASA,National Aeronautics and Space Administration,,Curating news articles and updates based on user preferences using AI.,"Azure, OpenAI",,1-100,100,OpenAI API,general_llm,18000
nasa-editing-images-videos-or-other-public-affairs-materials-using-ai,NASA,National Aeronautics and Space Administration,,"Editing images, videos, or other public affairs materials using AI.",Adobe Connect,,101-1000,1000,Adobe,productivity,18000
nasa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,NASA,National Aeronautics and Space Administration,,Finding and booking travel accommodations using AI-powered platforms.,AWS Bedrock,,1-100,100,AWS Bedrock,general_llm,18000
