slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
nea-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NEA,National Endowment for the Arts,,Creating visual representations of data sets for reports or presentations using AI.,"Microsoft CoPilot, ChatGPT",,101-1000,1000,Microsoft 365 Copilot; ChatGPT,general_llm,
nea-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NEA,National Endowment for the Arts,,Curating news articles and updates based on user preferences using AI.,Google News Brief,,1-100,100,Google News Brief,consumer_feature,
nea-editing-images-videos-or-other-public-affairs-materials-using-ai,NEA,National Endowment for the Arts,,"Editing images, videos, or other public affairs materials using AI.",Adobe Firefly,,1-100,100,Adobe Firefly,computer_vision,
nea-generating-code-using-ai,NEA,National Endowment for the Arts,,Generating code using AI.,Github Copilot,,1-100,100,GitHub Copilot,coding_assistant,
nea-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NEA,National Endowment for the Arts,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft CoPilot, ChatGPT",,101-1000,1000,Microsoft 365 Copilot; ChatGPT,general_llm,
nea-identifying-and-cataloging-items-in-a-storage-room-using-ai-driven-image-recogni,NEA,National Endowment for the Arts,,Identifying and cataloging items in a storage room using AI-driven image recognition.,Google Lens,,1-100,100,Google Lens,computer_vision,
nea-improving-the-quality-of-written-communications-using-ai-tools,NEA,National Endowment for the Arts,,Improving the quality of written communications using AI tools.,Grammarly,,1-100,100,Grammarly,productivity,
nea-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,NEA,National Endowment for the Arts,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Microsoft defender,,101-1000,1000,Microsoft Defender,security_tool,
nea-planning-travel-routes-using-ai-driven-map-applications,NEA,National Endowment for the Arts,,Planning travel routes using AI-driven map applications.,Googel Maps,,1-100,100,,,
nea-prioritizing-and-categorizing-incoming-emails-using-ai,NEA,National Endowment for the Arts,,Prioritizing and categorizing incoming emails using AI.,Microsoft CoPilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
