slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
doe-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DOE,"Creating visual representations of data sets for reports or presentations using AI.",employees,occupation:data_scientists,component,technical,medium,"Tableau data-viz for reports is analyst tooling; band 101-1000 is a small slice of DOE's 16,000 staff, so component-level, not enterprise-wide."
doe-curating-news-articles-and-updates-based-on-user-preferences-using-ai,DOE,"Curating news articles and updates based on user preferences using AI.",employees,occupation:comms,component,comms,high,"Meltwater is a media-monitoring/clipping tool used by public-affairs teams; small 1-100 band fits a single comms shop."
doe-editing-images-videos-or-other-public-affairs-materials-using-ai,DOE,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"Narrative explicitly says 'public affairs materials'; Adobe Creative Cloud + TVEyes is comms-shop tooling, band 1-100 is one office."
doe-finding-and-booking-travel-accommodations-using-ai-powered-platforms,DOE,"Finding and booking travel accommodations using AI-powered platforms.",employees,office_staff,component,general,low,"Enterprise Travel System/DDSP is an internal booking tool for staff who travel, not consumer ambient AI like Maps; band 101-1000 of 16,000 headcount suggests a subset of travelers; the generic product list keeps confidence low."
doe-generating-code-using-ai,DOE,"Generating code using AI.",employees_and_contractors,occupation:developers,enterprise,technical,medium,"GitHub Enterprise band 10,000-50,000 far exceeds any plausible count of DOE federal developers among 16,000 employees, so it must include the large lab contractor workforce (NNSA/national labs), consistent with worked example 5's contractor read."
doe-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOE,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"Matches worked example 1 exactly: ChatGPT/Copilot/Gemini/Claude band 10,000-50,000 against 16,000 headcount is a whole-workforce general drafting rollout."
doe-improving-the-quality-of-written-communications-using-ai-tools,DOE,"Improving the quality of written communications using AI tools.",employees,all_staff,enterprise,general,high,"Identical product set and band to the drafting-documents row; same enterprise-wide Copilot/ChatGPT/Claude/Gemini rollout across DOE's 16,000 staff."
doe-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,DOE,"Logging and analyzing time spent on tasks using AI-powered time management tools.",employees,single_component,component,technical,low,"Splunk is a log-analytics/security platform, an odd fit for 'time management'; tiny 1-100 band implies one IT/ops team rather than a real time-tracking seat population, so confidence is low given the narrative/product mismatch."
doe-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,DOE,"Managing and prioritizing internal service or help desk tickets using AI.",employees,single_component,component,general,medium,"ServiceNow Now Assist ticket triage for an internal help desk; band 101-1000 of 16,000 headcount fits one IT service team."
doe-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DOE,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Matches worked example 2 exactly: CrowdStrike/Defender/Vectra/Splunk endpoint agents on band 10,000-50,000 are device counts, not people."
doe-planning-travel-routes-using-ai-driven-map-applications,DOE,"Planning travel routes using AI-driven map applications.",public_users,unknown,unknown,excluded_not_seats,medium,"Matches worked example 3: Google/Apple Maps band 50,000+ vastly exceeds the 16,000 headcount, confirming device/app-install counts rather than staff seats."
