slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
hhs-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,HHS,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,component,general,medium,"""Creating visual representations of data sets for reports or presentations"" is a broad drafting/analysis task; band (1,001-5,000) is only ~1-6% of HHS's 80,000 headcount, reading as a component-level Tableau/Copilot rollout rather than enterprise-wide."
hhs-curating-news-articles-and-updates-based-on-user-preferences-using-ai,HHS,Curating news articles and updates based on user preferences using AI.,employees,unknown,enterprise,excluded_not_seats,medium,"Apple News/Google News Brief are ambient consumer news-curation features (""based on user preferences""), not a work AI seat -- treated like the Maps worked example as excluded_not_seats."
hhs-editing-images-videos-or-other-public-affairs-materials-using-ai,HHS,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,"Narrative explicitly says ""public affairs materials,"" pointing to the comms shop; band (5,001-10,000 of 80,000 HHS staff) is plausible for a comms-plus-adjacent creative-tools rollout (Adobe Firefly/Canva), not enterprise-wide."
hhs-finding-and-booking-travel-accommodations-using-ai-powered-platforms,HHS,Finding and booking travel accommodations using AI-powered platforms.,employees,unknown,component,excluded_not_seats,medium,"SAP Concur/Navan travel booking is a narrow embedded feature, not an arbitrary-prompt AI seat; tiny band (1-100 of 80,000) indicates a small travel-office user base."
hhs-generating-code-using-ai,HHS,Generating code using AI.,employees,occupation:developers,component,technical,high,"""Generating code using AI"" with GitHub Copilot/Amazon Q Developer squarely fits developer tooling; band (~6% of 80,000 headcount) is consistent with HHS's developer population."
hhs-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,HHS,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"Matches the EPA worked example directly -- ""first drafts of documents"" via Microsoft 365 Copilot/ChatGPT at a band up to 50,000 of HHS's 80,000 staff signals a broad enterprise chat/drafting rollout."
hhs-identifying-and-cataloging-items-in-a-storage-room-using-ai-driven-image-recogni,HHS,Identifying and cataloging items in a storage room using AI-driven image recognition.,employees,unknown,component,excluded_not_seats,low,"Ambiguous whether the 101-1,000 count is storage staff or items scanned; ""identifying and cataloging items in a storage room"" is an operational/logistics task with no clear person-seat stratum."
hhs-improving-the-quality-of-written-communications-using-ai-tools,HHS,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Grammarly/M365 Copilot/ChatGPT writing-quality assistance at a 10,000-50,000 band (of 80,000 headcount) mirrors the EPA drafting example -- broad general chat/productivity rollout."
hhs-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,HHS,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,unknown,component,excluded_not_seats,medium,"Asana/Monday.com time-tracking AI is a narrow embedded feature for task logging, not arbitrary-prompt general AI; tiny band (1-100) implies one small team."
hhs-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,HHS,Managing and prioritizing internal service or help desk tickets using AI.,employees,single_component,component,excluded_not_seats,medium,"""Managing and prioritizing internal service or help desk tickets"" via DRUID AI/ServiceDesk is an ITSM triage tool for one IT support office, not a general/technical creative AI seat."
hhs-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,HHS,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Direct match to the DOE CrowdStrike/Defender worked example -- endpoint security agents counted per-device, not per-employee AI seat."
hhs-planning-travel-routes-using-ai-driven-map-applications,HHS,Planning travel routes using AI-driven map applications.,employees,all_staff,enterprise,excluded_not_seats,medium,"Direct match to the Google/Apple Maps worked example -- ambient consumer map AI, not a work AI seat regardless of employee/public read."
