slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
eac-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EAC,Creating visual representations of data sets for reports or presentations using AI.,employees,all_staff,enterprise,general,medium,"EAC is a tiny agency and this general_llm toolset (ChatGPT/Claude/Copilot/Perplexity) recurs across nearly every EAC task row at the same 1-100 band, indicating agency-wide access to a shared chat suite rather than a narrow pilot; no headcount given to cross-check."
eac-curating-news-articles-and-updates-based-on-user-preferences-using-ai,EAC,Curating news articles and updates based on user preferences using AI.,employees,all_staff,enterprise,general,medium,"Same shared ChatGPT/Claude/Copilot/Perplexity toolset and 1-100 band as EAC's other general-purpose rows; personal news curation is an arbitrary-prompt use of the general chat suite, so all_staff/enterprise/general follows the agency-wide pattern."
eac-editing-images-videos-or-other-public-affairs-materials-using-ai,EAC,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,"Narrative explicitly names ""public affairs materials,"" which is a comms-shop function distinct from EAC's other general-drafting rows, so population/stratum follow the task (comms) rather than the shared general_llm product."
eac-finding-and-booking-travel-accommodations-using-ai-powered-platforms,EAC,Finding and booking travel accommodations using AI-powered platforms.,employees,all_staff,enterprise,excluded_not_seats,medium,"SAP Concur's AI travel-booking feature is an embedded backend assistant, not a person-facing generative seat; band matches EAC's other agency-wide rows so scope is enterprise/all_staff but it doesn't count as a seat in the AI-adoption strata."
eac-generating-code-using-ai,EAC,Generating code using AI.,employees,occupation:developers,component,technical,low,"Narrative is explicitly code generation, so population/stratum follow the developer occupation per the population-overrides-product rule; EAC is tiny with likely few dedicated developers, so confidence is low that this band cleanly isolates a distinct coder population versus reflecting the same shared chat-tool license count as other EAC rows."
eac-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EAC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,Matches EPA's worked-example pattern (general drafting via the shared chat suite) at EAC's agency-wide 1-100 band scale.
eac-improving-the-quality-of-written-communications-using-ai-tools,EAC,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,Same shared general_llm toolset/band as EAC's other office-productivity rows; writing-quality assistance is a general arbitrary-prompt use.
eac-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,EAC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Matches the instructions' worked example exactly: CrowdStrike Falcon/Microsoft Defender are endpoint security agents, not person seats, regardless of EAC's small band."
eac-planning-travel-routes-using-ai-driven-map-applications,EAC,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,medium,"Google Maps/Apple Maps for travel routing matches the instructions' worked example (consumer ambient AI, not an AI seat); read as staff phones per the example's alternate reading."
eac-prioritizing-and-categorizing-incoming-emails-using-ai,EAC,Prioritizing and categorizing incoming emails using AI.,employees,all_staff,enterprise,general,medium,Same shared general_llm toolset/band as EAC's other productivity rows; email triage via the general chat suite is a general-purpose use.
eac-searching-for-agency-information-using-a-knowledge-retrieval-system,EAC,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,medium,"Copilot-based knowledge search, unbanded linked_products but same 1-100 agency-wide band as EAC's other general rows; treated as general chat/search access."
eac-summarizing-the-key-points-of-a-lengthy-report-using-ai,EAC,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,Same shared general_llm toolset/band as EAC's other office-productivity rows; report summarization is a general arbitrary-prompt use.
eac-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EAC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,medium,Zoom/Teams meeting transcription at the same agency-wide 1-100 band; treated as general-purpose productivity access rather than a specialized occupation.
eac-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EAC,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID biometric unlock is a device feature, not a person-facing generative AI seat, matching the instructions' device/biometric exclusion guidance."
eac-using-ai-assisted-tools-in-word-processors,EAC,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,medium,Grammarly/Copilot word-processor assistance at the same agency-wide 1-100 band as EAC's other general productivity rows.
epa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EPA,Creating visual representations of data sets for reports or presentations using AI.,employees,all_staff,enterprise,general,high,"Azure OpenAI/Microsoft365 Copilot at the 10,000-50,000 band (lower bound within EPA's 16,000 headcount) mirrors the instructions' worked example 1 almost exactly — an enterprise-wide general drafting/visualization deployment."
epa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,EPA,Finding and booking travel accommodations using AI-powered platforms.,employees,all_staff,enterprise,excluded_not_seats,medium,"SAP Concur's travel AI is an embedded backend feature of an enterprise-wide expense system (band matches EPA's all-staff rows), not a generative person-facing seat."
epa-generating-code-using-ai,EPA,Generating code using AI.,employees,occupation:developers,component,technical,low,"Narrative is explicit code generation (GitHub Copilot present), so population/stratum follow developers per the population-overrides-product rule; but the 10,000-50,000 band is identical to EPA's unrelated drafting/summarizing rows, suggesting it may just reflect the same enterprise Microsoft365 Copilot/Azure OpenAI seat count rather than a true developer headcount — 16,000 total staff makes 10,000+ actual coders implausible."
epa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EPA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,high,"This is the instructions' worked example 1 verbatim: ""Generating first drafts of documents…"" / Azure OpenAI, Microsoft365 Copilot / 10,000-50,000 band at 16,000 headcount — the band spans the whole workforce; a general chat/drafting deployment."
epa-improving-the-quality-of-written-communications-using-ai-tools,EPA,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,high,"Same Azure OpenAI/Microsoft365 Copilot enterprise deployment and 10,000-50,000 band as the worked-example drafting row; general writing-quality assistance available agency-wide."
epa-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,EPA,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,all_staff,enterprise,excluded_not_seats,medium,"Microsoft Viva is an automated analytics/insights feature applied passively across the tenant, not a person-driven generative seat, despite the enterprise-wide 10,000-50,000 band."
