slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
eac-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EAC,Election Assistance Commission,,Creating visual representations of data sets for reports or presentations using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-curating-news-articles-and-updates-based-on-user-preferences-using-ai,EAC,Election Assistance Commission,,Curating news articles and updates based on user preferences using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-editing-images-videos-or-other-public-affairs-materials-using-ai,EAC,Election Assistance Commission,,"Editing images, videos, or other public affairs materials using AI.","ChatGPT, Claude, Copilot",,1-100,100,ChatGPT; Claude,general_llm,
eac-finding-and-booking-travel-accommodations-using-ai-powered-platforms,EAC,Election Assistance Commission,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,1-100,100,SAP Concur,productivity,
eac-generating-code-using-ai,EAC,Election Assistance Commission,,Generating code using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EAC,Election Assistance Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-improving-the-quality-of-written-communications-using-ai-tools,EAC,Election Assistance Commission,,Improving the quality of written communications using AI tools.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,EAC,Election Assistance Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender, Copilot",,1-100,100,Microsoft Defender; Crowdstrike Falcon,security_tool,
eac-planning-travel-routes-using-ai-driven-map-applications,EAC,Election Assistance Commission,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,1-100,100,Apple Maps; Google Maps,consumer_feature,
eac-prioritizing-and-categorizing-incoming-emails-using-ai,EAC,Election Assistance Commission,,Prioritizing and categorizing incoming emails using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-searching-for-agency-information-using-a-knowledge-retrieval-system,EAC,Election Assistance Commission,,Searching for agency information using a knowledge retrieval system.,Copilot,,1-100,100,,,
eac-summarizing-the-key-points-of-a-lengthy-report-using-ai,EAC,Election Assistance Commission,,Summarizing the key points of a lengthy report using AI.,"ChatGPT, Claude, Copilot, Perplexity",,1-100,100,ChatGPT; Claude; Perplexity,general_llm,
eac-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EAC,Election Assistance Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Zoom, Teams",,1-100,100,Microsoft Teams; Zoom,productivity,
eac-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EAC,Election Assistance Commission,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1-100,100,Apple Face ID,consumer_feature,
eac-using-ai-assisted-tools-in-word-processors,EAC,Election Assistance Commission,,Using AI-assisted tools in word processors.,"Grammarly, Copilot",,1-100,100,Grammarly,productivity,
epa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EPA,Environmental Protection Agency,,Creating visual representations of data sets for reports or presentations using AI.,"Azure OpenAI, Microsoft365 Copilot, Qlik Predict",,"10,000-50,000",50000,Microsoft 365 Copilot; Azure OpenAI,general_llm,16000
epa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,EPA,Environmental Protection Agency,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,"10,000-50,000",50000,SAP Concur,productivity,16000
epa-generating-code-using-ai,EPA,Environmental Protection Agency,,Generating code using AI.,"GitHub Copilot, Azure OpenAI, Microsoft365 Copilot",,"10,000-50,000",50000,Microsoft 365 Copilot; GitHub Copilot; Azure OpenAI,"general_llm,coding_assistant",16000
epa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EPA,Environmental Protection Agency,,"Generating first drafts of documents, briefing, or communication materials using AI.","Azure OpenAI, Microsoft365 Copilot",,"10,000-50,000",50000,Microsoft 365 Copilot; Azure OpenAI,general_llm,16000
epa-improving-the-quality-of-written-communications-using-ai-tools,EPA,Environmental Protection Agency,,Improving the quality of written communications using AI tools.,"Azure OpenAI, Microsoft365 Copilot",,"10,000-50,000",50000,Microsoft 365 Copilot; Azure OpenAI,general_llm,16000
epa-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,EPA,Environmental Protection Agency,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Microsoft Viva,,"10,000-50,000",50000,Microsoft Viva,productivity,16000
epa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,EPA,Environmental Protection Agency,,Managing and prioritizing internal service or help desk tickets using AI.,Servicenow Virtual Agent,,"10,000-50,000",50000,ServiceNow Now Assist,productivity,16000
epa-planning-travel-routes-using-ai-driven-map-applications,EPA,Environmental Protection Agency,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"10,000-50,000",50000,Apple Maps; Google Maps,consumer_feature,16000
epa-prioritizing-and-categorizing-incoming-emails-using-ai,EPA,Environmental Protection Agency,,Prioritizing and categorizing incoming emails using AI.,Microsoft365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,16000
epa-searching-for-agency-information-using-a-knowledge-retrieval-system,EPA,Environmental Protection Agency,,Searching for agency information using a knowledge retrieval system.,"Relativity, Microsoft365 Copilot, Google Search",,"10,000-50,000",50000,Microsoft 365 Copilot; Aretec SEARCH; Relativity; Google,"general_llm,search,ediscovery,productivity",16000
epa-summarizing-the-key-points-of-a-lengthy-report-using-ai,EPA,Environmental Protection Agency,,Summarizing the key points of a lengthy report using AI.,"Azure OpenAI, Microsoft365 Copilot",,"10,000-50,000",50000,Microsoft 365 Copilot; Azure OpenAI,general_llm,16000
epa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EPA,Environmental Protection Agency,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft365 Copilot, Azure Open AI",,"10,000-50,000",50000,Microsoft 365 Copilot,general_llm,16000
epa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EPA,Environmental Protection Agency,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1001-5000,5000,Apple Face ID,consumer_feature,16000
epa-using-ai-assisted-tools-in-word-processors,EPA,Environmental Protection Agency,,Using AI-assisted tools in word processors.,Microsoft365 Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,16000
frb-editing-images-videos-or-other-public-affairs-materials-using-ai,FRB,Federal Reserve Board,,"Editing images, videos, or other public affairs materials using AI.",External- Creative Production Suite,,1-100,100,,,3000
frb-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FRB,Federal Reserve Board,,Finding and booking travel accommodations using AI-powered platforms.,External- Government Travel System,,101-1000,1000,,,3000
frb-generating-code-using-ai,FRB,Federal Reserve Board,,Generating code using AI.,"External-Generative Coding Assistant, External- Chatbots, Internal Gov Cloud - Chatbots",,1001-5000,5000,,,3000
frb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FRB,Federal Reserve Board,,"Generating first drafts of documents, briefing, or communication materials using AI.","External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,5000,,,3000
frb-improving-the-quality-of-written-communications-using-ai-tools,FRB,Federal Reserve Board,,Improving the quality of written communications using AI tools.,"External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,5000,,,3000
frb-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FRB,Federal Reserve Board,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",External- Cybersecurity Suites,,1-100,100,,,3000
frb-planning-travel-routes-using-ai-driven-map-applications,FRB,Federal Reserve Board,,Planning travel routes using AI-driven map applications.,External- Smartphone OS,,1-100,100,,,3000
frb-searching-for-agency-information-using-a-knowledge-retrieval-system,FRB,Federal Reserve Board,,Searching for agency information using a knowledge retrieval system.,Internal Gov Cloud- Chatbots,,1001-5000,5000,,,3000
frb-summarizing-the-key-points-of-a-lengthy-report-using-ai,FRB,Federal Reserve Board,,Summarizing the key points of a lengthy report using AI.,"External- Chatbots, Internal Gov Cloud- Chatbots",,1001-5000,5000,,,3000
frb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FRB,Federal Reserve Board,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,External- Smartphone OS,,1001-5000,5000,,,3000
doc-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DOC,Department of Commerce,,Creating visual representations of data sets for reports or presentations using AI.,"MS Copilot, ChatGPT",,1-100,100,Microsoft 365 Copilot; ChatGPT,general_llm,50000
doc-generating-code-using-ai,DOC,Department of Commerce,,Generating code using AI.,"GitLab Duo, ChatGPT",,101-1000,1000,ChatGPT,general_llm,50000
doc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOC,Department of Commerce,,"Generating first drafts of documents, briefing, or communication materials using AI.","MS 365 Copilot, Copilot Chat, PRISM/Bidscale",,1-100,100,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; Unison PRISM,"general_llm,supply_chain",50000
doc-improving-the-quality-of-written-communications-using-ai-tools,DOC,Department of Commerce,,Improving the quality of written communications using AI tools.,"Open AI, Salesforce Agentforce",,"50,000+",100000,Salesforce Einstein,ml_platform,50000
doc-searching-for-agency-information-using-a-knowledge-retrieval-system,DOC,Department of Commerce,,Searching for agency information using a knowledge retrieval system.,"AWS Bedrock, Azure OpenAI - Simple Chat, Salesforce Agentforce",,1001-5000,5000,Azure OpenAI; AWS Bedrock; Salesforce Einstein,"general_llm,ml_platform",50000
doc-summarizing-the-key-points-of-a-lengthy-report-using-ai,DOC,Department of Commerce,,Summarizing the key points of a lengthy report using AI.,Palantir,,1-100,100,Palantir AIP,general_llm,50000
doc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,DOC,Department of Commerce,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",MS Teams,,1-100,100,Microsoft Teams,productivity,50000
doc-using-ai-assisted-tools-in-word-processors,DOC,Department of Commerce,,Using AI-assisted tools in word processors.,Litera-compare,,1-100,100,,,50000
fhfa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,FHFA,Federal Housing Finance Agency,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,101-1000,1000,SAP Concur,productivity,800
fhfa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FHFA,Federal Housing Finance Agency,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft Copilot, Microsoft 365 suite (Teams, SharePoint, Excel, PowerPoint, Word), Apple iOS",,101-1000,1000,Microsoft 365 Copilot; Microsoft Teams; Microsoft 365,"general_llm,productivity,coding_assistant",800
fhfa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,FHFA,Federal Housing Finance Agency,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow,,1-100,100,ServiceNow Now Assist,productivity,800
fhfa-planning-travel-routes-using-ai-driven-map-applications,FHFA,Federal Housing Finance Agency,,Planning travel routes using AI-driven map applications.,"Apple Maps, Google Maps",,101-1000,1000,Apple Maps; Google Maps,consumer_feature,800
