slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
hhs-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,HHS,Department of Health and Human Services,,Creating visual representations of data sets for reports or presentations using AI.,"Tableau, Biorender, ChatGPT, Microsoft 365 Copilot, Gemini",,1001-5000,5000,Microsoft 365 Copilot; ChatGPT; Gemini; BioRender; Tableau,"general_llm,productivity,ml_platform",80000
hhs-curating-news-articles-and-updates-based-on-user-preferences-using-ai,HHS,Department of Health and Human Services,,Curating news articles and updates based on user preferences using AI.,"Apple News, MediaViz AI, Google News Brief",,"5001-10,000",10000,Apple News; MediaViz AI; Google News Brief,"consumer_feature,media_analysis",80000
hhs-editing-images-videos-or-other-public-affairs-materials-using-ai,HHS,Department of Health and Human Services,,"Editing images, videos, or other public affairs materials using AI.","Adobe Firefly, Gemini, Microsoft 365 Copilot, DALL-E, Biorender, Canva, ChatGPT",,"5001-10,000",10000,Microsoft 365 Copilot; ChatGPT; Gemini; Adobe Firefly; DALL-E; Canva; BioRender,"general_llm,computer_vision,productivity",80000
hhs-finding-and-booking-travel-accommodations-using-ai-powered-platforms,HHS,Department of Health and Human Services,,Finding and booking travel accommodations using AI-powered platforms.,"SAP Concur, Navan",,1-100,100,SAP Concur,productivity,80000
hhs-generating-code-using-ai,HHS,Department of Health and Human Services,,Generating code using AI.,"Credal + Claude and GPT API, Amazon Q Developer, GitHub Copilot, Anaconda AI Navigator, ChatGPT, Claude, Gemini, IntelliJ IDEA Ult, Logi AI Prompt Builder, Microsoft 365 Copilot, Plantir Foundry, Sourcegraph",,"5001-10,000",10000,Microsoft 365 Copilot; GitHub Copilot; ChatGPT; Claude; Gemini; Amazon Q; Credal,"general_llm,coding_assistant,agent_platform",80000
hhs-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,HHS,Department of Health and Human Services,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft 365 Copilot Chat, Microsoft 365 Copilot, AWS, ChatGPT, Gemini, xAI gov, CHIRP, Claude, EndNote, Microsoft Azure, Synthesia, Zotero, Credal + Claude and GPT API",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; ChatGPT; Claude; Gemini; Synthesia; Credal,"general_llm,computer_vision,agent_platform",80000
hhs-identifying-and-cataloging-items-in-a-storage-room-using-ai-driven-image-recogni,HHS,Department of Health and Human Services,,Identifying and cataloging items in a storage room using AI-driven image recognition.,"Microsoft AI Builder, Azure OpenAI Service, Google Lens",,101-1000,1000,Azure OpenAI; Google Lens; Microsoft AI Builder,"general_llm,computer_vision,ml_platform",80000
hhs-improving-the-quality-of-written-communications-using-ai-tools,HHS,Department of Health and Human Services,,Improving the quality of written communications using AI tools.,"Microsoft 365 Copilot Chat, Grammarly, Microsoft 365 Copilot, ChatGPT, Perplexity, Stanford Storm, CHIRP, Credal + Claude and GPT API",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; ChatGPT; Claude; Grammarly; Perplexity; Credal,"general_llm,productivity,agent_platform",80000
hhs-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,HHS,Department of Health and Human Services,,Logging and analyzing time spent on tasks using AI-powered time management tools.,"Asana, Microsoft 365 Copilot, Monday.com",,1-100,100,Microsoft 365 Copilot; Asana; Monday.com,"general_llm,productivity",80000
hhs-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,HHS,Department of Health and Human Services,,Managing and prioritizing internal service or help desk tickets using AI.,"ServiceDesk, DRUID AI, Supportbench, ServiceDesk Plus",,101-1000,1000,DRUID AI; Supportbench,"agent_platform,itsm",80000
hhs-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,HHS,Department of Health and Human Services,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike, Purvue, Microsoft Defender, Absolute, ChatGPT, Cylance, BigFix, Ivanti, Palo Alto Firewall, SentinelOne",,"50,000+",100000,Microsoft Defender; ChatGPT; Crowdstrike Falcon; Palo Alto Networks; SentinelOne,"security_tool,general_llm",80000
hhs-planning-travel-routes-using-ai-driven-map-applications,HHS,Department of Health and Human Services,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"10,000-50,000",50000,Apple Maps; Google Maps,consumer_feature,80000
hhs-prioritizing-and-categorizing-incoming-emails-using-ai,HHS,Department of Health and Human Services,,Prioritizing and categorizing incoming emails using AI.,"Microsoft Outlook, Microsoft 365 Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; Microsoft Outlook,"general_llm,productivity",80000
hhs-scheduling-and-managing-social-media-posts-using-ai,HHS,Department of Health and Human Services,,Scheduling and managing social media posts using AI.,"Sprout Social, ChatGPT, xAI gov",,101-1000,1000,ChatGPT; Sprout Social,"general_llm,productivity",80000
hhs-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,HHS,Department of Health and Human Services,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"Microsoft Outlook, Microsoft Teams, Microsoft 365 Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; Microsoft Teams; Microsoft Outlook,"general_llm,productivity",80000
hhs-searching-for-agency-information-using-a-knowledge-retrieval-system,HHS,Department of Health and Human Services,,Searching for agency information using a knowledge retrieval system.,"Credal + Claude and GPT API, Palantir Foundry, Googla Appliance, Microsoft 365 Copilot Chat, ChatGPT, Gemini, Microsoft 365 Copilot, ScanSnap AI, ServiceNow",,"10,000-50,000",50000,Microsoft 365 Copilot; Microsoft 365 Copilot Chat; ChatGPT; Claude; Gemini; ServiceNow Now Assist; Palantir AIP; Credal,"general_llm,productivity,agent_platform",80000
