slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
csosa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,CSOSA,Creating visual representations of data sets for reports or presentations using AI.,unknown,unknown,unknown,general,low,"Band lower bound (1,001) exceeds CSOSA's actual headcount (~522 per FOIA/LinkedIn data), and CSOSA is not a contractor-heavy lab/NASA-style site, so employees-only is implausible; the same band repeats across nearly every CSOSA row, suggesting a reused tenant-wide figure rather than a per-task count."
csosa-editing-images-videos-or-other-public-affairs-materials-using-ai,CSOSA,"Editing images, videos, or other public affairs materials using AI.",unknown,unknown,unknown,comms,low,"""Public affairs materials"" ties this to the comms function (Adobe Firefly), but the 1,001-5,000 band exceeds CSOSA's ~522 total headcount, ruling out a literal small PA-team seat count; likely a reused enterprise tenant figure."
csosa-generating-code-using-ai,CSOSA,Generating code using AI.,unknown,unknown,unknown,technical,low,"Coding implies a small developer population, but the 1,001-5,000 band far exceeds CSOSA's ~522-person headcount, ruling out a literal developer seat count; unit left unknown per plausibility discipline."
csosa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,CSOSA,"Generating first drafts of documents, briefing, or communication materials using AI.",unknown,unknown,unknown,general,low,"Same reused 1,001-5,000 band exceeds CSOSA's ~522 actual headcount, so employees-only is implausible per the plausibility rule; general drafting task keeps stratum general."
csosa-improving-the-quality-of-written-communications-using-ai-tools,CSOSA,Improving the quality of written communications using AI tools.,unknown,unknown,unknown,general,low,"Grammarly/Copilot writing-improvement task; band (1,001-5,000) exceeds CSOSA's ~522 headcount, so defaulting to unknown rather than guessing employees."
csosa-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,CSOSA,Logging and analyzing time spent on tasks using AI-powered time management tools.,unknown,unknown,unknown,general,low,"Same reused 1,001-5,000 band exceeds CSOSA's ~522-person headcount; time-tracking feature within M365 Copilot, stratum kept general by default."
csosa-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,CSOSA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Splunk/CrowdStrike/Defender/Qualys/Palo Alto are endpoint security agents, not person seats; the 1,001-5,000 band well exceeding CSOSA's ~522 headcount actually supports multiple endpoints per employee, matching the DOE CrowdStrike worked example."
csosa-planning-travel-routes-using-ai-driven-map-applications,CSOSA,Planning travel routes using AI-driven map applications.,public_users,unknown,unknown,excluded_not_seats,medium,"Google/Apple Maps is consumer ambient AI on staff phones; band (101-1,000) is under CSOSA's ~522 headcount, plausible as a subset of field officers; whether read as employees or public_users it is not an AI work seat."
csosa-prioritizing-and-categorizing-incoming-emails-using-ai,CSOSA,Prioritizing and categorizing incoming emails using AI.,unknown,unknown,unknown,general,low,"Reused 1,001-5,000 Copilot band exceeds CSOSA's ~522 headcount; email-triage task, general stratum by default, unit unknown per plausibility rule."
csosa-scheduling-and-managing-social-media-posts-using-ai,CSOSA,Scheduling and managing social media posts using AI.,unknown,unknown,unknown,comms,low,"Social-media scheduling is a comms function, but the 1,001-5,000 band vastly exceeds any plausible CSOSA comms-shop headcount and even the agency's own ~522 total staff; unit left unknown."
csosa-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,CSOSA,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,unknown,unknown,unknown,general,low,"Same reused 1,001-5,000 band exceeding CSOSA's ~522-person headcount; scheduling/reminders is general Copilot functionality."
csosa-searching-for-agency-information-using-a-knowledge-retrieval-system,CSOSA,Searching for agency information using a knowledge retrieval system.,unknown,unknown,unknown,general,low,"Band (1,001-5,000) exceeds CSOSA's ~522 headcount; ChatGPT/Copilot knowledge search treated as general, unit unknown per plausibility discipline."
csosa-summarizing-the-key-points-of-a-lengthy-report-using-ai,CSOSA,Summarizing the key points of a lengthy report using AI.,unknown,unknown,unknown,general,low,"Same reused band exceeding actual CSOSA headcount (~522); general summarization task, unit left unknown."
csosa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,CSOSA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",unknown,unknown,unknown,general,low,Same reused band exceeding CSOSA's ~522 headcount; general meeting-accessibility feature via Copilot.
csosa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,CSOSA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID device unlock is an explicit biometric-device exclusion example; band (101-1,000) is plausible as government-issued phone count against CSOSA's ~522 headcount."
csosa-using-ai-assisted-tools-in-word-processors,CSOSA,Using AI-assisted tools in word processors.,unknown,unknown,unknown,general,low,"Reused 1,001-5,000 band exceeding CSOSA's actual ~522 headcount; word-processing assist task kept general stratum, unit left unknown."
