slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
nea-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NEA,Creating visual representations of data sets for reports or presentations using AI.,employees,all_staff,enterprise,general,medium,M365 Copilot/ChatGPT for report visualization is a general drafting task; NEA is a very small agency (~150-160 staff) so a 101-1000 band plausibly covers the whole workforce even though headcount was not provided in this row.
nea-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NEA,Curating news articles and updates based on user preferences using AI.,employees,unknown,unknown,excluded_not_seats,medium,"""Curating news articles and updates based on user preferences"" via Google News Brief is ambient personal-use news curation, analogous to the consumer-map-app pattern in the instructions — not a deployed work AI seat."
nea-editing-images-videos-or-other-public-affairs-materials-using-ai,NEA,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"Narrative explicitly says ""public affairs materials""; Adobe Firefly is a creative tool used by the comms/public-affairs shop, a small band (1-100) consistent with one office."
nea-generating-code-using-ai,NEA,Generating code using AI.,employees,occupation:developers,component,technical,high,"""Generating code using AI"" with GitHub Copilot is unambiguously a developer tool; small band (1-100) fits a handful of developers at a small agency."
nea-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NEA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,Document/briefing drafting via M365 Copilot and ChatGPT is general-purpose chat use; NEA is small enough that a 101-1000 band plausibly spans the whole workforce.
nea-identifying-and-cataloging-items-in-a-storage-room-using-ai-driven-image-recogni,NEA,Identifying and cataloging items in a storage room using AI-driven image recognition.,employees,single_component,component,general,low,"""Identifying and cataloging items in a storage room"" via Google Lens is a narrow facilities/inventory task with no occupation or stratum category that fits cleanly; defaulting to general with low confidence since the use case is genuinely ambiguous."
nea-improving-the-quality-of-written-communications-using-ai-tools,NEA,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,Grammarly-style writing assistance is general productivity AI; small band (1-100) is consistent with either a subset or the whole small NEA workforce.
nea-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,NEA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Microsoft Defender for ""managing or implementing security controls"" is the canonical endpoint-security pattern from the instructions (worked example 2) — counts devices, not people."
nea-planning-travel-routes-using-ai-driven-map-applications,NEA,Planning travel routes using AI-driven map applications.,employees,unknown,unknown,excluded_not_seats,medium,"Google Maps for ""planning travel routes"" matches worked example 3 exactly — consumer ambient map AI is not an AI seat regardless of whether counted as staff or public users."
nea-prioritizing-and-categorizing-incoming-emails-using-ai,NEA,Prioritizing and categorizing incoming emails using AI.,employees,all_staff,enterprise,general,medium,Email triage via M365 Copilot is general chat/productivity functionality; small NEA workforce makes a 101-1000 band plausible as agency-wide.
nea-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NEA,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,all_staff,enterprise,general,medium,Scheduling/reminders via M365 Copilot is general productivity functionality tenant-wide at a small agency; 101-1000 band plausibly spans the whole workforce.
nea-searching-for-agency-information-using-a-knowledge-retrieval-system,NEA,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,medium,Knowledge retrieval via Microsoft Copilot is general chat search; small agency makes a 101-1000 band plausibly agency-wide.
nea-summarizing-the-key-points-of-a-lengthy-report-using-ai,NEA,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,Report summarization via M365 Copilot/ChatGPT is general drafting/summarizing functionality; small agency makes agency-wide read plausible.
