slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
doe-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DOE,Department of Energy,,Creating visual representations of data sets for reports or presentations using AI.,Tableau Enterprise Visualization 1.0,,101-1000,1000,Tableau,ml_platform,16000
doe-curating-news-articles-and-updates-based-on-user-preferences-using-ai,DOE,Department of Energy,,Curating news articles and updates based on user preferences using AI.,Meltwater,,1-100,100,Meltwater,productivity,16000
doe-editing-images-videos-or-other-public-affairs-materials-using-ai,DOE,Department of Energy,,"Editing images, videos, or other public affairs materials using AI.","Adobe creative suite, TV eyes",,1-100,100,Adobe Creative Cloud Suite,productivity,16000
doe-finding-and-booking-travel-accommodations-using-ai-powered-platforms,DOE,Department of Energy,,Finding and booking travel accommodations using AI-powered platforms.,"Enterprise Travel System 2.0, DDSP Travel Request Form,",,101-1000,1000,,,16000
doe-generating-code-using-ai,DOE,Department of Energy,,Generating code using AI.,GitHub Enterprise 1.0,,"10,000-50,000",50000,,,16000
doe-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,DOE,Department of Energy,,"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude,",,"10,000-50,000",50000,Microsoft 365 Copilot; ChatGPT; Claude; Gemini,general_llm,16000
doe-improving-the-quality-of-written-communications-using-ai-tools,DOE,Department of Energy,,Improving the quality of written communications using AI tools.,"ChatGPT Enterprise, Microsoft CoPilot, Gemini, Claude,",,"10,000-50,000",50000,Microsoft 365 Copilot; ChatGPT; Claude; Gemini,general_llm,16000
doe-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,DOE,Department of Energy,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Splunk Online,,1-100,100,Splunk,security_tool,16000
doe-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,DOE,Department of Energy,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow,,101-1000,1000,ServiceNow Now Assist,productivity,16000
doe-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,DOE,Department of Energy,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","CrowdStrike Falcon 1.0, Microsoft Defender, Vectra AI, Splunk Enterprise Security",,"10,000-50,000",50000,Microsoft Defender; Crowdstrike Falcon; Splunk; Vectra AI,security_tool,16000
doe-planning-travel-routes-using-ai-driven-map-applications,DOE,Department of Energy,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",,"50,000+",100000,Apple Maps; Google Maps,consumer_feature,16000
