slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
exim-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,EXIM,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,enterprise,general,medium,"Generic 'creating visual representations...for reports or presentations' via M365 Copilot; agency_total_headcount not reported so full plausibility check isn't possible, defaulting to the office-worker drafting-task reading."
exim-editing-images-videos-or-other-public-affairs-materials-using-ai,EXIM,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,Narrative specifically names 'public affairs materials'; population/stratum follow the comms function per the population-overrides-product rule even though the linked product is generic M365 Copilot.
exim-generating-code-using-ai,EXIM,Generating code using AI.,employees,occupation:developers,component,technical,medium,"'Generating code using AI' is a developer task; population overrides the generically-tagged M365 Copilot product per instructions, so tagged technical/developers."
exim-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,EXIM,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,"Standard 'first drafts of documents...' Copilot drafting task; headcount not reported, defaulting to office_staff per the office-worker-drafting default."
exim-improving-the-quality-of-written-communications-using-ai-tools,EXIM,Improving the quality of written communications using AI tools.,employees,office_staff,enterprise,general,medium,Generic Copilot writing-assistance task; headcount not reported so office_staff default applies.
exim-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,EXIM,Logging and analyzing time spent on tasks using AI-powered time management tools.,employees,office_staff,enterprise,general,medium,"'AI-powered time management tools' backed by M365 Copilot reads as a general productivity feature, not an occupation-specific one; headcount not reported."
exim-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,EXIM,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Splunk/Crowdstrike/Defender/Qualys/Palo Alto are endpoint security agents, matching the worked-example pattern for security tooling — counts devices, not people with an AI seat."
exim-planning-travel-routes-using-ai-driven-map-applications,EXIM,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,medium,"Apple/Google Maps/OpenStreetMap for staff travel routing mirrors the worked-example map-app case; consumer ambient AI, excluded from seat strata regardless of employees-vs-public read."
exim-prioritizing-and-categorizing-incoming-emails-using-ai,EXIM,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,enterprise,general,medium,"Generic Copilot email-triage task; headcount not reported, office_staff default."
exim-scheduling-and-managing-social-media-posts-using-ai,EXIM,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,medium,'Scheduling and managing social media posts' is a public-affairs/comms function; population overrides the generic M365 Copilot product tag.
exim-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,EXIM,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,office_staff,enterprise,general,medium,"Generic Copilot scheduling/reminders task; headcount not reported, office_staff default."
exim-searching-for-agency-information-using-a-knowledge-retrieval-system,EXIM,Searching for agency information using a knowledge retrieval system.,employees,office_staff,enterprise,general,medium,"Generic Copilot knowledge-retrieval task; headcount not reported, office_staff default."
exim-summarizing-the-key-points-of-a-lengthy-report-using-ai,EXIM,Summarizing the key points of a lengthy report using AI.,employees,office_staff,enterprise,general,medium,"Generic Copilot summarization task; headcount not reported, office_staff default."
exim-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,EXIM,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,enterprise,general,medium,"Generic Copilot meeting-transcription/accessibility task; headcount not reported, office_staff default."
exim-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,EXIM,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID phone-unlock is a per-device biometric feature, not a person AI seat; band counts devices."
exim-using-ai-assisted-tools-in-word-processors,EXIM,Using AI-assisted tools in word processors.,employees,office_staff,enterprise,general,medium,"Generic Copilot word-processing task; headcount not reported, office_staff default."
nasa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NASA,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,enterprise,general,medium,"Mural/AWS-backed data-viz-for-reports task; band 1001-5000 is 6-28% of the 18,000 headcount, a plausible office-worker subset rather than all_staff."
nasa-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NASA,Curating news articles and updates based on user preferences using AI.,employees,occupation:comms,component,comms,medium,"'Curating news articles and updates' via Azure/OpenAI is a media-monitoring/comms function; small band (1-100 of 18,000) fits a single public-affairs office, not enterprise-wide."
nasa-editing-images-videos-or-other-public-affairs-materials-using-ai,NASA,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,"Narrative names 'public affairs materials' explicitly; population overrides the generic Adobe/productivity product tag, and the small band (101-1000 of 18,000) fits a comms office subset."
nasa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,NASA,Finding and booking travel accommodations using AI-powered platforms.,employees,single_component,component,general,low,"AWS Bedrock powering a travel-booking tool is unusual — likely an internal admin/travel-office build (band 1-100 of 18,000); low confidence on exactly which office/staff use it."
nasa-generating-code-using-ai,NASA,Generating code using AI.,employees,occupation:developers,enterprise,technical,high,"Alteryx/Azure/Windsurf — Windsurf is a coding assistant — clearly a developer tool; band 1001-5000 of 18,000 is consistent with NASA's large engineering workforce."
nasa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NASA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,"Copilot/Gemini/Azure drafting task; band 1001-5000 (6-28% of 18,000 headcount) fits an office-worker subset, not full agency."
nasa-improving-the-quality-of-written-communications-using-ai-tools,NASA,Improving the quality of written communications using AI tools.,employees,office_staff,component,general,medium,"Copilot writing-assistance task with a small band (1-100 of 18,000) — fits a limited office_staff rollout, not enterprise-wide."
nasa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NASA,Managing and prioritizing internal service or help desk tickets using AI.,applicants_cases,unknown,unknown,excluded_not_seats,medium,"Band 5001-10,000 (28-56% of 18,000 headcount) is implausibly large for actual help-desk staff seats; 'prioritizing...tickets' reads as a count of tickets processed, not people with access."
nasa-searching-for-agency-information-using-a-knowledge-retrieval-system,NASA,Searching for agency information using a knowledge retrieval system.,employees,office_staff,component,general,medium,"Gemini knowledge-retrieval task with a small band (1-100 of 18,000) fits a limited office_staff rollout."
nasa-summarizing-the-key-points-of-a-lengthy-report-using-ai,NASA,Summarizing the key points of a lengthy report using AI.,employees,office_staff,enterprise,general,medium,"Copilot/OpenAI/Gemini summarization task; band 1001-5000 of 18,000 headcount fits an office-worker subset."
nasa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NASA,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,enterprise,general,medium,"Teams-based meeting transcription/accessibility task; band 1001-5000 of 18,000 headcount fits an office-worker subset."
nasa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NASA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID phone-unlock counts devices, not people with an AI seat, matching the worked-example pattern; band 5001-10,000 is plausible as device count across NASA's large workforce."
nasa-using-ai-assisted-tools-in-word-processors,NASA,Using AI-assisted tools in word processors.,employees,office_staff,enterprise,general,medium,"Copilot word-processing task; band 1001-5000 of 18,000 headcount fits an office-worker subset."
usitc-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,USITC,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,enterprise,general,medium,"Copilot data-viz task; band 1-100 is 25% of the 400 headcount, consistent with a licensed office_staff subset."
usitc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,USITC,Curating news articles and updates based on user preferences using AI.,employees,occupation:comms,component,comms,high,"Meltwater is a media-monitoring/social-listening platform used by comms shops, matching the stratum definition directly regardless of the small headcount-relative band."
usitc-editing-images-videos-or-other-public-affairs-materials-using-ai,USITC,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,"Narrative names 'public affairs materials' explicitly, overriding the generic Copilot product tag toward the comms occupation/stratum."
usitc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,USITC,Finding and booking travel accommodations using AI-powered platforms.,employees,office_staff,enterprise,general,low,"SAP Concur travel/expense platform with AI features; no clearer occupation fit, low confidence on stratum since Concur isn't a typical 'AI seat' tool."
usitc-generating-code-using-ai,USITC,Generating code using AI.,employees,occupation:developers,component,technical,medium,'Generating code using AI' is a developer task; population overrides the generic Copilot product tag toward developers/technical.
usitc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,USITC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,Generic Copilot drafting task; band 1-100 of 400 headcount (25%) fits an office_staff subset.
usitc-improving-the-quality-of-written-communications-using-ai-tools,USITC,Improving the quality of written communications using AI tools.,employees,office_staff,enterprise,general,medium,Generic Copilot writing-assistance task; band 1-100 of 400 headcount fits an office_staff subset.
usitc-prioritizing-and-categorizing-incoming-emails-using-ai,USITC,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,enterprise,general,medium,Generic Copilot email-triage task; band 1-100 of 400 headcount fits an office_staff subset.
usitc-searching-for-agency-information-using-a-knowledge-retrieval-system,USITC,Searching for agency information using a knowledge retrieval system.,employees,office_staff,enterprise,general,medium,Generic Copilot knowledge-retrieval task; band 1-100 of 400 headcount fits an office_staff subset.
usitc-summarizing-the-key-points-of-a-lengthy-report-using-ai,USITC,Summarizing the key points of a lengthy report using AI.,employees,office_staff,enterprise,general,medium,Generic Copilot summarization task; band 1-100 of 400 headcount fits an office_staff subset.
usitc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,USITC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,enterprise,general,medium,Copilot/Teams meeting-transcription task; band 1-100 of 400 headcount fits an office_staff subset.
usitc-using-ai-assisted-tools-in-word-processors,USITC,Using AI-assisted tools in word processors.,employees,office_staff,enterprise,general,medium,Generic Copilot word-processing task; band 1-100 of 400 headcount fits an office_staff subset.
neh-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NEH,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,Generic Copilot drafting task; headcount not reported so office_staff default applies.
neh-improving-the-quality-of-written-communications-using-ai-tools,NEH,Improving the quality of written communications using AI tools.,employees,office_staff,enterprise,general,medium,"Generic Copilot writing-assistance task; headcount not reported, office_staff default."
neh-prioritizing-and-categorizing-incoming-emails-using-ai,NEH,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,enterprise,general,medium,"Generic Copilot email-triage task; headcount not reported, office_staff default."
neh-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NEH,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,office_staff,enterprise,general,medium,"Generic Copilot scheduling/reminders task; headcount not reported, office_staff default."
neh-searching-for-agency-information-using-a-knowledge-retrieval-system,NEH,Searching for agency information using a knowledge retrieval system.,employees,office_staff,enterprise,general,medium,"Generic Copilot knowledge-retrieval task; headcount not reported, office_staff default."
neh-summarizing-the-key-points-of-a-lengthy-report-using-ai,NEH,Summarizing the key points of a lengthy report using AI.,employees,office_staff,enterprise,general,medium,"Copilot/Azure OpenAI summarization task; headcount not reported, office_staff default."
neh-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NEH,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,office_staff,enterprise,general,medium,"Generic Copilot meeting-transcription task; headcount not reported, office_staff default."
neh-using-ai-assisted-tools-in-word-processors,NEH,Using AI-assisted tools in word processors.,employees,office_staff,enterprise,general,medium,"Generic Copilot word-processing task; headcount not reported, office_staff default."
nigc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NIGC,Curating news articles and updates based on user preferences using AI.,employees,occupation:attorneys,component,legal,medium,"Law360 (LexisNexis) is a legal-research/news platform for attorneys, not a generic news curator; population/stratum follow the product despite the generic-sounding narrative."
nigc-editing-images-videos-or-other-public-affairs-materials-using-ai,NIGC,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,Narrative names 'public affairs materials' explicitly (Adobe Photoshop AI plugin); tagged comms occupation/stratum.
nigc-using-ai-assisted-tools-in-word-processors,NIGC,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,high,"Band 1-100 against a 130-person headcount is ~77% of the agency, close enough to the whole workforce to read as all_staff per the worked-example logic, for a generic Copilot word-processing task."
ustda-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,USTDA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Crowdstrike Falcon/Qualys Cloud Detection are endpoint security agents, matching the worked-example security-tooling pattern — counts devices, not AI seats."
ustda-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,USTDA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Apple Face ID + Lookout mobile security count devices/phones, not people with an AI seat."
