slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
sba-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,SBA,Small Business Administration,,Creating visual representations of data sets for reports or presentations using AI.,"Perplexity, Tableau AI",,1-100,100,Perplexity; Tableau,"general_llm,ml_platform",6000
sba-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SBA,Small Business Administration,,Curating news articles and updates based on user preferences using AI.,Meltwater,,1-100,100,Meltwater,productivity,6000
sba-generating-code-using-ai,SBA,Small Business Administration,,Generating code using AI.,"Github CoPilot, Amazon Q Developer, Perplexity",,1-100,100,GitHub Copilot; Amazon Q; Perplexity,"coding_assistant,general_llm",6000
sba-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,SBA,Small Business Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft CoPilot, Perplexity, Gemini",,"5001-10,000",10000,Microsoft 365 Copilot; Gemini; Perplexity,general_llm,6000
sba-improving-the-quality-of-written-communications-using-ai-tools,SBA,Small Business Administration,,Improving the quality of written communications using AI tools.,"Grammarly, Microsoft CoPilot, Perplexity, Gemini",,"5001-10,000",10000,Microsoft 365 Copilot; Gemini; Grammarly; Perplexity,"general_llm,productivity",6000
sba-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,SBA,Small Business Administration,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Perplexity,,1-100,100,Perplexity,general_llm,6000
sba-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,SBA,Small Business Administration,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow AIOps,,"5001-10,000",10000,ServiceNow Now Assist,productivity,6000
sba-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,SBA,Small Business Administration,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Microsoft Defender, SentinelOne, Wiz, Traceable",,"5001-10,000",10000,Microsoft Defender; SentinelOne; Wiz,security_tool,6000
sba-planning-travel-routes-using-ai-driven-map-applications,SBA,Small Business Administration,,Planning travel routes using AI-driven map applications.,Apple Maps,,1001-5000,5000,Apple Maps,consumer_feature,6000
sba-prioritizing-and-categorizing-incoming-emails-using-ai,SBA,Small Business Administration,,Prioritizing and categorizing incoming emails using AI.,Perplexity,,1-100,100,Perplexity,general_llm,6000
sba-scheduling-and-managing-social-media-posts-using-ai,SBA,Small Business Administration,,Scheduling and managing social media posts using AI.,Sprout Social,,1-100,100,Sprout Social,productivity,6000
sba-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,SBA,Small Business Administration,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft CoPilot,,"5001-10,000",10000,Microsoft 365 Copilot,general_llm,6000
sba-searching-for-agency-information-using-a-knowledge-retrieval-system,SBA,Small Business Administration,,Searching for agency information using a knowledge retrieval system.,"Microsoft CoPilot, Perplexity, Gemini, Salesforce Einstein",,"5001-10,000",10000,Microsoft 365 Copilot; Gemini; Perplexity; Salesforce Einstein,"general_llm,ml_platform",6000
sba-summarizing-the-key-points-of-a-lengthy-report-using-ai,SBA,Small Business Administration,,Summarizing the key points of a lengthy report using AI.,"Perplexity, Gemini",,1-100,100,Gemini; Perplexity,general_llm,6000
sba-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,SBA,Small Business Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,"5001-10,000",10000,Microsoft 365 Copilot,general_llm,6000
sba-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,SBA,Small Business Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1001-5000,5000,Apple Face ID,consumer_feature,6000
sba-using-ai-assisted-tools-in-word-processors,SBA,Small Business Administration,,Using AI-assisted tools in word processors.,"Microsoft CoPilot, Perplexity, Gemini",,"5001-10,000",10000,Microsoft 365 Copilot; Gemini; Perplexity,general_llm,6000
state-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,State,Department of State,,Creating visual representations of data sets for reports or presentations using AI.,"NotebookLM, HeyGen",,1-100,100,NotebookLM; HeyGen,"general_llm,media_analysis",77000
state-curating-news-articles-and-updates-based-on-user-preferences-using-ai,State,Department of State,,Curating news articles and updates based on user preferences using AI.,"ChatGPT, Claude, Gemini, NotebookLM, Perplexity",,1001-5000,5000,ChatGPT; Claude; Gemini; NotebookLM; Perplexity,general_llm,77000
state-editing-images-videos-or-other-public-affairs-materials-using-ai,State,Department of State,,"Editing images, videos, or other public affairs materials using AI.","HeyGen, ChatGPT",,"5001-10,000",10000,ChatGPT; HeyGen,"general_llm,media_analysis",77000
state-generating-code-using-ai,State,Department of State,,Generating code using AI.,"ChatGPT, Claude",,1001-5000,5000,ChatGPT; Claude,general_llm,77000
state-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,State,Department of State,,"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Gemini, Claude, Grammarly",,"5001-10,000",10000,ChatGPT; Claude; Gemini; Grammarly,"general_llm,productivity",77000
state-improving-the-quality-of-written-communications-using-ai-tools,State,Department of State,,Improving the quality of written communications using AI tools.,"Grammarly, ChatGPT, Gemini, Claude, NotebookLM",,"5001-10,000",10000,ChatGPT; Claude; Gemini; NotebookLM; Grammarly,"general_llm,productivity",77000
state-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,State,Department of State,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow,,101-1000,1000,ServiceNow Now Assist,productivity,77000
state-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,State,Department of State,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Microsoft Defender, US AI Archangel, CRIBL, DATABRICKS, SimpleChat, SplunkCloud, Microsoft Purview, ServiceNow Now Assist, Dark Trace",,1001-5000,5000,Microsoft Defender; ServiceNow Now Assist; Databricks; Microsoft Purview,"security_tool,productivity,ml_platform",77000
state-searching-for-agency-information-using-a-knowledge-retrieval-system,State,Department of State,,Searching for agency information using a knowledge retrieval system.,"ChatGPT, Claude",,"5001-10,000",10000,ChatGPT; Claude,general_llm,77000
state-summarizing-the-key-points-of-a-lengthy-report-using-ai,State,Department of State,,Summarizing the key points of a lengthy report using AI.,"ChatGPT, Gemini, Claude, Grammarly, Perplexity, NotebookLM",,"5001-10,000",10000,ChatGPT; Claude; Gemini; NotebookLM; Grammarly; Perplexity,"general_llm,productivity",77000
