slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning
treasury-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,Treasury,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,unknown,general,low,"No product named (""N/A""); generic office reporting/visualization task read as ordinary productivity use, not a data-analytics specialty, band 101-1000 is a thin slice of Treasury's 100k staff."
treasury-curating-news-articles-and-updates-based-on-user-preferences-using-ai,Treasury,Curating news articles and updates based on user preferences using AI.,employees,office_staff,unknown,general,low,"""based on user preferences"" reads as a personalized-newsfeed productivity feature for individual staff; no product named so a comms-specific reading can't be confirmed."
treasury-editing-images-videos-or-other-public-affairs-materials-using-ai,Treasury,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,medium,"""public affairs materials"" ties this directly to comms staff; band 1-100 fits a small public-affairs shop within a 100k-employee department."
treasury-generating-code-using-ai,Treasury,Generating code using AI.,employees,occupation:developers,component,technical,medium,"""Generating code using AI"" is a developer task; band 1001-5000 is plausible across Treasury's many bureau IT/dev shops (IRS, OCC, etc.), though no product is named."
treasury-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,Treasury,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,"Drafting documents/briefings is broad office-productivity work; band 5,001-10,000 (~5-10% of the 100k workforce) is consistent with an enterprise drafting-assist rollout even without a named tool."
treasury-improving-the-quality-of-written-communications-using-ai-tools,Treasury,Improving the quality of written communications using AI tools.,employees,office_staff,enterprise,general,medium,"Same enterprise writing-assistance pattern as the drafting row; band 5,001-10,000 matches a comparable slice of the 100k headcount."
treasury-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,Treasury,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,medium,"Wording matches the worked-example DOE CrowdStrike/Defender row verbatim (""managing or implementing security controls...using AI""); band 1-100 fits a handful of endpoint-security tools/consoles far better than 1-100 of 100k staff."
treasury-planning-travel-routes-using-ai-driven-map-applications,Treasury,Planning travel routes using AI-driven map applications.,employees,all_staff,enterprise,excluded_not_seats,medium,"Matches worked example 3 (consumer map apps); band's lower bound (50,000) is half the 100k headcount, plausibly staff phones, but consumer navigation AI is not a person AI seat either way."
treasury-prioritizing-and-categorizing-incoming-emails-using-ai,Treasury,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,unknown,general,low,Email-triage AI is a generic productivity feature; small band (101-1000) and no named product limit confidence.
treasury-scheduling-and-managing-social-media-posts-using-ai,Treasury,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,medium,Social-media scheduling is inherently a public-affairs/comms task; band 1-100 fits a small comms team.
treasury-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,Treasury,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,office_staff,unknown,general,low,"Generic calendar/scheduling-assistant feature (""setting reminders""); no product named, band 101-1000 modest."
treasury-searching-for-agency-information-using-a-knowledge-retrieval-system,Treasury,Searching for agency information using a knowledge retrieval system.,employees,office_staff,enterprise,general,medium,Internal knowledge-retrieval/search reads as a broadly available productivity feature; band 1001-5000 is a modest slice of the 100k workforce.
treasury-summarizing-the-key-points-of-a-lengthy-report-using-ai,Treasury,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,"Document summarization is broad drafting/productivity capability; band 5,001-10,000 is consistent with wide, though not universal, staff access."
