e1838e34de864da3ca4782375d75b956,DHS,DHS-2577,"Mobile Fortify","The AI is intended to solve the problem of confirming individuals’ identities in the field when officers and agents must work with limited information and access multiple disparate systems to identify individuals and retrieve existing data relevant to enforcement, investigations, and victim protecti","c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.",,"NEC is the third‑party vendor CBP uses. ICE accesses these capabilities through CBP and does not contract directly with NEC.",ICE
c684a758134579c7544fa7036b53eac0,DOE,DOE-690,"Copilot Studio","Copilot Studio will help NNL build custom AI agents that automate repetitive tasks, answer common questions, and streamline workflows across departments, all without requiring deep coding expertise.","a) Pre-deployment – The use case is in a development or acquisition status.","a) No",,"NR HQ - Naval Reactors (NR)"
2e266471efa012b14efe071103e18fb7,DOE,DOE-586,"GitHub Copilot","Improve the quality and speed of code development.","c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","a) No",Microsoft,"WAPA - Western Area Power Administration (PMA)"
f914c557168b98b54de25ea27230f662,DOE,DOE-697,"Microsoft Co-Pilot","Overloaded workers often must perform routine, tedious administrative tasks that waste their valuable time","b) Pilot – The use case has been deployed in a limited test or pilot capacity.","a) No",Microsoft,"KCNSC - Kansas City National Security Campus (KCFO)"
4d8fa8d0dd38f58242d20a04f35711ac,DOE,DOE-593,"Microsoft CoPilot","Generative AI tools like this solve the problem of time-consuming knowledge work by instantly providing expert-level assistance with writing, coding, research, and analysis. They automate repetitive tasks that require human expertise, allowing people","c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.","a) No",Microsoft,"NE INL - NE Idaho National Laboratory (NE)"
189ca6e3177f7389ba15bfbf41c3ea6e,DOE,DOE-676,"Microsoft Copilot Pilot","Quick access to self-generated (Documents, Emails, Files) knowledge and business productivity.","b) Pilot – The use case has been deployed in a limited test or pilot capacity.","a) No",Microsoft,"LLNL - Lawrence Livermore National Laboratory (LFO)"
1233aa7d304088fa467f0363a39b2803,DOE,DOE-719,"ServiceNow AI Search","Provide better search experience for finding knowledge articles, tickets, and other data. Ability to pull from sources external to ServiceNow","a) Pre-deployment – The use case is in a development or acquisition status.","a) No",ServiceNow,"LANL - Los Alamos National Lab (LAFO)"
6a1d6950906d3b623e5858a9e874af16,DOE,DOE-508,"ServiceNow Predictive Intelligence","Reduce error rate of categorization of incidents in ServiceNow","a) Pre-deployment – The use case is in a development or acquisition status.","a) No",,"SLAC - SLAC National Accelerator Laboratory (SC43 OIM)"
e4e84bdb5f56c509f570b8bb9022b2bc,DOJ,DOJ-0319,Camtasia,"This allows USMS training content creators to generate on-screen presenters and realistic narration from text for global accessibility.","b) Pilot – The use case has been deployed in a limited test or pilot capacity.","a) No",TechSmith,"Department of Justice / USMS"
a6a8de9a9bf41eaf73324b92ed834a76,DOJ,DOJ-0317,Chatbot,"General AI assistance","a) Pre-deployment – The use case is in a development or acquisition status.","a) No",,"Department of Justice / FBI"
