agency,use_case_name,cohort,bureau_component,current_is_generative_ai,is_general_llm_access,ai_sophistication,ai_classification,ai_classification_normalized,stage_normalized,operational_date,tool_product_name,system_name,vendor_name,problem_statement,expected_benefits,system_outputs,fired_keywords
DOC,AI Pair Programming with GitHub CoPilot,over_unspecified,NOAA,1,0,coding_assistant,,Unspecified,unknown,,GitHub Copilot,,,,,,copilot
DOC,AI-powered Chatbot for Federal Funding Assistance (Grants) Guidance Dissemination,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,,,,,,,chatbot
DOC,APIgee with Gemini Code Assist for OpenAPI Development,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,Gemini,,,,,,gemini
DOC,Amazon Q Developer Pilot,over_unspecified,NOAA,1,1,general_llm,,Unspecified,unknown,,Amazon Q,,,,,,amazon q
DOC,Anthropic - Claude For Government,over_unspecified,ITA,1,1,general_llm,,Unspecified,unknown,,Claude,,,"Deploy Claude AI to automate the generation of comprehensive analytical reports, data visualizations, and documentation for research and policy analysis workflows. The system will process complex datasets to produce polished, multi-page deliverables including executive summaries, detailed findings, statistical charts, and interactive visualizations. Claude's artifact generation capabilities enable creation of complete, production-ready outputs that support iterative refinement through targeted edits to specific sections, charts, or formatting without regenerating entire documents.",,,claude; anthropic; workflow
DOC,BAS Assist,over_unspecified,OS,1,1,general_llm,,Unspecified,unknown,,,,,"BAS Assist, a generative AI chatbot that supports users of the enterprise BAS applications. BAS Assist provides real-time guidance in natural, conversational language, enabling users to more effectively complete application tasks, resolve common issues, and access technical assistance without requiring direct staff intervention. This tool enhances accessibility, reduces administrative burden, and improves service delivery to state, local, and tribal government partners. BAS Assist is being developed and deployed in alignment with the Department’s enterprise AI risk management protocols, including those articulated under Section 3(a) of M-25-21 for inventory reporting, post-deployment monitoring, and incident response.",,,chatbot; generative ai
DOC,CED Generative AI Pilot Program,over_unspecified,NOAA,1,1,general_llm,,Unspecified,unknown,,,,,,,,generative ai
DOC,Call Center Automations (Internal),over_unspecified,USPTO,1,0,classical_ml,,Unspecified,unknown,,ServiceNow Now Assist,,,Leverage ServiceNow’s AI-based NowAssist to support Tier 1 and Tier 2 service desk staff to support basic IT requests s,,,
DOC,ChatGPT Enterprise,over_unspecified,ITA,1,1,general_llm,,Unspecified,unknown,,ChatGPT,,,,,,chatgpt
DOC,Community-based Messaging with LLM,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,,,,,,,llm
DOC,"Detection of hardware issues in complex, wide-area computing systems based on non-intrusive workflow performance data gathered via the GFDL EPMT",over_unspecified,NOAA,1,0,classical_ml,,Unspecified,unknown,,,,,,,,workflow
DOC,Dr. NAICS LLM,over_unspecified,Census,1,1,general_llm,,Unspecified,unknown,,,,,,,,llm
DOC,Gemini (Previously Duet AI),over_unspecified,NOAA,1,1,general_llm,,Unspecified,unknown,,Gemini,,,,,,gemini
DOC,GenAI platform and applications for general productivity,over_unspecified,USPTO,1,1,general_llm,,Unspecified,unknown,,Claude,,,"SCOUT LLM helps staff create content, simplify complex topics, and explore new ideas while ensuring data security. It stays current with the rapidly evolving LLM landscape by offering access to top-tier models from OpenAI, Anthropic, Meta, among others. Additionally, it provides robust customization options to fine-tune outputs",,,llm; genai; anthropic; openai
DOC,Generative AI Tools Pilot - Enterprise & Solutions Architecture,over_unspecified,ITA,1,1,general_llm,,Unspecified,unknown,,,,,,,,generative ai
DOC,Generative AI Tools Pilot - Global Markets,over_unspecified,ITA,1,1,general_llm,,Unspecified,unknown,,,,,"ITA developed the Generative AI Tools Pilot – Global Markets use case to enhance the efficiency and quality of market research analysis. The tool enables analysts to generate initial drafts of market research reports using public data sources, produce data-driven insights to identify top markets and recommend strategic directions, and integrate seamlessly with existing workflows. This support allows analysts to refine and finalize comprehensive, actionable reports more effectively.",,,generative ai; workflow
DOC,Generative AI for Biological Opinions,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,,,,,,,generative ai
DOC,GitHub CoPilot,over_unspecified,NOAA,1,1,coding_assistant,,Unspecified,unknown,,GitHub Copilot,,,,,,copilot
DOC,GitHub Copilot for Code Modernization,over_unspecified,BEA,1,1,coding_assistant,,Unspecified,unknown,,GitHub Copilot,,,,,,copilot
DOC,Global Business Navigator Chatbot,over_unspecified,ITA,1,0,general_llm,,Unspecified,unknown,,,,,,,,chatbot
DOC,Google AgentSpace,over_unspecified,ITA,1,0,agentic,,Unspecified,unknown,,,,,,,,agent
DOC,Google Gemini,over_unspecified,NIST,1,1,general_llm,,Unspecified,unknown,,Gemini,,,,,,gemini
DOC,Grants Program Administration - BEAD Monitoring Plan Agent Pilot,over_unspecified,NTIA,1,0,general_llm,,Unspecified,unknown,,,,,"The AI system—referred to as the BEAD Monitoring Agent—is designed to enhance the ability of Federal Program Officers (FPOs) to support Eligible Entities (EEs) in monitoring their subrecipients after a Final Proposal (FP) is approved. The motivation for deploying this AI is grounded in NTIA’s need to rapidly and effectively understand the contents of each EE’s FP to support post-award monitoring.
Benefits:
1. Faster, More Thorough Review: The AI agent quickly reviews EE subgrantee monitoring plans by comparing them against a “gold standard,” helping FPOs identify best practices, inconsistencies, and gaps
2. Enhanced Risk Mitigation: By providing recommendations on oversight and potential mitigation actions, the AI helps identify areas where closer monitoring or NTIA support may be needed
3. Standardization and Transparency: The AI outputs enable more standardized and data-driven oversight across diverse plans, informing risk assessments and follow-up activities",,,agent; ai agent
DOC,Grants Program Administration - Inquiry management Chatbot Pilot,over_unspecified,NTIA,1,0,general_llm,,Unspecified,unknown,,,,,,,,chatbot
DOC,Implement MS365 Copilot in OS,over_unspecified,OS,1,1,general_llm,,Unspecified,unknown,,,,,Enable this product function in OS.  From this implementation a playbook will be created that will be published to all Operating Units that explains the guidelines and standards for implementation in their areas.,,,copilot
DOC,Integrating AI into AUV image analysis workflow,over_unspecified,NOAA,1,0,computer_vision,,Unspecified,unknown,,,,,,,,workflow
DOC,Integrating NOAA APIs with LLMs for Enhanced Access to Environmental Data and Insights,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,,,,,,,llm
DOC,LLM support for NIST research (Azure),over_unspecified,NIST,1,1,general_llm,,Unspecified,unknown,,,,,,,,llm
DOC,LLM support for NIST research (Google Vertex),over_unspecified,NIST,1,1,general_llm,,Unspecified,unknown,,,,,,,,llm
DOC,LLM support for NIST research (NIST HPC),over_unspecified,NIST,1,1,general_llm,,Unspecified,unknown,,,,,,,,llm
DOC,LLM-Generated Causal Models,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,,,,,,,llm
DOC,Library Market Research GenAI Tools Pilot,over_unspecified,NIST,1,1,general_llm,,Unspecified,unknown,,,,,,,,genai
DOC,"NTIA Grants Portal (NGP) - AI Summarization, Analytics, and Automations",over_unspecified,NTIA,1,0,general_llm,,Unspecified,unknown,,,,,"Our team is exploring using AI to support our grant program administration, specifically supporting some AI-enable knowledge management for our internal team and supporting reviews of post award technical/progress/performance/financial reports to identify trends, identify inconsistencies, increase efficiencies in processing and monitoring tasks, etc.  The latter may be more a mix of predictive and generative AI.",,,generative ai
DOC,Natural Language Search for data.census.gov,over_unspecified,Census,1,0,classical_ml,,Unspecified,unknown,,,,,,,,
DOC,Optimization of highly-concurrent workflow task management systems based on anomaly detection using non-intrusive workflow performance data gathered via the GFDL EPMT,over_unspecified,NOAA,1,0,classical_ml,,Unspecified,unknown,,,,,,,,workflow
DOC,Robotic microscopes and machine learning algorithms remotely and autonomously track lower trophic levels for improved ecosystem monitoring and assessment,over_unspecified,NOAA,1,0,computer_vision,,Unspecified,unknown,,,,,,,,autonomous
DOC,Statistical package syntax development and debugging,over_unspecified,Census,1,0,classical_ml,,Unspecified,unknown,,,,,,,,
DOC,Storm Events Knowledge Graph Chatbot,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,,,,,,,chatbot
DOC,Streamline Spectrum Activities,over_unspecified,NTIA,1,0,classical_ml,,Unspecified,unknown,,,,,,,,
DOC,Streamlining Fisheries DevSecOps with Gemini Code Assist,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,Gemini,,,,,,gemini
DOC,Super-resolution of Satellite Imagery Products using Generative AI,over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,,,,,,,generative ai
DOC,USAi.gov,over_unspecified,OS,1,1,general_llm,,Unspecified,unknown,,,,,"The Department is deploying USAI.gov, a government-wide generative AI capability provided by the General Services Administration (GSA), designed to provide employees with secure, role-appropriate access to advanced large-language-model tools. USAI.gov enables bureaus to rapidly pilot and scale AI use cases—ranging from document drafting and data summarization to policy analysis—within a controlled environment that incorporates enterprise risk management, security safeguards, and privacy protections. This effort embodies a DOC enterprise approach to technology modernization, ensuring that bureaus leverage shared resources to realize efficiencies, reduce duplication, and accelerate innovation. Governance for USAI.gov is planned for coordination through the Office of the Chief Information Officer (OCIO), in close consultation with bureau CIOs, bureau AI Leads, and functional area experts across cybersecurity, data governance, privacy, civil rights, and acquisitions.",,,generative ai
DOC,Using AI to assess the AI-readiness of Commerce data,over_unspecified,OS,1,1,general_llm,,Unspecified,unknown,,,,,The system measures the ability of large language models to accurately respond to questions that require an understanding of federal statistical open data resources. It will help the Department identify data quality gaps and improve the quality of departmental data by making it AI-ready.,,,large language model
DOC,"Using ChatGPT4 /DALLE3, Adobe Sensei and similar for design ideation and image generation",over_unspecified,NOAA,1,0,general_llm,,Unspecified,unknown,,,,,,,,chatgpt; gpt4
DOC,Virtual Assistant (Public),over_unspecified,USPTO,1,1,general_llm,,Unspecified,unknown,,,,,Chatbot on USPTO 's public-facing website to answer patent and trademark questions from the general public,,,chatbot; assistant
