agency,use_case_name,cohort,bureau_component,current_is_generative_ai,is_general_llm_access,ai_sophistication,ai_classification,ai_classification_normalized,stage_normalized,operational_date,tool_product_name,system_name,vendor_name,problem_statement,expected_benefits,system_outputs,fired_keywords
DOT,AI Operations Laboratory (OPSLAB),under_declared,CAIO,0,0,agentic,Agentic AI,Agentic AI,pre_deployment,,,,,"Provides operational AI use case developers with access to shared environments with all OCIO-cleared AI functionality for use case experimentation, development, and initial data and model risk management identification and mitigation.",,The OPSLAB shared service accelerates AI-enabled operational use case development at the Department by providing AI developers  with direct access to an established platform that contains all available AI tools for that environment rather than making chan,
DOT,Advanced Research and Testing (ART) Network,under_declared,"CAIO, Volpe, OST-R",0,0,agentic,Agentic AI,Agentic AI,pre_deployment,10/24/2024 12:00:00 AM,,,,"The ART Network is the shared service environment for AI research and development activities that provides researchers with access to a rapid AI innovation, exploration, development, and sharing platform using secure and approved IT infrastructure.",,The ART Network shared service accelerates AI-enabled research at the Department by providing researchers with direct access to an established platform that contains all available AI tools for that environment rather than making changes to an existing env,
DOT,Case and Document Management Copilot,over_contradict,FAA AGC,1,1,general_llm,Other,Other,pre_deployment,,,,,"The Copilot would be natively embedded across an application to deliver a consistent user experience that can answer questions, generate content, and dynamically automate any action.",,"The copilot includes a library of actions, which are pre-programmed capabilities that enable the copilot to not only answer questions using business data, but also string together workflows to get things done in support of users.",copilot
DOT,"Enterprise ""Ask Dottie"" ChatBot Capability",over_contradict,"CAIO, HASS, Volpe",1,1,general_llm,Natural Language Processing (NLP),Natural Language Processing,pre_deployment,,,,,Secure enterprise AI-enabled question and answer ChatBot capabilities for natural language querying of documents and data.,,Provides the Department with secure enterprise-wide LLM ChatBot capabilities that can be tailored to specific use cases.,chatbot
DOT,Human Resources Policy Manual (HRPM) LLM Document Search,over_contradict,FAA AHR,1,0,general_llm,Natural Language Processing (NLP),Natural Language Processing,pre_deployment,04/01/2024 12:00:00 AM,,,,To allow employees to quickly and easily (via natural language processing) ask Human Resource policy questions and quickly receive back an easy to understand response.,,The system outputs HR policy in response to questions which are input by users (employees).,llm
DOT,Identification of Similar Continued Operational Safety (COS) Events,over_contradict,FAA AVS,1,0,classical_ml,Other,Other,deployed,01/02/2024 12:00:00 AM,Palantir AIP,,,"AIR is utilizing AI within Palantir Foundry (i.e., Foundry's ""Artificial Intelligence Platform"" (AIP)) to search, find and link similar types of events (e.g., Continued Operational Safety (COS) event reports, Notices of Noncompliance (NCN), semantic searc",,The output aggregates information from disparate sources to provide an integrated view of events that are similar.,
DOT,Predictive Analytics Using Autonomous Track Geometry Measurement System (ATGMS) Data,over_contradict,FRA,1,0,predictive_analytics,Classical/Predictive Machine Learning,Classical/Predictive Machine Learning,pre_deployment,,,,,"Description: Leveraging large volumes of these recursive track geometry measurements to develop and implement automated machine-learning-based processes for analyzing, predicting, and reporting track locations of concern, including those with significant",,"Inspection report that includes the trending of track geometry measures and time to failure (i.e., maintenance and safety limits).",autonomous
DOT,Prognosis and Diagnosis Based on Contributing Factors to Safety Risk,over_contradict,FAA AJO,1,1,general_llm,Other,Other,pre_deployment,,,,,To increase expainability and interpretability of changes in safety risk based on contributing factors from and LLM tuned to Human Factors Common Taxonomy.,,What are the Human Factors Common Taxonomy factors that are associated with a change in safety risk in the NAS.,llm
DOT,Public Comment Analyzer (PCA),under_declared,OST,0,0,general_llm,Agentic AI,Agentic AI,deployed,02/14/2025 12:00:00 AM,,,,"The business goal of this project is to use a powerful language model to analyze public comments. The model will:
•	Categorize comments into different topics
•	Detect the sentiment (positive, negative, or neutral) of the comments
•	Generate summaries of the comments
•	Provide daily updates on the comments
•	Allow secure access to the information",The anticipated benefits are: Improve the accuracy of the analysis; reduction of human analysis required to review all public comments; streamline the process of reviewing comments; keep feedback up to date to help inform decision making. It will allow subject matter experts (SMEs) to more quickly review summaries of the submitted comments and obtain additional details where and as needed. It will also provide SMEs with the general sentiments of public comments,Data is available on Regulations.gov.,
DOT,Remote Maintenance Monitoring (RMM) Analyzer Copilot,over_contradict,FAA AJO,1,1,general_llm,Other,Other,pre_deployment,10/30/2024 12:00:00 AM,,,,"The intended purpose of the AI is to serve as a ""Copilot"" for technical operations, allowing users to interact with complex data in plain language. This Copilot will retrieve, interpret, and present relevant information from the Instrument Landing Systems",,"""Enhanced Accessibility: Users can pose questions in plain language, bypassing the need for technical know-how on data filtering or analysis, making data insights available to a broader range of personnel.
Time Efficiency: By quickly retrieving relevant d",copilot
DOT,Tech Ops LLM Document Search,over_contradict,FAA AJO,1,0,general_llm,Other,Other,pre_deployment,05/01/2024 12:00:00 AM,,,,"The AI system designed for Tech-Ops personnel is a comprehensive support tool that enhances efficiency by providing rapid, contextually accurate answers drawn from a central Knowledge Library. This Knowledge Library contains Technical Instruction Manuals,",,"Direct Answers to Queries: When a technician inputs a question in plain language, the AI generates a concise, relevant answer drawn directly from the Technical Instruction Manuals, Maintenance Handbooks, or other materials in the Knowledge Library. This r",llm
DOT,Transportation AI-enabled Network (TrAIN),under_declared,CAIO,0,0,agentic,Agentic AI,Agentic AI,pre_deployment,,,,,"The TrAIN is the set of shared service environments for operational AI use cases that provides AI developers with a pre-established, secure AI-enabled environments for development, testing and deployment under the Chief AI Officer's compliance and risk ma",,The TrAIN shared service accelerates AI-enabled operational use case deployment at the Department by providing AI developers  with direct access to an established platform that contains all available AI tools for that environment rather than making change,
FDIC,CFOO Admin Chatbot,over_contradict,Division of Finance,1,0,general_llm,Natural Language Processing (NLP),Natural Language Processing,deployed,01/2023,,Internal Chatbot RASA,,Compiling data from internal FDIC website and targeted documents to answer questions about CFOO admin. The AI solution is intended to increase user access to already available data in a more digestible form. This helps internal employees self solve problems quickly when engaging with administrative issues.,"Makes information more readily available , searchable and readable. This internal solution improves operational efficiency of the agency.","An answer to the users question the user asks the bot. This addresses topics on internal division administrative questions including office maintenance, training, HR questions, policy, and security.",chatbot
FDIC,CFOO Travel Chatbot,over_contradict,Division of Finance,1,0,general_llm,Natural Language Processing (NLP),Natural Language Processing,deployed,09/2020,,Internal Chatbot RASA,,Compiling data from internal FDIC website and targeted documents to answer questions about FDIC travel. The AI solution is intended to increase user access to already available data in a more digestible form. This helps internal employees self solve problems quickly when engaging with travel issues.,"Makes information more readily available, searchable and readable. This internal solution improves operational efficiency of the agency.","An answer to the users question the user asks the bot. This addresses internal agency questions on travel including directives, policy, training, limits, and alerts.",chatbot
