agency,use_case_name,cohort,bureau_component,current_is_generative_ai,is_general_llm_access,ai_sophistication,ai_classification,ai_classification_normalized,stage_normalized,operational_date,tool_product_name,system_name,vendor_name,problem_statement,expected_benefits,system_outputs,fired_keywords
VA,3M/Solventum 360 Encompass Computer Assisted Coding - Auto Suggestion,over_contradict,VHA: Veterans Health Administration,1,0,nlp_specific,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Classical/Predictive Machine Learning,deployed,,,,,Improving medical coding workflow processes.,"Increasing the efficiency of medical coders when reviewing/validating the appropriate ICD-10 CM, CPT, and HCPCS codes for encounters based on associated clinical documentation.","Suggested ICD-10 CM, CPT, and HCPCS codes for a medical coder to select based on associated clinical documentation.",workflow
VA,AGFA DR 800 with MUSICA Dynamic,over_contradict,VHA: Veterans Health Administration,1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,It can accelerate X-ray workflows. The optional image processing allows users to conveniently select image processing settings for different patient sizes and examinations. The image processing algorithms in the new device are similar to those previously cleared and used in Agfa’s radiography portfolio today which includes the DR 600 (K152639) and DR 400 (K141192). The addition of the dynamic image processing is identical to the predicate device (K140380).,Accelerate X-Ray workflows.,Recommendations for image processing settings.,workflow
VA,AI + Digital Process Automation (DPA) Business Process Flow Improvement Solution for Contract Closeout Modernization – Pilot Project,under_declared,"OALC: Office of Acquisitions Logistics, and Construction",0,0,agentic,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Agentic AI,pre_deployment,,,,,"The AI and Digital Process Automation (DPA) solution pilot for the VA's Strategic Acquisition Center aims to modernize the manual and labor-intensive federal acquisition contract closeout process by automating repetitive tasks, enhancing accuracy, ensuring regulatory compliance, and improving oversight. By integrating AI-driven financial reviews and real-time data analytics, the solution aims to reduce errors, shorten closeout timeframes, and optimize resource allocation, ultimately creating a more efficient, accurate, and compliant process in line with Federal Acquisition Regulation (FAR), VA Acquisition Regulation (VAAR), and VA Financial Policy.","The AI and Digital Process Automation (DPA) solution for the VA’s Strategic Acquisition Center will enhance efficiency by automating repetitive tasks, thereby reducing contract closeout times and minimizing errors. This will ensure regulatory compliance with FAR and VAAR, provide cost savings through optimized resource allocation, and improve oversight and transparency. The streamlined process will reduce administrative backlogs and ensure better use of public funds, ultimately supporting the VA's mission by enabling more efficient service delivery and financial management, benefiting both veterans and taxpayers.","The AI system for the VA's Strategic Acquisition Center will produce automated documentation like Contract's Release of Claims, detailed financial review reports, and drafts of de-obligation modifications. It will ensure compliance with FAR and VAAR regulations through dedicated reports and generate real-time notifications for necessary actions. Additionally, performance dashboards will provide transparent metrics on closeout progress. These outputs will streamline the contract closeout process, enhance accuracy, ensure compliance, and optimize resource use, ultimately improving efficiency and transparency.",
VA,"Alignment System Cranial, Alignment Software Cranial, Cirq Alignment Software Cranial Biopsy, Cirq Alignment Software Cranial sEEG, Varioguide Alignment Software Cranial",over_contradict,VHA: Veterans Health Administration,1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,Alignment System Cranial is intended to support the surgeon in planning and achieving a trajectory with surgical instruments during cranial stereotactic procedures. The indications for use are biopsy of intracranial lesions and placement of stereoelectroencephalography (SEEG) electrodes.,Accelerate surgery planning workflows.,This Machine Learning (ML) based functionality is used as an aid in the registration step (in surface matching) by allowing a pre-registration based on guide points (which are delivered by this algorithm). This pre-registration step is not mandatory.,workflow
VA,"Aplio i900, Aplio i800 and Aplio i700 Software V8.1 Diagnostic Ultrasound System",over_contradict,VHA: Veterans Health Administration,1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,"The Diagnostic Ultrasound System Aplio i900 Model TUS-AI900, Aplio i800 Model TUS-AI800, Aplio i700 Model TUS-AI700 are indicated for the visualization of structures and dynamic processes within the human body, using ultrasound, and to provide image information for diagnosis in the following clinical applications: fetal, abdominal, intra-operative (abdominal), pediatric, small organs (thyroid, breast and testicle), trans-vaginal, trans-rectal, neonatal cephalic, adult cephalic, cardiac (both adult and pediatric), peripheral vascular, transesophageal, musculo-skeletal (both conventional and superficial), laparoscopic and Thoracic/Pleural. This system provides high-quality ultrasound images in the following modes: B mode, M mode, Continuous Wave, Color Doppler, Pulsed Wave Doppler , Power Doppler and Combination Doppler, as well as Speckle-tracking, Tissue Harmonic Imaging, Combined Modes, Shear wave, Elastography, and Acoustic attenuation mapping. This system is suitable for use in hospital and clinical settings by physicians or legally qualified persons who have received the appropriate training. In addition to the aforementioned indications for use, when the Endoscopic Ultrasound (EUS) transducer GF-UCT180 is connected, Aplio i800 Model TUS-AI800/E3 provides image information for the diagnosis of the upper gastrointestinal tract and surrounding organs.",Accelerate ultrasound workflows.,Generates automated measurements of imaged structures.,workflow
VA,Ask VA Inquiry Automated Category Classification System,over_contradict,OIT: Office of Information & Technology,1,0,classical_ml,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Classical/Predictive Machine Learning,pre_deployment,,Microsoft Teams,,,"Primary Problem - Manual Categorization Burden: Veterans and their families currently manually navigate complex category, topic/subtopic selection fields when submitting inquiries through AskVA. This creates barriers to accessing VA services and can result in incorrect categorization that delays or misdirects their requests.

Scale and Efficiency Problem: The VA processes over 106M inquiry records, with 35.1M completed inquiries requiring manual review and routing. Manual categorization at this volume creates significant processing delays and resource strain on both veterans submitting requests and VA staff managing the workflow.
 
Consistency and Accuracy Problem: Manual categorization leads to inconsistent classification across inquiries, with approximately 11.3M potential misclassifications identified where topics appear under multiple categories. This inconsistency results in inquiries being routed to incorrect service teams, causing delays in resolution and poor customer experience.

Resource Allocation Problem: Incorrect or inconsistent categorization prevents optimal allocation of VA staff and resources across the 18 standardized service areas (disability compensation, education benefits, healthcare, housing assistance, etc.), leading to inefficient service delivery.

The AI solution mitigates these problems by providing automated, consistent, and accurate categorization that improves both veteran experience and VA operational efficiency.","For Veterans and the General Public:
- Improved access to VA services by eliminating complex manual category selection barriers
- Enhanced customer experience with streamlined AskVA submission process
- Reduced frustration and time burden when seeking VA assistance

For VA Agency Mission:
- Increased operational efficiency in processing 106+ million inquiry records
- Improved resource allocation with accurate categorization enabling better workload distribution
- Reduced processing delays and backlogs through automated classification at 83.38% accuracy","The AI system produces a ranked list of the top 3 category predictions with their corresponding confidence scores for each processed AskVA inquiry. Rather than forcing a single classification decision, the system presents the three most likely categories from the 18 standardized VA service areas (including education benefits and work study, disability compensation, healthcare, debt for benefit overpayments and healthcare copay bills, decision reviews and appeals, sign in and technical issues, Veteran Readiness and Employment, survivor benefits, housing assistance and home loans, Veteran ID Card (VIC), burials and memorials, life insurance, Defense Enrollment Eligibility Reporting System (DEERS), pension, benefits issues outside the U.S., Center for Women Veterans, guardianship/custodianship/fiduciary issues, and Center for Minority Veterans) ranked by the model's confidence level. This approach provides flexibility for users who can select from the top 3 AI-suggested categories or, if none of the predictions match their assessment, access the complete list of all 18 categories for manual selection. The system delivers these outputs in real-time through a RESTful API integration, providing JSON-formatted responses with the ranked predictions and confidence scores.",workflow
VA,AutoContour Model RADAC V3,over_contradict,VHA: Veterans Health Administration,1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,AutoContour is intended to assist radiation treatment planners in contouring and reviewing structures within medical images in preparation for radiation therapy treatment planning.,Accelerate radiation therapy treatment planning workflows.,Generates contours for radiation therapy planning.,workflow
VA,Avicenna CINA,over_contradict,VHA: Veterans Health Administration,1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,The device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communicating suspected positive findings of (1) head CT images for Intracranial Hemorrhage (ICH) and (2) CT angiographies of the head for large vessel occlusion (LVO).,Accelerate detection of ICH and LVO.,"The user is presented with notifications on cases with suspected ICH or LVO findings. Notifications include compressed preview images - these are meant for informational purposes only and are not intended for diagnostic use beyond notification. The device does not alter the original medical image, and it is not intended to be used as a diagnostic device.",workflow
VA,Avigilon Camera/Search Function - OSSO,over_contradict,"OSP: Office of Operations, Security, and Preparedness",1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,A search function in a security video surveillance system that searches for points of interest in the video.,"The integration of artificial intelligence (AI) into VA Police operations has significantly enhanced efficiency and response capabilities. Traditionally, personnel were required to manually review recorded video and images which was a time-consuming process. With AI, these records can now be autonomously searched, drastically reducing manpower hours.

Moreover, during emergent situations, AI has proven instrumental in locating persons of interest, such as missing individuals or patients. This capability has greatly improved the VA Police’s ability to respond swiftly and effectively, ultimately enhancing safety and operational readiness.",Video or images of requested searches from the video surveillance systems.,autonomous
VA,BESSistant,over_contradict,VHA: Veterans Health Administration,1,0,general_llm,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,pre_deployment,,,,,This use case will cut down the amount of time it takes an individual to search manuals for preventative maintenance and troubleshooting instructions - the AI chatbot returns answers to queries from uploaded maintenance documentation.,Increased Efficiency,The application will use retrieval augmented generation (RAG) to query a set of technical service manuals,chatbot
VA,BessISSTANT,under_declared,VHA: Veterans Health Administration,0,0,general_llm,"Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Generative AI,pre_deployment,,,,,Decrease time needed for technicians to find information in service manuals.,Increased efficiency.,Excerpts from service manuals.,
VA,Billie GPT,over_unspecified,VBA: Veterans Benefits Administration,1,0,classical_ml,,Unspecified,retired,,,,,,,,
VA,"Biograph Vision, Biograph MCT Family Of PET/CTs",over_contradict,VHA: Veterans Health Administration,1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,"The Biograph Vision and Biograph mCT systems provide registration and fusion of high-resolution metabolic and anatomic information from the two major components of each system (Positron emission tomography (PET) and computed tomography (CT)). These systems are designed for whole body oncology, neurology and cardiology examinations.",Accelerate imaging workflows.,Aligned and fused images.,workflow
VA,BlackBox Code research,over_unspecified,VHA: Veterans Health Administration,1,0,classical_ml,,Unspecified,retired,,,,,,,,
VA,"Brainlab Elements Image Fusion, Contouring (4.5);Image Fusion (4.5);Fibertracking (2.0);BOLD MRI Mapping (1.0);Image Fusion Angio (1.0)",over_contradict,VHA: Veterans Health Administration,1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,"Brainlab Elements are software applications indicated for the processing of medical image data to support the intended user group to perform image guided surgery and radiation treatment planning. The Brainlab Elements 6.0 are applications that transfer Digital Imaging and Communications in Medicine (DICOM) data to and from picture archiving and communication systems (PACS) and other storage media devices. They include modules for 2D & 3D image viewing, image processing, image co-registration, image segmentation and a 3D visualization of medical image data for treatment planning procedures.",Accelerate imaging workflows.,Tumor segmentation estimates.,workflow
VA,Butterfly iQ3 Ultrasound System,over_contradict,VHA: Veterans Health Administration,1,0,computer_vision,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,"The Butterfly iQ3 Ultrasound System is indicated for use by qualified and trained healthcare professionals to enable diagnostic ultrasound imaging and measurement of anatomical structures and fluids of adult and pediatric patients for the following clinical applications: Peripheral Vessel (including carotid, deep vein thrombosis and arterial studies), Small Organs (including thyroid, scrotum and breast), Cardiac, Abdominal, Lung, Procedural Guidance, Urology, Fetal/Obstetric, Gynecological, Musculoskeletal (conventional), Musculoskeletal (superficial) and Ophthalmic.",Accelerates ultrasound workflows.,The purpose of the Auto B-line Counter is to provide automated detection and automatic calculation of the number of B-lines to a user in a given rib space and also provides the users the capabilities of reviewing the detected B-lines (via visual overlays). The overlay of B-lines does not mark images for detection of specific pathologies. The Auto B-line Counter enables the automated identification and count of B-lines during a lung scan and is integrated into the existing Butterfly iQ/iQ+ mobile application for use with the Butterfly iQ or iQ+ transducers.,workflow
VA,CT CoPilot,over_contradict,VHA: Veterans Health Administration,1,0,general_llm,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Computer Vision,deployed,,,,,"CT CoPilot is intended for use in automating post-acquisition quantitative analysis of computed tomography (CT) images of the brain for patients aged 18 or older. CT CoPilot performs automatic reformatting, labeling, and quantification of segmentable structures from a set of CT images.","Accelerate image analysis workflows. This software is intended to automate the current manual process of identifying, labeling, and quantifying structures identified on CT images of the brain and to provide automated registration and reformatting of data.","The output of the software provides these values as numerical volumes and images which have been annotated with graphical color overlays, with each color representing a specific segmental structure.",copilot; workflow
