agency,use_case_name,verdict,confidence,reasoning
DOI,AI Trapline for Fire,genai,medium,"Agency declared ""Agentic AI"" (a listed strong genai signal) and the narrative describes an agent manipulating web inputs and creating a ""national weather synopsis,"" consistent with content generation despite thin detail."
DOI,AI/ML For Hazard Detection in Austere Environments with Automated or Remotely-Operated Rovers [2024 INV#WO0000000107424],not_genai,high,"Output is ""Prediction of ground cover type"" from an autonomous rover camera -- classical detection/classification; ""autonomous"" here refers to the robot, not generative AI (the known aerospace-autonomy over-fire pattern)."
DOI,ATLAS,not_genai,medium,"The system ""automatically extract[s] metadata about datasets from manuscripts and make[s] it available... in a catalog"" for user queries -- metadata extraction and cataloging, not novel content generation; only the generic ""workflow"" keyword fired."
DOI,Accelerating scientific discovery through AI-driven literature synthesis and meta-analysis using large language models [2024 INV#WO0000000201793]],genai,high,"is_general_llm_access=1 and the narrative describes ""Using multiple LLMs and deep learning methods to evaluate the same context"" to synthesize literature into rankings and gap analyses -- LLM-based summarization/synthesis of documents."
DOI,Automating the Detection and Classification of Wildlife in Aerial Imagery [2024 INV#WO0000000109409],not_genai,high,"Outputs are ""the location and counts of birds and other wildlife in offshore areas"" -- a detection/counting pipeline over aerial imagery, not content generation; only ""workflow"" fired."
DOI,Autonomous Drone Inspections,not_genai,high,"Describes feasibility of ""autonomously inspecting off-shore facilities"" via drones producing ""decisions on corrosion levels... boardable... methane leaks"" -- classical autonomy/detection, matching the aerospace ""autonomous ≠ generative"" pattern exactly."
DOI,Development of a Strategic Framework for Use and Implementation of Machine Learning in Energy Resource Program Workflows [2024 INV#WO0000000109216],not_genai,high,"Describes a strategic planning framework for ML adoption (""adoption of ML pipelines/models,"" ""modernization... workforce training"") with no described AI-generated content; only ""workflow"" fired."
DOI,DiscoverDOI,genai,high,"Agency declared ""Agentic AI"" and the narrative describes a Q&A/RAG-style tool: ""Users can ask questions and receive answers and links to the websites in question."""
DOI,Enabling FOIA Request Clustering Capability in the Document Review Platform (Density Based Algorithm alongside Term Frequency  Inverse Document Frequency (TF-IDF)),not_genai,high,"Explicitly deterministic clustering: ""Grouped requests into clusters based on TF-IDF weighted vocabulary"" -- a density-based/TF-IDF algorithm, not a generative model."
DOI,Flor-AI: Developing a Remotely Sensed Image Classification Method for Inventory and Monitoring of Flora in Digital UAS Imagery,not_genai,high,"Outputs are ""the location, counts, and coverage area of wild lupine populations"" from UAS imagery classification -- detection/counting, not generation; only ""workflow"" fired."
DOI,LLM-Assisted Volcanic Alert Monitoring,not_genai,medium,"Despite the ""LLM-Assisted"" name, the described function is ""automate the monitoring of volcanic alert levels from... public websites"" with output simply ""Data collection"" -- extraction/monitoring, not novel content generation; is_general_llm_access=0."
DOI,Lake-wide monitoring and assessment of Great Lakes fisheries with autonomous vehicles and image analysis,not_genai,high,"Fisheries ""monitoring and assessment"" via ""autonomous vehicles and image analysis"" producing ""estimates of species abundance"" -- classical autonomy plus computer vision, not generative."
DOI,Non-Generative AI use for Trust Information Analysis and Reporting Tool [2024 INV#WO0000000110516],not_genai,high,"The agency's own problem statement says ""Automating blank page detection with Non-Generative AI (e.g., Azure Computer Vision and Document Intelligence Read)"" -- explicitly non-generative; the ""generative ai"" keyword false-fired on the substring inside ""Non-Generative AI."""
DOI,Office of Grants Management (PGM) Grants Utility Tool,genai,medium,"Agency declared ""Agentic AI"" and outputs describe the tool being used to ""automatically generate standardized compliance outputs... produce automated scoring, flags... cross-walks between budget documents, and complete audit-ready records"" across project-description review, validation, and budget analysis."
DOI,Predicting Sparse (Geothermal) Resources Availability by using Machine Learning [2024 INV#WO0000000109195],not_genai,high,"Describes developing ""new ML metrics for evaluating model performance"" and ""engineering new evidence layers"" for resource assessment -- classical predictive ML workflow, no content generation; only ""workflow"" fired."
DOI,Predictive AI applications for estimating water quality constituents as causal factors of harmful algal blooms.,not_genai,high,"Describes ""Ensemble regressions to predict suspended sediment, total nitrogen, total phosphorus, algal pigments, and algal cell abundances"" -- predictive regression modeling, not generative."
DOI,Refining Flood Risk Predictions in Hawai?i with Generative Machine Learning,genai,high,"Narrative explicitly states they ""use these generative AI advancements to create high-resolution (1km) daily and sub-daily precipitation maps"" -- synthetic-data generation via generative neural networks, matching the decision rule directly."
DOI,Summarization of documents and output to ECOSphere species workflow [2024 INV#DOI-63],genai,high,"is_general_llm_access=1 and the system is ""an AI-driven solution that can automatically ingest, analyze, and summarize large volumes of scientific and technical documents"" producing ""Structured Summaries"" -- document summarization is a core genai use."
DOI,USGS Azure OpenAI ChatGPT [2024 INV#WO0000000154392],genai,high,"Named genai product: tool_product_name is ""ChatGPT"" (vendor OpenAI/Microsoft) providing ""a generic ChatGPT API to call from IDEs and various applications,"" and is_general_llm_access=1."
DOI,Using advanced computing techniques for mobile monitoring platforms [2024 INV#WO0000000109492],not_genai,high,"Supports ""navigation and swarming capabilities of autonomous vehicle platforms for water monitoring"" producing ""Spatial water data"" -- classical autonomy/navigation, not generative."
DOI,Water Time-Series Record Automation Framework development,not_genai,high,"System ""automatically appl[ies], or suggest[s] application of, corrections"" to time-series data to ""compute a final corrected time-series dataset"" -- deterministic data correction, not content generation."
DOI,ePermits: Chatbot Implementation and Permit Application Wizard Tools,genai,medium,"Outputs include ""Natural Language Responses... Contextual Follow-ups... Multimodal Outputs"" (ai_sophistication=general_llm) -- generated conversational responses beyond a canned/intent-only bot, despite the agency noting ""We do not use agentic AI systems."""
DOI,use of random forest for species distribution modeling,not_genai,high,"Describes ""random forest models... ensemble species distribution modelling"" and ""traditional machine learning methods, including random forests and maxent"" -- explicitly classical ML, not generative."
HUD,"Automated Draft Narrative Reports

Previously ""Automating Draft Counterparty Credit Narrative Reports""; have since expanded to general enterprise use.",not_genai,medium,"Problem statement says Ginnie Mae ""uses Natural Language Generation (NLG) to implement coded rules and generate draft narratives/memos"" -- the instructions flag rule-coded NLG as borderline, and ""coded rules"" (vs. template-free generation) points to templated/rule-based output rather than genai."
HUD,FHA Resource Center Chatbot,not_genai,medium,"Describes a Virtual Assistant ""searching for public policies through the 2,200+ FAQs in the FAQ Knowledge base"" and returning ""Responses with information from the... FAQs"" -- FAQ retrieval selecting from a fixed knowledge base, matching the known early-FAQ-chatbot not_genai pattern."
